Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO
"2023-10-10 - NSH 3, TB 5",NSH,65,61,46,50,31,34,3,5,4.23,3.99,34,30,15,10,12,9,2,3,19,20,6,7,0,1,34,45,13,18,1,1,0.95
"2023-10-10 - NSH 3, TB 5",TB,61,65,50,46,34,31,5,3,3.99,4.23,30,34,10,15,9,12,3,2,20,19,7,6,1,0,45,34,18,13,1,1,1.05
"2023-10-10 - CHI 4, PIT 2",CHI,73,71,54,55,36,41,4,2,5.21,3.31,35,27,16,12,12,9,3,1,19,15,10,10,1,0,36,50,12,18,0,1,1.062
"2023-10-10 - CHI 4, PIT 2",PIT,71,73,55,54,41,36,2,4,3.31,5.21,27,35,12,16,9,12,1,3,15,19,10,10,0,1,50,36,18,12,1,0,0.938
"2023-10-10 - SEA 1, VGK 4",SEA,71,61,48,42,33,28,1,4,3.94,3.9,43,30,16,17,11,11,1,2,27,13,8,6,0,1,33,32,13,9,0,0,0.887
"2023-10-10 - SEA 1, VGK 4",VGK,61,71,42,48,28,33,4,1,3.9,3.94,30,43,17,16,11,11,2,1,13,27,6,8,1,0,32,33,9,13,0,0,1.113
"2023-10-11 - OTT 3, CAR 5",CAR,79,56,61,46,42,30,5,3,4.13,3.27,39,26,15,13,11,7,3,2,24,13,12,7,0,1,44,32,19,14,2,0,1.019
"2023-10-11 - OTT 3, CAR 5",OTT,56,79,46,61,30,42,3,5,3.27,4.13,26,39,13,15,7,11,2,3,13,24,7,12,1,0,32,44,14,19,0,2,0.981
"2023-10-11 - MTL 5, TOR 6",MTL,51,71,35,54,24,42,5,5,2.13,3.4,26,39,9,14,5,10,3,1,17,25,9,14,2,1,21,37,7,15,0,3,1.089
"2023-10-11 - MTL 5, TOR 6",TOR,71,51,54,35,42,24,5,5,3.4,2.13,39,26,14,9,10,5,1,3,25,17,14,9,1,2,37,21,15,7,3,0,0.911
"2023-10-11 - CHI 1, BOS 3",BOS,74,45,49,33,33,21,3,1,4.52,2.09,41,26,16,9,13,5,1,1,25,17,8,6,2,0,39,22,11,9,0,0,1.043
"2023-10-11 - CHI 1, BOS 3",CHI,45,74,33,49,21,33,1,3,2.09,4.52,26,41,9,16,5,13,1,1,17,25,6,8,0,2,22,39,9,11,0,0,0.957
"2023-10-11 - WPG 3, CGY 5",CGY,45,83,31,57,22,37,5,3,3.78,5.21,23,50,10,19,7,13,3,1,13,31,7,11,1,2,28,39,6,12,1,0,1.146
"2023-10-11 - WPG 3, CGY 5",WPG,83,45,57,31,37,22,3,5,5.21,3.78,50,23,19,10,13,7,1,3,31,13,11,7,2,1,39,28,12,6,0,1,0.854
"2023-10-11 - COL 5, LA 2",COL,60,73,46,49,37,36,5,2,4.47,3.65,24,35,9,14,8,11,0,2,15,21,10,8,3,0,41,47,18,15,2,0,1.08
"2023-10-11 - COL 5, LA 2",LA,73,60,49,46,36,37,2,5,3.65,4.47,35,24,14,9,11,8,2,0,21,15,8,10,0,3,47,41,15,18,0,2,0.92
"2023-10-11 - EDM 1, VAN 8",EDM,55,54,40,43,27,32,1,8,2.97,3.83,27,29,10,12,7,9,0,4,17,17,6,10,0,2,35,36,13,12,1,2,0.787
"2023-10-11 - EDM 1, VAN 8",VAN,54,55,43,40,32,27,8,1,3.83,2.97,29,27,12,10,9,7,4,0,17,17,10,6,2,0,36,35,12,13,2,1,1.213
"2023-10-12 - NYR 5, BUF 1",BUF,61,57,38,43,25,31,1,5,2.22,4.74,21,22,6,15,5,10,1,3,15,7,3,3,0,1,46,40,17,16,0,0,0.879
"2023-10-12 - NYR 5, BUF 1",NYR,57,61,43,38,31,25,5,1,4.74,2.22,22,21,15,6,10,5,3,1,7,15,3,3,1,0,40,46,16,17,0,0,1.121
