Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-14 - ANA 1, VGK 4",ANA,49,69,35,50,23,38,1,4,2.26,4.4,23,34,9,14,4,10,1,3,14,20,7,5,0,0,32,44,12,21,0,1,0.938,2023-10-14,ANA,1,VGK,4,Won,
"2023-10-15 - CAR 3, ANA 6",ANA,49,88,38,58,25,35,6,3,4.0,2.93,25,30,11,9,8,4,0,1,14,21,8,11,3,1,24,56,7,20,2,1,1.154,2023-10-15,CAR,3,ANA,6,Won,0.0
"2023-10-19 - DAL 3, ANA 2",ANA,59,52,39,40,29,24,2,3,2.76,2.91,28,27,9,15,7,9,0,3,19,12,8,4,2,0,30,33,9,10,0,0,0.944,2023-10-19,DAL,3,ANA,2,Lost,3.0
"2023-10-21 - ANA 1, ARI 2",ANA,65,61,48,43,33,27,1,2,3.26,4.03,31,33,13,14,10,6,1,0,18,19,10,11,0,1,32,31,9,10,0,1,0.956,2023-10-21,ANA,1,ARI,2,Won,1.0
"2023-10-22 - BOS 3, ANA 1",ANA,63,56,50,42,31,26,1,3,3.66,3.5,27,29,15,10,8,9,1,2,12,19,7,6,0,1,41,31,15,10,0,0,0.917,2023-10-22,BOS,3,ANA,1,Lost,0.0
"2023-10-24 - ANA 3, CBJ 2",ANA,57,86,40,61,27,37,3,2,2.03,3.45,20,41,7,11,6,6,2,0,13,30,5,12,1,1,41,46,14,16,0,1,1.057,2023-10-24,ANA,3,CBJ,2,Lost,1.0
"2023-10-26 - ANA 4, BOS 3",ANA,60,57,47,43,32,30,4,3,2.59,2.85,26,29,9,11,7,6,1,2,17,18,7,12,2,0,38,29,17,11,1,1,1.025,2023-10-26,ANA,4,BOS,3,Lost,1.0
"2023-10-28 - ANA 7, PHI 4",ANA,46,65,34,46,25,30,7,4,2.34,2.83,24,31,8,14,7,10,4,2,16,17,9,6,3,2,20,47,3,12,0,0,1.147,2023-10-28,ANA,7,PHI,4,Lost,1.0
"2023-10-30 - ANA 4, PIT 3",ANA,51,99,36,70,27,42,4,3,2.27,6.6,23,57,13,27,7,18,3,1,10,30,4,11,0,1,26,60,13,13,1,1,1.077,2023-10-30,ANA,4,PIT,3,Lost,1.0
"2023-11-01 - ARI 3, ANA 4",ANA,42,67,35,49,29,35,4,3,2.03,3.15,23,32,9,9,5,8,1,3,14,23,10,12,2,0,26,45,14,14,1,0,1.052,2023-11-01,ARI,3,ANA,4,Won,1.0
"2023-11-05 - VGK 2, ANA 4",ANA,53,60,37,46,23,32,4,2,4.02,3.25,23,29,13,14,8,10,3,1,10,15,6,9,0,1,28,37,8,12,0,0,1.111,2023-11-05,VGK,2,ANA,4,Won,3.0
"2023-11-07 - PIT 2, ANA 0",ANA,49,61,35,45,31,36,0,2,2.31,3.47,19,23,8,12,7,10,0,0,11,11,5,5,0,1,38,40,18,19,0,0,0.944,2023-11-07,PIT,2,ANA,0,Lost,1.0
"2023-11-10 - PHI 6, ANA 3",ANA,78,58,55,46,38,36,3,6,4.03,3.79,41,28,18,13,14,12,2,5,23,15,10,5,1,0,46,32,10,15,0,1,0.912,2023-11-10,PHI,6,ANA,3,Lost,2.0
"2023-11-12 - SJ 1, ANA 4",ANA,78,50,60,38,44,26,4,1,4.53,2.53,40,28,20,14,16,7,2,1,20,14,13,5,0,0,47,24,11,14,2,0,1.052,2023-11-12,SJ,1,ANA,4,Won,1.0
"2023-11-14 - ANA 3, NSH 2",ANA,42,66,32,46,20,30,3,2,2.67,3.15,19,30,9,10,6,8,1,1,10,20,2,8,1,1,22,49,11,14,1,0,1.083,2023-11-14,ANA,3,NSH,2,Lost,1.0
"2023-11-15 - ANA 2, COL 8",ANA,37,55,27,48,17,38,2,8,2.14,3.45,23,32,12,15,8,13,2,5,11,17,4,13,0,3,21,28,5,12,0,0,0.907,2023-11-15,ANA,2,COL,8,Won,0.0
"2023-11-17 - FLA 2, ANA 1",ANA,63,76,49,47,35,35,1,2,2.96,3.98,30,35,12,17,10,11,1,1,18,18,9,7,0,1,38,39,14,16,0,0,0.971,2023-11-17,FLA,2,ANA,1,Lost,1.0
"2023-11-19 - STL 3, ANA 1",ANA,49,57,36,46,31,32,1,3,2.23,4.61,18,29,6,13,6,10,1,1,12,16,9,9,0,1,35,33,15,12,0,1,0.939,2023-11-19,STL,3,ANA,1,Lost,1.0
"2023-11-22 - MTL 4, ANA 3",ANA,67,52,50,38,33,28,3,4,3.11,2.82,33,26,13,13,7,10,2,2,20,13,10,6,1,1,35,29,12,12,0,1,0.948,2023-11-22,MTL,4,ANA,3,Lost,2.0
"2023-11-24 - LA 5, ANA 2",ANA,55,59,43,47,31,31,2,5,2.11,3.0,23,29,12,12,7,7,0,2,11,17,6,6,0,2,33,33,15,14,2,1,0.903,2023-11-24,LA,5,ANA,2,Lost,1.0
"2023-11-26 - ANA 2, EDM 8",ANA,50,48,33,32,23,26,2,8,1.15,3.1,21,23,5,11,3,8,2,2,16,12,7,6,0,3,36,33,10,11,0,3,0.779,2023-11-26,ANA,2,EDM,8,Won,1.0
"2023-11-28 - ANA 1, VAN 3",ANA,58,64,46,44,31,27,1,3,3.0,3.83,30,33,12,16,5,9,0,2,18,17,13,6,1,0,29,35,11,10,0,0,0.921,2023-11-28,ANA,1,VAN,3,Won,1.0
"2023-11-30 - WSH 5, ANA 4",ANA,70,44,51,31,32,26,4,5,3.77,3.46,32,26,12,19,6,17,4,5,20,7,8,3,0,0,44,21,16,5,0,0,0.933,2023-11-30,WSH,5,ANA,4,Lost,1.0
"2023-12-02 - COL 3, ANA 4",ANA,63,74,49,51,37,37,3,3,3.64,3.29,36,45,14,13,9,8,2,0,22,32,10,16,1,3,40,37,17,12,0,0,1.0,2023-12-02,COL,3,ANA,4,Won,1.0
"2023-12-05 - ANA 2, COL 3",ANA,53,57,35,41,30,27,2,2,2.54,3.13,16,21,9,9,8,8,1,2,7,12,5,8,0,0,33,36,15,11,1,0,0.993,2023-12-05,ANA,2,COL,3,Won,2.0
"2023-12-07 - ANA 0, CHI 1",ANA,67,42,46,34,37,25,0,1,2.47,1.83,28,22,8,10,7,7,0,0,20,12,11,8,0,1,48,28,18,10,0,0,0.96,2023-12-07,ANA,0,CHI,1,Won,1.0
"2023-12-10 - WPG 4, ANA 2",ANA,51,60,38,45,26,31,2,4,2.35,3.73,14,28,7,13,5,8,1,2,7,15,2,7,1,2,32,40,15,15,0,0,0.948,2023-12-10,WPG,4,ANA,2,Lost,2.0
"2023-12-13 - ANA 3, NYI 4",ANA,50,67,38,51,24,35,3,4,2.45,2.81,19,31,12,12,7,7,1,0,7,19,3,10,1,4,35,46,12,18,1,0,1.011,2023-12-13,ANA,3,NYI,4,Won,2.0
"2023-12-15 - ANA 1, NYR 5",ANA,56,68,47,49,30,39,1,5,3.16,4.08,25,36,11,15,5,12,0,1,14,21,9,14,1,3,41,35,15,11,0,1,0.905,2023-12-15,ANA,1,NYR,5,Won,1.0
"2023-12-17 - ANA 5, NJ 1",ANA,49,65,39,44,28,29,5,1,3.41,3.99,28,38,9,19,6,11,3,1,19,19,7,9,1,0,23,38,15,9,1,0,1.144,2023-12-17,ANA,5,NJ,1,Lost,1.0
"2023-12-18 - ANA 4, DET 3",ANA,53,74,41,47,22,32,4,3,3.74,3.09,22,33,9,9,8,6,1,0,13,24,3,5,2,0,35,54,10,20,1,3,1.088,2023-12-18,ANA,4,DET,3,Lost,0.0
"2023-12-21 - CGY 3, ANA 0",ANA,54,68,32,51,25,44,0,3,1.8,5.78,25,31,7,21,5,16,0,0,18,10,5,7,0,1,30,40,12,19,0,2,0.932,2023-12-21,CGY,3,ANA,0,Lost,2.0
"2023-12-23 - SEA 3, ANA 2",ANA,60,54,47,36,34,22,2,3,3.58,1.87,31,17,14,9,10,6,1,1,17,8,9,3,1,1,37,38,14,11,0,1,0.922,2023-12-23,SEA,3,ANA,2,Lost,1.0
"2023-12-27 - VGK 2, ANA 5",ANA,46,80,37,50,26,32,5,2,3.31,3.72,25,35,14,14,9,9,2,1,11,21,5,11,3,1,23,47,10,12,0,0,1.13,2023-12-27,VGK,2,ANA,5,Won,3.0
"2023-12-29 - ARI 2, ANA 0",ANA,55,70,41,52,28,32,0,2,2.27,4.82,20,36,10,22,5,11,0,0,10,14,6,4,0,1,43,32,13,15,0,1,0.938,2023-12-29,ARI,2,ANA,0,Lost,1.0
"2023-12-31 - EDM 7, ANA 2",ANA,54,65,41,50,30,39,2,7,3.07,3.95,22,45,10,21,8,15,1,3,12,24,4,14,1,3,36,23,16,10,0,1,0.887,2023-12-31,EDM,7,ANA,2,Lost,1.0
"2024-01-03 - TOR 2, ANA 1",ANA,44,104,32,78,28,57,1,2,2.63,5.62,21,55,9,22,9,13,1,2,12,33,8,16,0,0,22,59,10,26,0,0,1.001,2024-01-03,TOR,2,ANA,1,Lost,2.0
"2024-01-05 - WPG 3, ANA 1",ANA,76,60,55,40,38,27,1,3,3.38,2.41,30,26,15,7,8,6,0,0,15,19,9,11,1,3,49,33,20,8,0,0,0.915,2024-01-05,WPG,3,ANA,1,Lost,1.0
"2024-01-07 - DET 3, ANA 2",ANA,57,59,43,42,31,28,2,3,2.96,3.53,25,28,13,12,8,9,0,3,12,16,7,7,2,0,38,40,15,11,0,0,0.957,2024-01-07,DET,3,ANA,2,Lost,1.0
"2024-01-09 - ANA 5, NSH 3",ANA,53,73,39,54,33,42,5,3,2.7,2.86,23,36,10,15,7,9,3,1,13,21,7,11,1,2,38,47,14,21,1,0,1.08,2024-01-09,ANA,5,NSH,3,Lost,1.0
"2024-01-11 - ANA 3, CAR 6",ANA,38,61,27,44,16,34,3,6,2.28,3.26,20,29,10,14,6,13,2,4,10,15,4,7,1,2,24,39,6,13,0,0,1.011,2024-01-11,ANA,3,CAR,6,Won,1.0
"2024-01-13 - ANA 1, TB 5",ANA,43,70,29,55,20,41,1,5,2.22,3.39,18,35,10,16,7,15,0,2,8,19,1,8,0,0,24,42,11,18,1,3,0.928,2024-01-13,ANA,1,TB,5,Won,1.0
"2024-01-15 - ANA 5, FLA 4",ANA,50,76,39,57,26,33,5,4,1.92,3.44,20,28,11,15,8,8,3,2,9,13,5,6,2,2,32,67,9,18,0,0,1.071,2024-01-15,ANA,5,FLA,4,Lost,1.0
"2024-01-16 - ANA 0, WSH 2",ANA,63,51,40,37,24,28,0,2,1.97,3.03,21,24,6,12,4,7,0,1,15,12,2,5,0,0,42,29,16,15,0,0,0.929,2024-01-16,ANA,0,WSH,2,Won,0.0
"2024-01-20 - ANA 3, SJ 5",ANA,67,57,48,35,34,19,3,5,4.15,3.35,42,25,16,11,11,6,1,2,26,14,10,6,1,1,31,30,10,6,1,2,0.825,2024-01-20,ANA,3,SJ,5,Won,3.0
"2024-01-21 - NYR 5, ANA 2",ANA,36,79,22,53,18,33,2,5,1.39,3.55,11,40,6,14,6,8,2,3,5,26,2,4,0,0,28,48,7,19,0,1,0.96,2024-01-21,NYR,5,ANA,2,Lost,0.0
