Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-13 - ARI 4, NJ 3",ARI,53,66,39,46,33,36,3,3,4.01,3.32,30,31,14,10,11,8,0,0,16,21,9,10,1,3,26,38,11,14,2,0,1.008,2023-10-13,ARI,4,NJ,3,Lost,
"2023-10-16 - ARI 1, NYR 2",ARI,53,61,38,46,27,28,1,2,2.84,2.66,29,31,9,10,7,6,0,1,20,21,9,10,0,1,29,32,10,11,1,0,0.966,2023-10-16,ARI,1,NYR,2,Won,2.0
"2023-10-17 - ARI 0, NYI 1",ARI,46,64,30,51,14,34,0,1,1.71,2.67,22,24,6,10,2,9,0,0,16,14,2,6,0,0,23,53,10,18,0,1,0.971,2023-10-17,ARI,0,NYI,1,Won,0.0
"2023-10-19 - ARI 6, STL 2",ARI,69,45,55,35,42,26,6,2,3.8,1.87,33,23,7,10,5,9,3,1,26,13,15,6,2,1,50,28,21,9,1,0,1.066,2023-10-19,ARI,6,STL,2,Lost,1.0
"2023-10-21 - ANA 1, ARI 2",ARI,61,65,43,48,27,33,2,1,4.03,3.26,33,31,14,13,6,10,0,1,19,18,11,10,1,0,31,32,10,9,1,0,1.044,2023-10-21,ANA,1,ARI,2,Won,1.0
"2023-10-24 - ARI 3, LA 6",ARI,48,52,36,36,27,28,3,6,2.77,3.8,30,29,8,10,8,7,2,3,22,19,12,12,0,3,22,29,6,8,1,0,0.897,2023-10-24,ARI,3,LA,6,Won,2.0
"2023-10-27 - LA 5, ARI 4",ARI,39,77,30,55,24,41,4,5,2.72,3.88,21,36,11,11,10,7,3,2,10,25,3,10,1,0,24,53,11,22,0,3,1.045,2023-10-27,LA,5,ARI,4,Lost,2.0
"2023-10-30 - CHI 1, ARI 8",ARI,63,66,53,44,33,30,8,1,4.47,2.12,36,26,22,8,16,4,4,0,14,18,7,12,2,1,36,46,10,13,2,0,1.209,2023-10-30,CHI,1,ARI,8,Won,2.0
"2023-11-01 - ARI 3, ANA 4",ARI,67,42,49,35,35,29,3,4,3.15,2.03,32,23,9,9,8,5,3,1,23,14,12,10,0,2,45,26,14,14,0,1,0.948,2023-11-01,ARI,3,ANA,4,Won,1.0
"2023-11-02 - MTL 2, ARI 3",ARI,73,56,48,44,35,30,3,2,3.5,2.94,38,32,16,13,8,6,2,1,22,19,9,11,0,1,41,37,16,12,1,0,1.019,2023-11-02,MTL,2,ARI,3,Won,0.0
"2023-11-04 - WPG 5, ARI 3",ARI,45,65,33,43,25,27,3,5,2.7,2.93,25,31,13,15,10,11,3,4,12,16,5,6,0,0,23,35,9,9,0,1,0.935,2023-11-04,WPG,5,ARI,3,Lost,1.0
"2023-11-07 - SEA 3, ARI 4",ARI,55,72,44,56,27,38,3,3,2.99,3.6,26,34,11,13,7,9,1,2,15,21,7,8,1,0,33,47,11,19,1,1,1.032,2023-11-07,SEA,3,ARI,4,Won,2.0
