Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-11 - CHI 1, BOS 3",BOS,74,45,49,33,33,21,3,1,4.52,2.09,41,26,16,9,13,5,1,1,25,17,8,6,2,0,39,22,11,9,0,0,1.043,2023-10-11,CHI,1,BOS,3,Won,
"2023-10-14 - NSH 2, BOS 3",BOS,60,72,37,54,30,36,3,2,2.87,4.17,35,40,16,18,13,11,3,1,19,22,7,10,0,1,29,41,10,13,0,0,1.044,2023-10-14,NSH,2,BOS,3,Won,2.0
"2023-10-19 - BOS 3, SJ 1",BOS,59,65,48,46,36,27,3,1,4.61,1.71,31,24,22,8,16,5,1,0,9,16,6,6,1,1,31,46,12,14,1,0,1.046,2023-10-19,BOS,3,SJ,1,Lost,4.0
"2023-10-21 - BOS 4, LA 2",BOS,51,76,35,54,25,34,4,2,1.6,4.76,26,32,6,16,4,11,2,2,20,16,9,6,2,0,33,60,11,16,0,0,1.101,2023-10-21,BOS,4,LA,2,Lost,1.0
"2023-10-22 - BOS 3, ANA 1",BOS,56,63,42,50,26,31,3,1,3.5,3.66,29,27,10,15,9,8,2,1,19,12,6,7,1,0,31,41,10,15,0,0,1.083,2023-10-22,BOS,3,ANA,1,Lost,0.0
"2023-10-24 - BOS 3, CHI 0",BOS,66,45,52,32,43,23,3,0,2.54,1.86,26,19,9,10,7,6,3,0,17,9,11,5,0,0,49,35,22,11,0,0,1.07,2023-10-24,BOS,3,CHI,0,Lost,1.0
"2023-10-26 - ANA 4, BOS 3",BOS,57,60,43,47,30,32,3,4,2.85,2.59,29,26,11,9,6,7,2,1,18,17,12,7,0,2,29,38,11,17,1,1,0.975,2023-10-26,ANA,4,BOS,3,Lost,1.0
"2023-10-28 - DET 1, BOS 4",BOS,57,60,47,36,31,24,4,1,4.72,2.34,34,22,16,12,11,9,3,1,18,10,7,2,0,0,26,40,11,11,0,0,1.087,2023-10-28,DET,1,BOS,4,Won,1.0
"2023-10-30 - FLA 2, BOS 3",BOS,56,74,37,51,26,37,3,2,2.48,3.21,24,34,13,11,10,8,2,1,11,23,5,13,0,1,32,45,9,16,1,0,1.061,2023-10-30,FLA,2,BOS,3,Won,1.0
"2023-11-02 - TOR 2, BOS 3",BOS,76,69,56,53,40,35,2,2,4.39,2.86,38,34,22,11,17,7,2,0,16,23,5,13,0,2,46,35,18,14,0,0,0.993,2023-11-02,TOR,2,BOS,3,Won,2.0
"2023-11-04 - BOS 4, DET 5",BOS,54,73,38,51,30,40,4,5,2.16,3.25,27,31,8,10,7,8,3,2,19,21,11,11,1,2,34,41,11,19,0,1,1.008,2023-11-04,BOS,4,DET,5,Won,1.0
"2023-11-06 - BOS 3, DAL 2",BOS,57,78,36,57,29,37,3,2,3.11,3.21,29,37,11,17,6,13,1,1,18,20,8,9,2,1,34,49,13,15,0,0,1.049,2023-11-06,BOS,3,DAL,2,Lost,1.0
