Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-12 - NYR 5, BUF 1",BUF,61,57,38,43,25,31,1,5,2.22,4.74,21,22,6,15,5,10,1,3,15,7,3,3,0,1,46,40,17,16,0,0,0.879,2023-10-12,NYR,5,BUF,1,Lost,
"2023-10-14 - BUF 2, NYI 3",BUF,53,57,36,41,28,29,2,3,1.84,2.34,22,27,6,9,5,6,2,2,16,18,7,9,0,1,31,38,15,13,0,0,0.968,2023-10-14,BUF,2,NYI,3,Won,1.0
"2023-10-17 - TB 2, BUF 3",BUF,58,57,45,46,31,25,3,2,2.55,3.0,28,24,10,10,5,5,0,2,18,14,9,6,3,0,33,36,15,14,0,0,1.017,2023-10-17,TB,2,BUF,3,Won,2.0
"2023-10-19 - CGY 4, BUF 3",BUF,55,67,38,55,27,36,3,4,2.13,4.22,24,28,9,16,4,8,0,1,15,12,9,9,2,2,38,44,13,16,1,1,1.0,2023-10-19,CGY,4,BUF,3,Lost,1.0
"2023-10-21 - NYI 1, BUF 3",BUF,78,47,56,33,42,25,3,1,4.12,2.66,43,24,19,14,14,9,1,0,24,10,14,3,1,0,44,24,14,12,1,1,1.031,2023-10-21,NYI,1,BUF,3,Won,1.0
"2023-10-23 - MTL 3, BUF 1",BUF,69,51,51,39,37,27,1,3,3.67,3.95,28,30,8,17,6,13,0,3,20,13,13,6,0,0,49,25,17,7,1,0,0.916,2023-10-23,MTL,3,BUF,1,Lost,1.0
"2023-10-24 - BUF 6, OTT 4",BUF,43,65,32,49,24,38,6,4,2.93,3.96,21,32,8,14,6,12,1,1,13,18,7,10,4,2,27,49,9,16,0,1,1.145,2023-10-24,BUF,6,OTT,4,Lost,0.0
"2023-10-27 - BUF 4, NJ 5",BUF,53,69,40,47,27,39,4,5,2.77,3.48,28,36,12,13,10,10,1,4,16,23,7,13,1,1,25,33,8,14,2,0,1.02,2023-10-27,BUF,4,NJ,5,Won,2.0
"2023-10-29 - COL 0, BUF 4",BUF,45,63,36,40,29,23,4,0,3.1,2.57,23,30,10,14,6,6,1,0,13,16,9,8,2,0,23,42,10,9,0,0,1.138,2023-10-29,COL,0,BUF,4,Won,1.0
"2023-11-01 - BUF 5, PHI 2",BUF,37,75,25,56,15,40,5,2,2.09,3.21,14,31,6,14,2,9,2,1,8,17,6,10,3,1,26,56,7,20,0,0,1.283,2023-11-01,BUF,5,PHI,2,Lost,2.0
"2023-11-03 - PHI 5, BUF 1",BUF,52,53,38,31,22,19,1,5,2.66,2.33,27,28,14,15,7,7,0,2,13,13,6,7,1,3,30,23,9,3,0,0,0.782,2023-11-03,PHI,5,BUF,1,Lost,1.0
"2023-11-04 - BUF 6, TOR 4",BUF,64,61,50,43,41,29,6,4,4.36,2.99,36,28,17,12,12,7,3,3,19,16,15,8,3,1,30,39,12,13,0,0,1.008,2023-11-04,BUF,6,TOR,4,Lost,0.0
"2023-11-07 - BUF 2, CAR 3",BUF,43,66,35,45,21,27,2,3,2.01,2.84,18,34,8,14,7,7,1,1,10,20,1,7,0,1,29,36,12,11,1,1,0.984,2023-11-07,BUF,2,CAR,3,Won,2.0
"2023-11-10 - MIN 2, BUF 3",BUF,55,80,37,54,25,35,3,2,2.11,4.74,19,52,9,23,5,16,2,1,10,29,6,10,0,1,39,42,13,9,1,0,1.063,2023-11-10,MIN,2,BUF,3,Won,2.0
"2023-11-11 - BUF 0, PIT 4",BUF,62,71,49,56,35,40,0,4,2.71,4.69,27,33,11,11,6,10,0,1,16,22,7,9,0,1,33,45,18,19,0,2,0.9,2023-11-11,BUF,0,PIT,4,Won,0.0
"2023-11-14 - BOS 5, BUF 2",BUF,64,59,50,43,34,32,2,5,3.17,3.7,30,36,12,15,8,11,0,2,18,21,7,10,2,2,38,28,17,11,0,1,0.903,2023-11-14,BOS,5,BUF,2,Lost,2.0
"2023-11-17 - BUF 2, WPG 3",BUF,61,46,43,34,28,18,2,3,4.07,2.42,42,23,22,8,14,7,2,1,20,15,5,5,0,1,26,26,9,5,0,1,0.905,2023-11-17,BUF,2,WPG,3,Won,2.0
"2023-11-19 - BUF 3, CHI 2",BUF,41,59,31,41,20,26,3,2,1.72,2.55,20,28,6,9,3,5,0,2,14,19,7,5,2,0,29,40,10,16,1,0,1.073,2023-11-19,BUF,3,CHI,2,Lost,1.0
"2023-11-22 - BUF 3, WSH 4",BUF,67,54,42,41,27,30,3,4,2.8,2.21,31,26,10,8,5,3,1,1,21,18,7,7,2,2,37,33,15,20,0,1,0.978,2023-11-22,BUF,3,WSH,4,Won,2.0
"2023-11-24 - PIT 2, BUF 3",BUF,73,58,60,45,34,33,3,2,4.76,2.61,33,29,12,11,7,6,2,0,21,18,10,11,0,1,47,37,14,14,1,1,1.028,2023-11-24,PIT,2,BUF,3,Won,1.0
"2023-11-25 - BUF 2, NJ 7",BUF,31,72,22,52,12,37,2,7,1.05,4.07,9,41,5,18,3,14,2,5,4,23,3,12,0,2,22,36,5,10,0,0,0.977,2023-11-25,BUF,2,NJ,7,Won,0.0
