Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-11 - OTT 3, CAR 5",CAR,79,56,61,46,42,30,5,3,4.13,3.27,39,26,15,13,11,7,3,2,24,13,12,7,0,1,44,32,19,14,2,0,1.019,2023-10-11,OTT,3,CAR,5,Won,
"2023-10-14 - CAR 6, LA 5",CAR,45,67,31,43,19,30,5,5,2.0,2.88,22,35,8,10,5,5,1,2,14,25,6,11,3,2,24,47,7,14,1,1,1.096,2023-10-14,CAR,6,LA,5,Lost,2.0
"2023-10-15 - CAR 3, ANA 6",CAR,88,49,58,38,35,25,3,6,2.93,4.0,30,25,9,11,4,8,1,0,21,14,11,8,1,3,56,24,20,7,1,2,0.846,2023-10-15,CAR,3,ANA,6,Won,0.0
"2023-10-17 - CAR 6, SJ 3",CAR,91,34,56,23,42,16,6,3,4.15,1.69,45,15,22,6,14,4,4,1,23,9,9,5,1,1,51,18,15,6,1,1,0.955,2023-10-17,CAR,6,SJ,3,Lost,1.0
"2023-10-19 - CAR 4, SEA 7",CAR,72,56,50,39,36,36,4,7,3.32,2.96,25,26,11,10,7,9,3,4,14,16,7,10,1,2,43,35,21,13,0,0,0.917,2023-10-19,CAR,4,SEA,7,Won,1.0
"2023-10-21 - CAR 4, COL 6",CAR,59,52,42,44,27,27,4,6,3.48,3.93,26,25,14,9,11,7,2,3,12,16,4,11,1,2,38,32,11,8,1,1,0.926,2023-10-21,CAR,4,COL,6,Won,1.0
"2023-10-24 - CAR 0, TB 3",CAR,64,39,45,31,32,23,0,3,3.18,1.72,28,22,16,10,10,8,0,1,12,12,10,6,0,2,36,17,12,5,0,0,0.87,2023-10-24,CAR,0,TB,3,Won,2.0
"2023-10-26 - SEA 2, CAR 3",CAR,87,45,65,32,45,26,3,2,3.37,2.06,27,21,13,8,9,6,2,1,14,13,4,8,1,1,80,22,31,10,0,0,0.99,2023-10-26,SEA,2,CAR,3,Won,1.0
"2023-10-27 - SJ 0, CAR 3",CAR,88,44,65,30,40,20,3,0,4.92,2.43,45,20,14,9,7,5,0,0,31,11,13,5,2,0,54,30,19,8,1,0,1.075,2023-10-27,SJ,0,CAR,3,Won,0.0
"2023-10-30 - CAR 3, PHI 2",CAR,52,51,40,47,32,28,3,2,2.33,4.35,17,32,8,18,6,11,1,2,9,14,7,9,2,0,41,24,19,6,0,0,1.022,2023-10-30,CAR,3,PHI,2,Lost,2.0
