Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-12 - PHI 4, CBJ 2",CBJ,61,74,43,50,33,37,2,4,2.49,4.49,23,33,9,13,7,10,2,3,14,20,6,10,0,1,41,33,18,11,0,0,0.952,2023-10-12,PHI,4,CBJ,2,Lost,
"2023-10-14 - NYR 3, CBJ 5",CBJ,47,93,35,64,21,42,5,3,2.95,4.79,22,45,14,18,8,10,4,1,8,27,2,12,0,1,29,50,11,20,1,1,1.167,2023-10-14,NYR,3,CBJ,5,Won,1.0
"2023-10-16 - DET 4, CBJ 0",CBJ,50,48,35,38,23,28,0,4,2.03,2.95,19,26,6,13,3,13,0,3,13,13,6,6,0,1,34,35,11,9,0,0,0.857,2023-10-16,DET,4,CBJ,0,Lost,1.0
"2023-10-20 - CGY 1, CBJ 3",CBJ,65,69,47,51,29,37,3,1,2.83,3.28,26,30,7,14,3,7,0,0,19,16,8,5,2,1,45,37,15,20,0,0,1.076,2023-10-20,CGY,1,CBJ,3,Won,3.0
"2023-10-21 - CBJ 5, MIN 4",CBJ,92,69,68,40,54,28,5,4,4.92,2.22,44,27,18,6,13,3,2,0,26,21,15,9,2,3,60,40,24,15,1,1,0.95,2023-10-21,CBJ,5,MIN,4,Lost,0.0
"2023-10-24 - ANA 3, CBJ 2",CBJ,86,57,61,40,37,27,2,3,3.45,2.03,41,20,11,7,6,6,0,2,30,13,12,5,1,1,46,41,16,14,1,0,0.943,2023-10-24,ANA,3,CBJ,2,Lost,2.0
"2023-10-26 - CBJ 3, MTL 4",CBJ,72,71,48,46,36,29,3,4,4.0,3.98,38,36,20,18,15,11,2,2,18,18,6,9,1,1,32,31,13,9,0,1,0.945,2023-10-26,CBJ,3,MTL,4,Won,1.0
"2023-10-28 - NYI 2, CBJ 0",CBJ,69,74,48,58,34,34,0,2,3.39,3.59,37,34,13,12,10,9,0,2,24,22,9,10,0,0,31,41,13,15,0,0,0.941,2023-10-28,NYI,2,CBJ,0,Lost,1.0
"2023-10-30 - CBJ 3, DAL 5",CBJ,58,75,41,55,25,33,3,5,2.05,5.77,20,42,9,24,6,14,2,3,11,18,3,7,0,1,42,39,16,11,1,1,0.968,2023-10-30,CBJ,3,DAL,5,Won,1.0
"2023-11-02 - TB 2, CBJ 4",CBJ,63,72,43,47,28,29,4,2,3.49,2.58,28,35,7,11,4,4,1,1,21,24,11,10,2,1,45,41,13,13,1,0,1.074,2023-11-02,TB,2,CBJ,4,Won,2.0
"2023-11-04 - CBJ 1, WSH 2",CBJ,72,54,45,40,35,27,1,2,3.12,4.1,30,25,11,14,10,9,1,2,19,11,11,6,0,0,45,30,11,10,0,0,0.954,2023-11-04,CBJ,1,WSH,2,Won,1.0
"2023-11-06 - CBJ 4, FLA 5",CBJ,62,98,36,66,23,46,4,5,2.66,3.58,32,33,11,13,7,7,3,2,21,20,3,6,1,1,25,75,10,33,0,2,1.065,2023-11-06,CBJ,4,FLA,5,Won,1.0
"2023-11-09 - DAL 5, CBJ 2",CBJ,53,74,44,53,29,31,2,5,2.13,4.2,26,34,10,12,6,9,1,3,16,22,10,6,1,1,35,46,11,15,0,0,0.908,2023-11-09,DAL,5,CBJ,2,Lost,2.0
"2023-11-11 - CBJ 4, DET 5",CBJ,65,51,39,36,22,28,4,5,2.38,3.6,26,29,6,12,4,10,1,2,20,17,6,9,2,3,38,26,12,9,1,0,1.003,2023-11-11,CBJ,4,DET,5,Won,1.0
"2023-11-12 - CBJ 3, NYR 4",CBJ,53,88,40,65,28,40,3,3,2.92,3.83,36,38,12,10,9,4,1,1,24,28,11,15,2,2,22,61,7,19,0,0,1.032,2023-11-12,CBJ,3,NYR,4,Won,0.0
