Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-11 - WPG 3, CGY 5",CGY,45,83,31,57,22,37,5,3,3.78,5.21,23,50,10,19,7,13,3,1,13,31,7,11,1,2,28,39,6,12,1,0,1.146,2023-10-11,WPG,3,CGY,5,Won,
"2023-10-14 - CGY 2, PIT 5",CGY,81,48,55,42,36,29,2,5,2.64,3.85,41,30,12,11,4,8,1,0,29,19,12,11,0,4,53,19,20,8,1,0,0.883,2023-10-14,CGY,2,PIT,5,Won,2.0
"2023-10-16 - CGY 2, WSH 3",CGY,74,54,53,39,40,23,2,2,3.7,3.09,32,28,14,9,10,8,1,1,18,19,8,10,1,1,49,26,20,4,0,0,0.963,2023-10-16,CGY,2,WSH,3,Won,1.0
"2023-10-19 - CGY 4, BUF 3",CGY,67,55,55,38,36,27,4,3,4.22,2.13,28,24,16,9,8,4,1,0,12,15,9,9,2,2,44,38,16,13,1,1,1.0,2023-10-19,CGY,4,BUF,3,Lost,2.0
"2023-10-20 - CGY 1, CBJ 3",CGY,69,65,51,47,37,29,1,3,3.28,2.83,30,26,14,7,7,3,0,0,16,19,5,8,1,2,37,45,20,15,0,0,0.924,2023-10-20,CGY,1,CBJ,3,Won,0.0
"2023-10-22 - CGY 2, DET 6",CGY,52,52,43,40,31,30,2,6,3.19,2.62,20,26,13,8,9,4,1,1,7,18,2,11,0,4,38,36,18,13,1,1,0.865,2023-10-22,CGY,2,DET,6,Won,1.0
"2023-10-24 - NYR 3, CGY 1",CGY,65,39,42,28,26,20,1,3,3.08,2.06,28,20,14,9,8,8,1,3,14,11,5,4,0,0,33,20,10,6,0,0,0.888,2023-10-24,NYR,3,CGY,1,Lost,1.0
"2023-10-26 - STL 3, CGY 0",CGY,57,57,44,43,27,35,0,3,2.73,3.48,20,28,10,13,6,11,0,1,10,15,5,7,0,0,47,38,16,15,0,1,0.914,2023-10-26,STL,3,CGY,0,Lost,1.0
"2023-10-29 - CGY 2, EDM 5",CGY,65,58,47,45,26,33,2,5,3.1,4.57,30,34,12,21,9,14,2,2,18,13,5,9,0,0,46,28,11,8,0,2,0.925,2023-10-29,CGY,2,EDM,5,Won,2.0
"2023-11-01 - DAL 4, CGY 3",CGY,87,58,69,45,47,30,3,4,4.28,4.0,34,36,17,18,12,15,1,2,17,18,9,9,2,2,61,28,23,6,0,0,0.93,2023-11-01,DAL,4,CGY,3,Lost,2.0
"2023-11-04 - CGY 6, SEA 3",CGY,50,48,39,32,31,20,6,3,3.88,1.74,25,23,10,7,8,5,2,2,15,16,7,7,1,0,23,29,13,7,1,1,1.044,2023-11-04,CGY,6,SEA,3,Lost,2.0
"2023-11-07 - NSH 2, CGY 4",CGY,76,41,56,26,39,18,4,2,4.07,1.91,37,19,16,9,12,7,0,2,21,10,12,3,3,0,46,25,15,6,1,0,0.991,2023-11-07,NSH,2,CGY,4,Won,2.0
"2023-11-10 - CGY 4, TOR 5",CGY,57,82,41,62,28,36,4,4,2.13,3.75,25,44,10,17,7,9,3,3,15,27,10,11,1,1,34,39,11,13,0,0,1.032,2023-11-10,CGY,4,TOR,5,Won,2.0
"2023-11-11 - CGY 1, OTT 4",CGY,62,67,42,53,25,38,1,4,2.86,3.01,26,31,12,10,7,8,1,2,14,21,3,12,0,2,34,39,14,13,0,0,0.935,2023-11-11,CGY,1,OTT,4,Won,0.0
"2023-11-14 - CGY 2, MTL 1",CGY,59,75,50,53,29,35,2,1,2.9,4.5,26,36,11,14,3,11,1,0,15,22,8,10,1,0,38,37,13,12,0,1,1.04,2023-11-14,CGY,2,MTL,1,Lost,2.0
"2023-11-16 - VAN 2, CGY 5",CGY,78,53,56,36,39,22,5,2,3.64,2.07,32,25,10,9,7,4,1,1,22,16,12,8,1,0,47,28,16,8,2,1,1.037,2023-11-16,VAN,2,CGY,5,Won,1.0
"2023-11-18 - NYI 5, CGY 4",CGY,76,62,54,45,39,33,4,4,3.37,4.0,38,36,18,16,14,12,3,2,20,20,10,9,0,2,43,32,14,11,1,0,0.981,2023-11-18,NYI,5,CGY,4,Lost,1.0
"2023-11-20 - CGY 4, SEA 3",CGY,56,67,42,47,31,31,4,3,2.76,2.42,27,27,11,10,6,8,2,2,16,17,7,7,1,0,36,48,16,13,1,1,1.032,2023-11-20,CGY,4,SEA,3,Lost,1.0
"2023-11-22 - CGY 2, NSH 4",CGY,50,73,35,59,26,45,2,4,3.13,4.16,24,40,13,14,12,13,1,2,11,26,5,14,1,2,33,46,6,16,0,0,0.988,2023-11-22,CGY,2,NSH,4,Won,1.0
"2023-11-24 - CGY 7, DAL 4",CGY,60,50,40,40,27,28,7,4,3.38,2.99,27,30,13,13,6,7,4,1,14,17,7,11,3,1,34,22,13,10,0,2,1.116,2023-11-24,CGY,7,DAL,4,Lost,1.0
"2023-11-25 - CGY 1, COL 3",CGY,65,55,43,42,30,24,1,3,2.61,2.8,32,28,11,14,7,8,1,2,21,14,7,8,0,0,42,29,14,6,0,1,0.908,2023-11-25,CGY,1,COL,3,Won,0.0
"2023-11-27 - VGK 1, CGY 2",CGY,84,53,58,41,34,28,2,1,3.63,3.03,31,24,10,12,7,8,1,1,21,12,7,6,0,0,57,32,18,12,1,0,1.023,2023-11-27,VGK,1,CGY,2,Won,1.0
"2023-11-30 - DAL 3, CGY 4",CGY,71,52,49,28,36,16,4,3,3.17,2.11,31,23,12,12,9,8,2,3,19,11,9,3,1,0,35,30,17,4,1,0,0.924,2023-11-30,DAL,3,CGY,4,Won,2.0
"2023-12-02 - VAN 4, CGY 3",CGY,58,47,39,37,23,22,3,4,3.3,3.63,28,27,15,12,5,8,2,2,13,15,4,8,1,0,40,22,13,5,0,1,0.949,2023-12-02,VAN,4,CGY,3,Lost,1.0
"2023-12-05 - MIN 5, CGY 2",CGY,64,60,43,43,30,29,2,5,2.74,3.43,31,34,11,14,5,9,1,3,20,20,12,8,1,2,44,30,12,10,0,0,0.894,2023-12-05,MIN,5,CGY,2,Lost,2.0
"2023-12-07 - CAR 2, CGY 3",CGY,55,58,44,38,27,30,3,2,3.6,1.56,27,19,18,9,12,7,2,2,9,10,4,5,1,0,31,40,8,14,0,0,1.044,2023-12-07,CAR,2,CGY,3,Won,1.0
"2023-12-09 - NJ 4, CGY 2",CGY,56,63,39,42,25,30,2,4,2.25,3.43,23,24,10,12,6,7,1,2,13,12,5,5,0,0,34,38,12,16,1,1,0.947,2023-12-09,NJ,4,CGY,2,Lost,1.0
