Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-10 - CHI 4, PIT 2",CHI,73,71,54,55,36,41,4,2,5.21,3.31,35,27,16,12,12,9,3,1,19,15,10,10,1,0,36,50,12,18,0,1,1.062,2023-10-10,CHI,4,PIT,2,Lost,
"2023-10-11 - CHI 1, BOS 3",CHI,45,74,33,49,21,33,1,3,2.09,4.52,26,41,9,16,5,13,1,1,17,25,6,8,0,2,22,39,9,11,0,0,0.957,2023-10-11,CHI,1,BOS,3,Won,0.0
"2023-10-14 - CHI 2, MTL 3",CHI,61,66,41,44,30,36,2,3,5.37,2.97,34,30,16,13,13,11,2,2,18,17,7,10,0,0,28,37,10,12,0,1,0.983,2023-10-14,CHI,2,MTL,3,Won,2.0
"2023-10-16 - CHI 4, TOR 1",CHI,61,90,38,61,31,36,4,1,2.78,4.88,29,43,9,24,8,14,2,1,20,19,14,8,1,0,30,52,7,13,0,0,1.101,2023-10-16,CHI,4,TOR,1,Lost,1.0
"2023-10-19 - CHI 0, COL 4",CHI,36,69,27,52,18,41,0,4,1.85,3.99,18,39,8,14,7,12,0,2,10,25,5,14,0,2,24,36,6,14,0,0,0.902,2023-10-19,CHI,0,COL,4,Won,2.0
"2023-10-21 - VGK 5, CHI 3",CHI,52,49,34,31,24,24,3,5,1.89,2.47,23,28,5,10,2,9,0,4,18,18,10,7,3,1,37,31,12,7,0,0,0.917,2023-10-21,VGK,5,CHI,3,Lost,1.0
"2023-10-24 - BOS 3, CHI 0",CHI,45,66,32,52,23,43,0,3,1.86,2.54,19,26,10,9,6,7,0,3,9,17,5,11,0,0,35,49,11,22,0,0,0.93,2023-10-24,BOS,3,CHI,0,Lost,2.0
"2023-10-27 - CHI 4, VGK 3",CHI,57,49,40,33,24,21,4,3,1.99,2.3,26,27,7,11,3,5,0,2,19,16,9,7,4,1,32,31,11,8,0,0,1.024,2023-10-27,CHI,4,VGK,3,Lost,2.0
"2023-10-30 - CHI 1, ARI 8",CHI,66,63,44,53,30,33,1,8,2.12,4.47,26,36,8,22,4,16,0,4,18,14,12,7,1,2,46,36,13,10,0,2,0.791,2023-10-30,CHI,1,ARI,8,Won,2.0
"2023-11-04 - FLA 2, CHI 5",CHI,40,83,33,54,24,40,5,2,3.12,3.6,24,45,10,20,6,13,1,1,14,25,9,9,3,0,19,42,8,17,1,1,1.158,2023-11-04,FLA,2,CHI,5,Won,4.0
"2023-11-05 - NJ 4, CHI 2",CHI,55,72,41,53,34,41,2,4,2.37,4.03,28,33,8,19,6,13,2,3,20,14,10,4,0,0,31,40,12,22,0,0,0.961,2023-11-05,NJ,4,CHI,2,Lost,0.0
"2023-11-09 - CHI 5, TB 3",CHI,41,67,35,47,29,33,5,3,2.62,3.67,23,40,13,12,10,9,4,2,10,28,9,11,0,1,22,40,8,11,1,0,1.082,2023-11-09,CHI,5,TB,3,Lost,3.0
"2023-11-12 - CHI 3, FLA 4",CHI,41,72,31,47,26,31,3,4,1.63,3.58,12,32,5,15,5,10,1,3,7,17,4,8,1,0,32,44,16,13,1,1,0.986,2023-11-12,CHI,3,FLA,4,Won,2.0
"2023-11-16 - TB 4, CHI 2",CHI,38,66,23,53,14,32,2,4,2.59,4.72,21,35,12,18,9,14,2,3,9,17,2,7,0,0,24,34,3,11,0,1,1.018,2023-11-16,TB,4,CHI,2,Lost,3.0
"2023-11-18 - CHI 2, NSH 4",CHI,52,60,37,50,31,32,2,4,2.33,4.8,22,30,12,15,10,7,1,3,10,15,6,9,0,1,36,38,13,14,1,0,0.94,2023-11-18,CHI,2,NSH,4,Won,1.0
