Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-11 - COL 5, LA 2",COL,60,73,46,49,37,36,5,2,4.47,3.65,24,35,9,14,8,11,0,2,15,21,10,8,3,0,41,47,18,15,2,0,1.08,2023-10-11,COL,5,LA,2,Lost,
"2023-10-14 - COL 2, SJ 1",COL,111,57,81,38,52,21,1,1,5.05,2.9,48,31,23,9,14,6,0,1,25,22,8,8,1,0,79,31,27,5,0,0,0.972,2023-10-14,COL,2,SJ,1,Lost,2.0
"2023-10-17 - COL 4, SEA 1",COL,55,72,38,50,28,38,4,1,2.25,3.04,24,27,11,6,8,5,2,0,13,21,7,14,1,0,33,53,10,15,0,1,1.117,2023-10-17,COL,4,SEA,1,Lost,2.0
"2023-10-19 - CHI 0, COL 4",COL,69,36,52,27,41,18,4,0,3.99,1.85,39,18,14,8,12,7,2,0,25,10,14,5,2,0,36,24,14,6,0,0,1.098,2023-10-19,CHI,0,COL,4,Won,1.0
"2023-10-21 - CAR 4, COL 6",COL,52,59,44,42,27,27,6,4,3.93,3.48,25,26,9,14,7,11,3,2,16,12,11,4,2,1,32,38,8,11,1,1,1.074,2023-10-21,CAR,4,COL,6,Won,1.0
"2023-10-24 - COL 7, NYI 4",COL,72,58,52,46,39,32,7,4,4.16,2.88,41,27,13,15,7,8,2,2,28,12,15,6,4,2,34,39,14,16,0,0,1.054,2023-10-24,COL,7,NYI,4,Lost,2.0
"2023-10-26 - COL 0, PIT 4",COL,64,48,48,39,31,29,0,4,3.21,1.94,34,23,13,4,11,2,0,1,21,19,6,10,0,3,32,28,13,12,0,0,0.862,2023-10-26,COL,0,PIT,4,Won,1.0
"2023-10-29 - COL 0, BUF 4",COL,63,45,40,36,23,29,0,4,2.57,3.1,30,23,14,10,6,6,0,1,16,13,8,9,0,2,42,23,9,10,0,0,0.862,2023-10-29,COL,0,BUF,4,Won,2.0
"2023-11-01 - STL 1, COL 4",COL,59,54,43,44,28,28,4,1,3.23,2.41,32,28,15,10,10,5,2,0,17,18,5,9,1,1,39,33,12,12,1,0,1.107,2023-11-01,STL,1,COL,4,Won,2.0
"2023-11-04 - COL 0, VGK 7",COL,87,53,57,42,41,34,0,7,3.13,2.38,38,24,11,14,6,9,0,3,27,10,12,7,0,2,63,35,22,17,0,2,0.794,2023-11-04,COL,0,VGK,7,Won,2.0
"2023-11-07 - NJ 3, COL 6",COL,62,49,46,32,32,23,6,3,4.99,1.92,36,19,16,6,12,2,4,0,20,13,12,7,1,1,32,37,7,14,0,2,1.057,2023-11-07,NJ,3,COL,6,Won,2.0
"2023-11-09 - SEA 4, COL 3",COL,61,56,37,43,26,22,3,4,1.94,2.46,26,25,10,11,5,7,2,2,16,14,7,7,1,1,42,31,14,7,0,1,0.934,2023-11-09,SEA,4,COL,3,Lost,1.0
"2023-11-11 - STL 8, COL 2",COL,72,57,53,44,38,42,2,8,4.03,3.62,32,31,17,15,10,15,1,4,15,16,10,11,0,4,51,29,17,16,1,0,0.862,2023-11-11,STL,8,COL,2,Lost,1.0
"2023-11-13 - COL 5, SEA 1",COL,69,51,49,36,31,19,5,1,3.39,2.18,28,22,14,9,7,7,4,1,14,13,7,5,1,0,46,31,14,4,0,0,1.109,2023-11-13,COL,5,SEA,1,Lost,1.0
"2023-11-15 - ANA 2, COL 8",COL,55,37,48,27,38,17,8,2,3.45,2.14,32,23,15,12,13,8,5,2,17,11,13,4,3,0,28,21,12,5,0,0,1.093,2023-11-15,ANA,2,COL,8,Won,1.0
"2023-11-18 - COL 6, DAL 3",COL,67,54,52,41,38,28,6,3,4.31,2.93,29,31,16,15,15,12,4,2,13,16,6,5,1,1,36,29,14,10,0,0,1.051,2023-11-18,COL,6,DAL,3,Lost,2.0
"2023-11-20 - COL 3, NSH 4",COL,47,64,35,39,29,30,3,4,2.31,3.4,21,36,8,19,7,13,2,2,13,17,5,5,0,1,36,31,16,12,1,1,0.97,2023-11-20,COL,3,NSH,4,Won,1.0
"2023-11-22 - VAN 2, COL 5",COL,57,55,32,41,25,29,5,2,2.41,2.55,29,26,11,12,6,5,4,1,18,14,8,7,1,1,33,32,10,13,0,0,1.131,2023-11-22,VAN,2,COL,5,Won,1.0
"2023-11-24 - COL 3, MIN 2",COL,65,45,47,35,25,21,3,2,3.38,3.49,30,25,12,14,6,10,2,2,18,11,8,4,0,0,40,27,11,5,1,0,1.025,2023-11-24,COL,3,MIN,2,Lost,1.0
"2023-11-25 - CGY 1, COL 3",COL,55,65,42,43,24,30,3,1,2.8,2.61,28,32,14,11,8,7,2,1,14,21,8,7,0,0,29,42,6,14,1,0,1.092,2023-11-25,CGY,1,COL,3,Won,0.0
"2023-11-27 - TB 1, COL 4",COL,54,76,42,55,23,39,4,1,3.58,5.44,26,37,13,17,5,15,2,1,13,20,5,8,0,0,33,49,12,15,1,0,1.148,2023-11-27,TB,1,COL,4,Won,1.0
"2023-11-30 - COL 3, ARI 4",COL,63,65,44,49,31,33,3,4,2.57,4.11,24,32,8,17,6,13,1,4,16,15,6,4,1,0,45,34,19,14,1,0,0.976,2023-11-30,COL,3,ARI,4,Won,2.0
"2023-12-02 - COL 3, ANA 4",COL,74,63,51,49,37,37,3,3,3.29,3.64,45,36,13,14,8,9,0,2,32,22,16,10,3,1,37,40,12,17,0,0,1.0,2023-12-02,COL,3,ANA,4,Won,1.0
"2023-12-03 - COL 1, LA 4",COL,46,76,28,57,21,38,1,4,1.44,4.15,22,31,6,15,5,7,0,2,16,16,3,8,1,0,28,41,11,18,0,1,0.942,2023-12-03,COL,1,LA,4,Won,0.0
"2023-12-05 - ANA 2, COL 3",COL,60,57,44,38,30,33,3,2,3.33,2.63,23,17,11,9,10,8,3,1,12,8,8,6,0,0,37,38,12,17,0,1,1.039,2023-12-05,ANA,2,COL,3,Won,1.0
"2023-12-07 - WPG 4, COL 2",COL,62,55,47,38,34,28,2,4,2.91,2.71,27,23,15,9,7,6,2,1,12,14,7,6,0,2,38,34,18,13,0,1,0.916,2023-12-07,WPG,4,COL,2,Lost,1.0
"2023-12-09 - PHI 5, COL 2",COL,77,56,54,44,38,34,2,5,3.38,3.86,39,30,13,14,7,12,1,4,26,16,12,9,0,1,40,37,18,13,1,0,0.906,2023-12-09,PHI,5,COL,2,Lost,1.0
"2023-12-11 - CGY 5, COL 6",COL,83,60,51,46,38,32,6,5,3.34,3.08,41,31,15,16,11,13,4,3,26,15,11,6,2,1,45,34,13,11,0,1,1.002,2023-12-11,CGY,5,COL,6,Won,1.0
"2023-12-13 - BUF 1, COL 5",COL,61,62,43,41,29,30,5,1,2.66,2.86,33,28,18,11,10,9,3,1,15,17,5,10,1,0,33,41,14,9,1,0,1.139,2023-12-13,BUF,1,COL,5,Won,1.0
"2023-12-16 - COL 2, WPG 6",COL,62,57,45,40,32,25,2,6,3.16,3.19,31,30,12,10,8,9,1,4,19,20,8,7,1,2,37,32,14,8,0,0,0.823,2023-12-16,COL,2,WPG,6,Won,2.0
"2023-12-17 - SJ 2, COL 6",COL,67,57,48,36,29,27,6,2,4.26,3.03,39,27,14,13,12,7,3,1,25,14,9,7,1,1,32,29,7,12,1,0,1.133,2023-12-17,SJ,2,COL,6,Won,0.0
"2023-12-19 - COL 2, CHI 3",COL,66,42,52,35,37,22,2,3,3.46,2.29,30,21,18,8,12,8,2,2,12,13,8,3,0,1,42,25,16,10,0,0,0.918,2023-12-19,COL,2,CHI,3,Won,1.0
"2023-12-21 - OTT 4, COL 6",COL,60,81,52,58,39,45,6,4,4.01,5.21,34,37,12,22,8,14,1,1,22,15,14,7,1,2,32,46,15,21,4,1,1.065,2023-12-21,OTT,4,COL,6,Won,1.0
"2023-12-23 - ARI 1, COL 4",COL,41,39,31,32,26,25,4,1,1.64,2.1,24,19,7,10,6,7,1,1,17,9,9,5,3,0,18,22,8,13,0,0,1.114,2023-12-23,ARI,1,COL,4,Won,1.0
"2023-12-27 - COL 4, ARI 5",COL,49,60,38,44,24,27,4,5,2.79,2.59,23,29,12,13,6,11,2,3,11,16,9,6,1,1,33,34,7,9,1,1,0.981,2023-12-27,COL,4,ARI,5,Won,3.0
"2023-12-29 - COL 2, STL 1",COL,40,63,29,51,23,29,2,1,1.13,3.39,13,28,3,9,2,5,1,1,10,19,6,5,0,0,28,42,12,18,1,0,1.052,2023-12-29,COL,2,STL,1,Lost,1.0
"2023-12-31 - SJ 1, COL 3",COL,87,30,56,20,33,11,3,1,3.67,1.11,44,12,11,7,4,3,0,0,33,5,12,3,0,1,44,18,15,5,2,0,1.0,2023-12-31,SJ,1,COL,3,Won,1.0
"2024-01-02 - NYI 4, COL 5",COL,91,44,57,28,39,22,5,4,3.82,1.12,34,14,14,6,8,3,2,1,20,8,12,6,3,1,63,20,17,8,0,2,0.946,2024-01-02,NYI,4,COL,5,Won,1.0
"2024-01-04 - COL 5, DAL 4",COL,66,71,48,49,34,32,5,4,3.79,4.12,36,34,14,18,10,10,4,3,22,16,11,5,1,0,41,39,12,14,0,1,1.022,2024-01-04,COL,5,DAL,4,Lost,1.0
