Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-12 - STL 1, DAL 2",DAL,70,48,51,31,34,24,1,1,3.03,2.28,32,25,13,10,8,7,1,1,19,15,8,8,0,0,41,25,17,9,0,0,0.988,2023-10-12,STL,1,DAL,2,Won,
"2023-10-17 - DAL 2, VGK 3",DAL,57,64,37,44,26,34,2,2,2.45,2.99,28,27,13,8,8,6,1,1,15,19,5,7,0,0,40,44,13,18,1,1,1.018,2023-10-17,DAL,2,VGK,3,Won,4.0
"2023-10-19 - DAL 3, ANA 2",DAL,52,59,40,39,24,29,3,2,2.91,2.76,27,28,15,9,9,7,3,0,12,19,4,8,0,2,33,30,10,9,0,0,1.056,2023-10-19,DAL,3,ANA,2,Lost,1.0
"2023-10-21 - PHI 4, DAL 5",DAL,53,74,36,56,25,40,5,4,2.16,2.6,30,22,9,8,5,5,2,1,21,14,12,8,3,2,30,57,8,24,0,1,1.1,2023-10-21,PHI,4,DAL,5,Won,1.0
"2023-10-24 - DAL 4, PIT 1",DAL,62,74,49,55,34,39,4,1,3.21,3.62,27,44,10,16,5,12,3,1,17,28,7,12,1,0,45,41,21,14,0,0,1.092,2023-10-24,DAL,4,PIT,1,Lost,2.0
"2023-10-26 - TOR 4, DAL 1",DAL,73,55,48,40,32,24,1,4,3.66,4.2,37,22,19,9,13,6,0,2,18,13,8,3,1,1,36,33,11,12,0,0,0.865,2023-10-26,TOR,4,DAL,1,Lost,1.0
"2023-10-30 - CBJ 3, DAL 5",DAL,75,58,55,41,33,25,5,3,5.77,2.05,42,20,24,9,14,6,3,2,18,11,7,3,1,0,39,42,11,16,1,1,1.032,2023-10-30,CBJ,3,DAL,5,Won,3.0
"2023-11-01 - DAL 4, CGY 3",DAL,58,87,45,69,30,47,4,3,4.0,4.28,36,34,18,17,15,12,2,1,18,17,9,9,2,2,28,61,6,23,0,0,1.07,2023-11-01,DAL,4,CGY,3,Lost,1.0
"2023-11-02 - DAL 4, EDM 3",DAL,42,98,29,72,27,49,4,3,2.5,5.35,24,49,10,17,8,12,2,1,14,32,10,15,2,2,22,58,8,19,0,0,1.087,2023-11-02,DAL,4,EDM,3,Lost,0.0
"2023-11-04 - DAL 0, VAN 2",DAL,60,58,47,45,27,28,0,2,3.11,2.88,32,29,11,8,7,4,0,1,21,21,9,12,0,0,33,42,10,11,0,1,0.929,2023-11-04,DAL,0,VAN,2,Won,1.0
"2023-11-06 - BOS 3, DAL 2",DAL,78,57,57,36,37,29,2,3,3.21,3.11,37,29,17,11,13,6,1,1,20,18,9,8,1,2,49,34,15,13,0,0,0.951,2023-11-06,BOS,3,DAL,2,Lost,1.0
"2023-11-09 - DAL 5, CBJ 2",DAL,74,53,53,44,31,29,5,2,4.2,2.13,34,26,12,10,9,6,3,1,22,16,6,10,1,1,46,35,15,11,0,0,1.092,2023-11-09,DAL,5,CBJ,2,Lost,2.0
"2023-11-11 - DAL 3, WPG 2",DAL,55,57,38,38,29,33,3,2,2.85,1.45,31,16,14,6,9,5,1,1,17,10,6,4,2,0,29,47,13,21,0,1,1.043,2023-11-11,DAL,3,WPG,2,Lost,1.0
"2023-11-12 - DAL 8, MIN 3",DAL,69,51,52,39,37,26,8,3,4.4,2.61,35,24,20,12,15,7,6,1,15,12,4,3,1,0,40,31,15,14,1,2,1.101,2023-11-12,DAL,8,MIN,3,Lost,0.0
"2023-11-14 - ARI 3, DAL 4",DAL,77,42,53,33,36,26,4,3,2.94,2.11,46,19,19,7,10,6,2,1,27,12,13,5,2,1,42,25,11,15,0,1,0.996,2023-11-14,ARI,3,DAL,4,Won,1.0
