Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-12 - DET 3, NJ 4",DET,58,68,46,52,35,27,3,4,3.42,4.87,24,30,9,10,9,6,3,1,15,20,6,8,0,1,36,43,17,13,0,2,0.938,2023-10-12,DET,3,NJ,4,Won,
"2023-10-14 - TB 4, DET 6",DET,63,67,52,43,42,25,6,4,4.3,2.42,34,26,13,7,11,4,2,0,21,19,14,8,1,3,32,40,16,10,2,1,0.983,2023-10-14,TB,4,DET,6,Won,1.0
"2023-10-16 - DET 4, CBJ 0",DET,48,50,38,35,28,23,4,0,2.95,2.03,26,19,13,6,13,3,3,0,13,13,6,6,1,0,35,34,9,11,0,0,1.143,2023-10-16,DET,4,CBJ,0,Lost,1.0
"2023-10-18 - PIT 3, DET 6",DET,47,71,39,48,29,33,6,3,3.07,3.86,23,38,11,14,9,10,3,1,12,24,7,5,0,0,28,37,12,17,2,2,1.116,2023-10-18,PIT,3,DET,6,Won,1.0
"2023-10-21 - DET 5, OTT 2",DET,45,72,33,55,23,37,5,2,2.76,3.53,24,39,9,14,7,9,2,1,15,25,8,13,2,0,22,42,7,14,1,1,1.163,2023-10-21,DET,5,OTT,2,Lost,2.0
"2023-10-22 - CGY 2, DET 6",DET,52,52,40,43,30,31,6,2,2.62,3.19,26,20,8,13,4,9,1,1,18,7,11,2,4,0,36,38,13,18,1,1,1.135,2023-10-22,CGY,2,DET,6,Won,0.0
"2023-10-24 - SEA 5, DET 4",DET,58,82,42,61,27,38,4,5,3.09,4.15,31,40,9,16,5,10,1,2,22,24,10,12,3,2,30,44,11,13,0,1,1.017,2023-10-24,SEA,5,DET,4,Lost,1.0
"2023-10-26 - WPG 4, DET 1",DET,68,57,49,40,36,29,1,4,3.72,2.83,28,31,12,11,8,7,1,2,16,20,10,8,0,1,45,32,15,12,0,1,0.89,2023-10-26,WPG,4,DET,1,Lost,1.0
"2023-10-28 - DET 1, BOS 4",DET,60,57,36,47,24,31,1,4,2.34,4.72,22,34,12,16,9,11,1,3,10,18,2,7,0,0,40,26,11,11,0,0,0.913,2023-10-28,DET,1,BOS,4,Won,1.0
"2023-10-30 - DET 4, NYI 3",DET,73,70,53,58,36,40,4,3,3.64,4.82,40,39,15,20,8,13,3,2,25,19,13,9,1,1,38,43,13,17,0,0,1.036,2023-10-30,DET,4,NYI,3,Lost,1.0
"2023-11-02 - FLA 2, DET 0",DET,46,66,35,44,22,27,0,2,2.2,3.74,14,32,8,12,3,6,0,0,6,20,3,5,0,0,35,50,14,16,0,2,0.926,2023-11-02,FLA,2,DET,0,Lost,2.0
"2023-11-04 - BOS 4, DET 5",DET,73,54,51,38,40,30,5,4,3.25,2.16,31,27,10,8,8,7,2,3,21,19,11,11,2,1,41,34,19,11,1,0,0.992,2023-11-04,BOS,4,DET,5,Won,1.0
