Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-11 - EDM 1, VAN 8",EDM,55,54,40,43,27,32,1,8,2.97,3.83,27,29,10,12,7,9,0,4,17,17,6,10,0,2,35,36,13,12,1,2,0.787,2023-10-11,EDM,1,VAN,8,Won,
"2023-10-14 - VAN 4, EDM 3",EDM,88,33,60,24,40,16,3,4,5.16,2.07,49,19,21,7,10,5,1,4,28,12,14,5,2,0,45,18,16,4,0,0,0.825,2023-10-14,VAN,4,EDM,3,Lost,2.0
"2023-10-17 - EDM 6, NSH 1",EDM,54,66,44,52,30,44,6,1,3.06,3.07,31,35,9,10,3,9,3,0,22,25,14,17,3,1,25,41,11,16,0,0,1.177,2023-10-17,EDM,6,NSH,1,Lost,2.0
"2023-10-19 - EDM 1, PHI 4",EDM,53,47,33,41,23,32,1,4,2.07,2.79,24,28,13,12,10,9,1,3,11,16,1,12,0,0,31,26,11,9,0,1,0.918,2023-10-19,EDM,1,PHI,4,Won,1.0
"2023-10-21 - WPG 3, EDM 2",EDM,64,50,55,36,40,27,2,3,3.67,2.33,28,21,14,9,13,9,0,2,14,12,5,8,2,1,43,39,17,10,0,0,0.939,2023-10-21,WPG,3,EDM,2,Lost,1.0
"2023-10-24 - EDM 4, MIN 7",EDM,59,57,42,42,28,32,4,7,2.92,4.53,28,35,14,19,9,14,2,6,14,16,4,9,1,0,43,28,15,9,1,1,0.924,2023-10-24,EDM,4,MIN,7,Won,2.0
"2023-10-26 - NYR 3, EDM 0",EDM,66,58,47,45,29,32,0,3,3.75,2.81,33,30,14,8,10,5,0,0,19,22,5,14,0,2,44,34,14,13,0,1,0.906,2023-10-26,NYR,3,EDM,0,Lost,1.0
"2023-10-29 - CGY 2, EDM 5",EDM,58,65,45,47,33,26,5,2,4.57,3.1,34,30,21,12,14,9,2,2,13,18,9,5,0,0,28,46,8,11,2,0,1.075,2023-10-29,CGY,2,EDM,5,Won,2.0
"2023-11-02 - DAL 4, EDM 3",EDM,98,42,72,29,49,27,3,4,5.35,2.5,49,24,17,10,12,8,1,2,32,14,15,10,2,2,58,22,19,8,0,0,0.913,2023-11-02,DAL,4,EDM,3,Lost,3.0
"2023-11-04 - NSH 5, EDM 2",EDM,64,51,47,44,35,34,2,5,3.36,3.44,28,27,11,9,6,8,1,4,17,18,8,10,0,1,38,35,21,16,1,0,0.91,2023-11-04,NSH,5,EDM,2,Lost,1.0
