Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-12 - FLA 0, MIN 2",FLA,83,40,53,28,41,21,0,2,3.84,1.75,44,19,18,6,14,3,0,1,26,13,13,3,0,0,50,26,13,13,0,1,0.905,2023-10-12,FLA,0,MIN,2,Won,
"2023-10-14 - FLA 4, WPG 6",FLA,67,54,51,44,33,35,4,6,3.75,3.25,22,28,12,14,10,11,4,4,10,14,6,9,0,1,48,38,16,14,0,1,0.95,2023-10-14,FLA,4,WPG,6,Won,1.0
"2023-10-16 - FLA 4, NJ 3",FLA,49,71,40,47,30,34,4,3,4.04,3.89,24,40,10,14,7,11,4,2,14,26,6,11,0,1,26,34,14,11,0,0,1.045,2023-10-16,FLA,4,NJ,3,Lost,1.0
"2023-10-19 - TOR 1, FLA 3",FLA,57,66,38,39,24,30,3,1,2.98,3.1,28,36,7,15,3,10,0,1,21,21,8,8,0,0,41,36,12,11,2,0,1.092,2023-10-19,TOR,1,FLA,3,Won,2.0
"2023-10-21 - VAN 5, FLA 3",FLA,70,57,52,40,37,31,3,5,2.88,3.94,29,28,14,10,11,9,3,0,15,18,6,7,0,2,43,29,19,12,0,2,0.92,2023-10-21,VAN,5,FLA,3,Lost,1.0
"2023-10-24 - SJ 1, FLA 3",FLA,72,49,48,39,36,28,3,1,4.64,2.67,43,17,26,9,21,6,2,1,17,8,6,4,1,0,26,33,8,15,0,0,1.048,2023-10-24,SJ,1,FLA,3,Won,2.0
"2023-10-28 - SEA 2, FLA 3",FLA,68,60,53,48,37,33,3,2,2.92,2.89,27,29,12,13,6,10,2,2,15,16,8,8,0,0,50,38,21,14,1,0,1.02,2023-10-28,SEA,2,FLA,3,Won,3.0
"2023-10-30 - FLA 2, BOS 3",FLA,74,56,51,37,37,26,2,3,3.21,2.48,34,24,11,13,8,10,1,2,23,11,13,5,1,0,45,32,16,9,0,1,0.939,2023-10-30,FLA,2,BOS,3,Won,1.0
"2023-11-02 - FLA 2, DET 0",FLA,66,46,44,35,27,22,2,0,3.74,2.2,32,14,12,8,6,3,0,0,20,6,5,3,0,0,50,35,16,14,2,0,1.074,2023-11-02,FLA,2,DET,0,Lost,2.0
"2023-11-04 - FLA 2, CHI 5",FLA,83,40,54,33,40,24,2,5,3.6,3.12,45,24,20,10,13,6,1,1,25,14,9,9,0,3,42,19,17,8,1,1,0.842,2023-11-04,FLA,2,CHI,5,Won,1.0
"2023-11-06 - CBJ 4, FLA 5",FLA,98,62,66,36,46,23,5,4,3.58,2.66,33,32,13,11,7,7,2,3,20,21,6,3,1,1,75,25,33,10,2,0,0.935,2023-11-06,CBJ,4,FLA,5,Won,1.0
