Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-11 - COL 5, LA 2",LA,73,60,49,46,36,37,2,5,3.65,4.47,35,24,14,9,11,8,2,0,21,15,8,10,0,3,47,41,15,18,0,2,0.92,2023-10-11,COL,5,LA,2,Lost,
"2023-10-14 - CAR 6, LA 5",LA,67,45,43,31,30,19,5,5,2.88,2.0,35,22,10,8,5,5,2,1,25,14,11,6,2,3,47,24,14,7,1,1,0.904,2023-10-14,CAR,6,LA,5,Lost,2.0
"2023-10-17 - LA 5, WPG 1",LA,53,57,44,38,29,27,5,1,3.26,2.59,25,26,14,6,8,3,4,1,11,20,9,10,0,0,29,37,10,14,1,0,1.135,2023-10-17,LA,5,WPG,1,Lost,2.0
"2023-10-19 - LA 7, MIN 3",LA,50,58,36,46,27,32,7,3,3.09,2.46,23,24,5,7,3,5,2,1,18,17,10,10,3,2,30,47,10,16,0,0,1.166,2023-10-19,LA,7,MIN,3,Lost,1.0
"2023-10-21 - BOS 4, LA 2",LA,76,51,54,35,34,25,2,4,4.76,1.6,32,26,16,6,11,4,2,2,16,20,6,9,0,2,60,33,16,11,0,0,0.899,2023-10-21,BOS,4,LA,2,Lost,1.0
"2023-10-24 - ARI 3, LA 6",LA,52,48,36,36,28,27,6,3,3.8,2.77,29,30,10,8,7,8,3,2,19,22,12,12,3,0,29,22,8,6,0,1,1.103,2023-10-24,ARI,3,LA,6,Won,2.0
"2023-10-27 - LA 5, ARI 4",LA,77,39,55,30,41,24,5,4,3.88,2.72,36,21,11,11,7,10,2,3,25,10,10,3,0,1,53,24,22,11,3,0,0.955,2023-10-27,LA,5,ARI,4,Lost,2.0
"2023-10-28 - VGK 4, LA 3",LA,91,62,64,51,40,30,3,3,5.36,4.27,39,36,20,16,14,9,2,1,19,20,4,8,0,2,61,31,22,12,1,0,0.975,2023-10-28,VGK,4,LA,3,Lost,0.0
"2023-10-31 - LA 4, TOR 1",LA,62,49,48,39,27,30,4,1,2.71,2.56,30,25,10,10,7,6,4,0,20,15,6,10,0,1,31,29,11,12,0,0,1.115,2023-10-31,LA,4,TOR,1,Lost,2.0
"2023-11-02 - LA 3, OTT 2",LA,79,51,55,36,38,26,3,2,4.04,2.16,38,26,16,10,9,7,2,1,22,16,9,6,1,1,42,29,17,10,0,0,1.002,2023-11-02,LA,3,OTT,2,Lost,1.0
