Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-12 - FLA 0, MIN 2",MIN,40,83,28,53,21,41,2,0,1.75,3.84,19,44,6,18,3,14,1,0,13,26,3,13,0,0,26,50,13,13,1,0,1.095,2023-10-12,FLA,0,MIN,2,Won,
"2023-10-14 - MIN 4, TOR 7",MIN,65,54,46,43,32,33,4,7,3.31,3.61,31,29,12,15,9,12,3,3,19,14,8,7,0,2,40,29,12,13,1,2,0.913,2023-10-14,MIN,4,TOR,7,Won,1.0
"2023-10-17 - MIN 5, MTL 2",MIN,67,46,42,39,35,28,5,2,3.41,2.66,33,23,13,8,7,5,3,0,20,15,8,7,1,2,35,29,18,16,1,0,1.071,2023-10-17,MIN,5,MTL,2,Lost,2.0
"2023-10-19 - LA 7, MIN 3",MIN,58,50,46,36,32,27,3,7,2.46,3.09,24,23,7,5,5,3,1,2,17,18,10,10,2,3,47,30,16,10,0,0,0.834,2023-10-19,LA,7,MIN,3,Lost,1.0
"2023-10-21 - CBJ 5, MIN 4",MIN,69,92,40,68,28,54,4,5,2.22,4.92,27,44,6,18,3,13,0,2,21,26,9,15,3,2,40,60,15,24,1,1,1.05,2023-10-21,CBJ,5,MIN,4,Lost,1.0
"2023-10-24 - EDM 4, MIN 7",MIN,57,59,42,42,32,28,7,4,4.53,2.92,35,28,19,14,14,9,6,2,16,14,9,4,0,1,28,43,9,15,1,1,1.076,2023-10-24,EDM,4,MIN,7,Won,2.0
"2023-10-26 - MIN 2, PHI 6",MIN,63,59,45,43,28,35,2,6,2.43,2.83,25,24,11,13,6,9,2,4,14,11,3,3,0,1,40,33,15,21,0,1,0.9,2023-10-26,MIN,2,PHI,6,Won,1.0
"2023-10-27 - MIN 2, WSH 3",MIN,71,56,53,41,41,33,2,2,4.43,2.54,42,28,20,8,16,7,1,1,22,20,11,13,1,1,29,36,10,13,0,0,0.988,2023-10-27,MIN,2,WSH,3,Won,0.0
"2023-10-29 - MIN 3, NJ 4",MIN,68,59,48,42,34,30,3,4,3.85,2.54,34,25,12,9,7,5,3,1,22,16,10,8,0,2,38,37,16,16,0,1,0.955,2023-10-29,MIN,3,NJ,4,Won,1.0
"2023-11-02 - NJ 5, MIN 3",MIN,53,65,39,52,25,38,3,5,2.36,3.62,21,26,10,16,7,11,1,2,11,10,3,6,0,3,32,50,15,20,2,0,0.988,2023-11-02,NJ,5,MIN,3,Lost,3.0
