Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-11 - MTL 5, TOR 6",MTL,51,71,35,54,24,42,5,5,2.13,3.4,26,39,9,14,5,10,3,1,17,25,9,14,2,1,21,37,7,15,0,3,1.089,2023-10-11,MTL,5,TOR,6,Won,
"2023-10-14 - CHI 2, MTL 3",MTL,66,61,44,41,36,30,3,2,2.97,5.37,30,34,13,16,11,13,2,2,17,18,10,7,0,0,37,28,12,10,1,0,1.017,2023-10-14,CHI,2,MTL,3,Won,2.0
"2023-10-17 - MIN 5, MTL 2",MTL,46,67,39,42,28,35,2,5,2.66,3.41,23,33,8,13,5,7,0,3,15,20,7,8,2,1,29,35,16,18,0,1,0.929,2023-10-17,MIN,5,MTL,2,Lost,2.0
"2023-10-21 - WSH 2, MTL 3",MTL,66,65,45,47,28,33,3,2,3.48,4.81,39,38,18,23,9,13,2,2,21,15,11,7,1,0,32,32,8,13,0,0,1.047,2023-10-21,WSH,2,MTL,3,Won,3.0
"2023-10-23 - MTL 3, BUF 1",MTL,51,69,39,51,27,37,3,1,3.95,3.67,30,28,17,8,13,6,3,0,13,20,6,13,0,0,25,49,7,17,0,1,1.084,2023-10-23,MTL,3,BUF,1,Lost,1.0
"2023-10-24 - NJ 5, MTL 2",MTL,52,78,38,55,29,34,2,5,2.48,6.56,31,41,13,11,10,6,1,2,18,30,7,11,1,3,22,41,11,15,0,0,0.922,2023-10-24,NJ,5,MTL,2,Lost,0.0
"2023-10-26 - CBJ 3, MTL 4",MTL,71,72,46,48,29,36,4,3,3.98,4.0,36,38,18,20,11,15,2,2,18,18,9,6,1,1,31,32,9,13,1,0,1.055,2023-10-26,CBJ,3,MTL,4,Won,1.0
"2023-10-28 - WPG 3, MTL 4",MTL,51,79,38,58,29,45,3,3,2.68,3.34,23,34,9,15,8,9,2,3,14,19,6,14,1,0,23,43,13,19,0,0,1.037,2023-10-28,WPG,3,MTL,4,Won,1.0
"2023-10-30 - MTL 2, VGK 3",MTL,74,48,55,37,39,25,2,2,3.31,2.42,37,28,15,12,8,8,2,1,22,16,11,8,0,0,46,31,16,9,0,1,0.971,2023-10-30,MTL,2,VGK,3,Won,1.0
"2023-11-02 - MTL 2, ARI 3",MTL,56,73,44,48,30,35,2,3,2.94,3.5,32,38,13,16,6,8,1,2,19,22,11,9,1,0,37,41,12,16,0,1,0.981,2023-11-02,MTL,2,ARI,3,Won,2.0
"2023-11-04 - MTL 3, STL 6",MTL,58,62,45,47,33,35,3,6,3.67,3.26,32,32,16,13,11,9,2,2,16,19,8,10,1,3,32,35,13,12,0,1,0.919,2023-11-04,MTL,3,STL,6,Won,1.0
"2023-11-07 - TB 5, MTL 3",MTL,61,57,41,43,26,32,3,5,2.88,3.29,27,28,13,9,9,7,1,2,14,19,6,10,1,3,32,32,11,13,1,0,0.959,2023-11-07,TB,5,MTL,3,Lost,2.0
"2023-11-09 - MTL 3, DET 2",MTL,55,63,40,46,27,29,3,2,2.24,2.38,27,25,9,5,6,3,0,1,18,20,8,7,3,0,40,41,13,17,0,1,1.042,2023-11-09,MTL,3,DET,2,Lost,1.0
"2023-11-11 - BOS 2, MTL 3",MTL,58,58,40,40,27,28,3,2,3.15,2.62,32,30,14,9,10,7,2,2,18,21,6,8,0,0,29,30,9,11,1,0,1.04,2023-11-11,BOS,2,MTL,3,Won,1.0
"2023-11-12 - VAN 5, MTL 2",MTL,59,77,42,53,32,37,2,5,3.44,4.96,35,37,16,18,15,11,1,2,19,19,9,5,1,1,24,45,7,19,0,1,0.927,2023-11-12,VAN,5,MTL,2,Lost,0.0
"2023-11-14 - CGY 2, MTL 1",MTL,75,59,53,50,35,29,1,2,4.5,2.9,36,26,14,11,11,3,0,1,22,15,10,8,0,1,37,38,12,13,1,0,0.96,2023-11-14,CGY,2,MTL,1,Lost,1.0
"2023-11-16 - VGK 6, MTL 5",MTL,51,96,37,66,28,42,5,6,2.55,5.85,25,62,7,32,7,16,1,3,18,30,11,15,3,2,28,42,7,10,1,1,1.036,2023-11-16,VGK,6,MTL,5,Lost,1.0
"2023-11-18 - MTL 2, BOS 5",MTL,37,79,24,67,22,44,2,5,1.9,4.43,19,41,9,15,8,9,2,2,10,26,4,15,0,2,20,49,9,20,0,1,0.977,2023-11-18,MTL,2,BOS,5,Won,1.0
"2023-11-22 - MTL 4, ANA 3",MTL,52,67,38,50,28,33,4,3,2.82,3.11,26,33,13,13,10,7,2,2,13,20,6,10,1,1,29,35,12,12,1,0,1.052,2023-11-22,MTL,4,ANA,3,Lost,3.0
"2023-11-24 - MTL 3, SJ 2",MTL,59,61,38,43,24,33,2,2,2.05,3.27,29,31,9,14,5,10,0,1,20,17,12,10,2,1,35,26,7,11,0,0,1.023,2023-11-24,MTL,3,SJ,2,Lost,1.0
"2023-11-25 - MTL 0, LA 4",MTL,45,60,30,40,18,30,0,4,1.93,3.08,20,32,7,15,2,9,0,1,13,17,4,10,0,2,28,27,10,10,0,1,0.867,2023-11-25,MTL,0,LA,4,Won,0.0
"2023-11-29 - MTL 4, CBJ 2",MTL,62,58,43,44,31,28,4,2,3.33,2.38,26,25,10,12,8,6,3,2,16,13,6,5,0,0,35,37,16,16,1,0,1.058,2023-11-29,MTL,4,CBJ,2,Lost,3.0
"2023-11-30 - FLA 5, MTL 1",MTL,52,54,39,37,22,29,1,5,3.23,2.11,25,29,15,6,7,4,0,0,10,23,6,11,1,2,33,29,9,12,0,3,0.873,2023-11-30,FLA,5,MTL,1,Lost,0.0
"2023-12-02 - DET 5, MTL 4",MTL,66,56,44,42,30,33,4,5,2.36,3.68,25,34,8,13,4,11,2,2,17,21,9,11,2,2,43,25,14,10,0,1,0.982,2023-12-02,DET,5,MTL,4,Lost,1.0
"2023-12-04 - SEA 2, MTL 4",MTL,46,69,39,43,30,33,4,2,3.69,2.51,23,29,10,10,7,5,3,0,13,19,9,7,0,2,20,46,11,21,0,0,1.073,2023-12-04,SEA,2,MTL,4,Won,1.0
"2023-12-07 - LA 4, MTL 0",MTL,63,63,43,51,24,42,0,4,2.67,3.19,28,30,10,17,3,12,0,4,18,13,8,7,0,0,37,37,12,19,0,0,0.905,2023-12-07,LA,4,MTL,0,Lost,2.0
"2023-12-09 - MTL 3, BUF 2",MTL,57,78,47,62,31,48,2,2,2.88,4.45,35,43,12,21,9,16,0,0,23,22,9,14,2,2,27,42,11,18,0,0,1.023,2023-12-09,MTL,3,BUF,2,Lost,1.0
"2023-12-10 - NSH 2, MTL 1",MTL,66,55,52,39,37,32,1,2,3.84,3.15,30,26,17,11,13,8,0,2,13,15,5,7,1,0,41,31,18,17,0,0,0.965,2023-12-10,NSH,2,MTL,1,Lost,0.0
"2023-12-13 - PIT 4, MTL 3",MTL,73,62,58,44,42,30,3,3,4.88,3.04,43,31,19,10,14,7,2,2,24,21,14,10,1,1,38,34,14,12,0,0,0.971,2023-12-13,PIT,4,MTL,3,Lost,2.0
"2023-12-16 - NYI 3, MTL 5",MTL,73,62,55,44,41,33,5,3,5.33,3.63,40,29,21,13,16,9,4,1,19,16,8,9,0,2,37,30,16,14,0,0,1.031,2023-12-16,NYI,3,MTL,5,Won,2.0
"2023-12-18 - MTL 3, WPG 2",MTL,50,71,36,46,26,32,3,2,2.65,2.93,24,36,12,13,9,8,2,2,12,23,5,9,1,0,31,39,11,13,0,0,1.053,2023-12-18,MTL,3,WPG,2,Lost,1.0
"2023-12-21 - MTL 3, MIN 4",MTL,52,53,40,37,25,24,3,4,1.86,2.79,18,29,4,11,3,4,2,1,14,18,6,9,1,2,37,31,14,10,0,1,0.953,2023-12-21,MTL,3,MIN,4,Won,2.0
"2023-12-22 - MTL 5, CHI 2",MTL,61,55,38,36,28,21,5,2,3.2,2.03,28,29,13,13,9,6,4,1,15,16,3,6,0,1,37,26,13,8,0,0,1.083,2023-12-22,MTL,5,CHI,2,Lost,0.0
"2023-12-28 - MTL 3, CAR 5",MTL,53,73,40,43,21,31,3,5,2.49,2.77,23,33,10,13,5,8,2,2,13,20,4,5,0,2,34,44,11,15,1,0,0.982,2023-12-28,MTL,3,CAR,5,Won,5.0
"2023-12-30 - MTL 1, FLA 4",MTL,47,59,34,40,19,26,1,4,1.49,3.27,11,24,5,10,2,8,1,3,6,14,3,6,0,0,37,31,13,10,0,0,0.899,2023-12-30,MTL,1,FLA,4,Won,1.0
"2023-12-31 - MTL 3, TB 4",MTL,63,50,44,31,30,20,3,4,3.17,1.87,28,20,14,8,8,4,1,0,14,12,5,6,0,3,41,27,15,9,1,1,0.9,2023-12-31,MTL,3,TB,4,Won,0.0
"2024-01-02 - MTL 4, DAL 3",MTL,37,82,26,53,18,33,4,3,1.73,4.69,17,42,4,20,3,14,1,3,13,22,6,6,3,0,21,49,8,12,0,0,1.131,2024-01-02,MTL,4,DAL,3,Lost,1.0
"2024-01-04 - BUF 6, MTL 1",MTL,63,69,46,54,33,38,1,6,3.74,4.08,27,32,13,14,9,8,0,1,14,18,7,11,1,3,45,38,16,16,0,1,0.872,2024-01-04,BUF,6,MTL,1,Lost,1.0
"2024-01-06 - NYR 3, MTL 4",MTL,61,89,46,64,30,48,3,3,2.6,4.23,31,44,7,18,3,13,1,2,24,26,10,13,2,0,32,45,15,19,0,1,1.038,2024-01-06,NYR,3,MTL,4,Won,1.0
"2024-01-10 - MTL 2, PHI 3",MTL,47,79,31,52,19,39,2,2,2.25,2.5,23,34,10,9,7,5,1,0,13,25,4,11,0,0,27,56,8,22,1,2,1.054,2024-01-10,MTL,2,PHI,3,Won,3.0
"2024-01-11 - SJ 3, MTL 2",MTL,68,62,47,46,35,35,2,3,2.98,3.14,27,31,9,9,6,7,1,2,18,22,6,12,1,1,50,36,22,16,0,0,0.971,2024-01-11,SJ,3,MTL,2,Lost,0.0
"2024-01-13 - EDM 2, MTL 1",MTL,46,85,34,60,24,41,1,2,2.41,4.72,21,44,8,18,3,10,0,1,13,26,6,7,0,0,29,43,13,22,1,1,0.993,2024-01-13,EDM,2,MTL,1,Lost,1.0
"2024-01-15 - COL 3, MTL 4",MTL,47,84,39,54,34,35,4,3,3.16,3.59,16,40,7,13,7,5,3,1,9,27,7,11,0,1,40,44,19,18,1,1,1.032,2024-01-15,COL,3,MTL,4,Won,1.0
"2024-01-17 - MTL 3, NJ 2",MTL,45,69,33,52,25,30,3,2,2.99,3.87,25,28,12,14,9,8,3,0,13,14,7,5,0,0,19,48,7,17,0,2,1.053,2024-01-17,MTL,3,NJ,2,Lost,1.0
"2024-01-18 - MTL 2, OTT 6",MTL,52,76,35,61,23,37,2,6,2.62,3.87,29,37,8,15,5,7,0,1,21,22,8,15,2,3,26,47,10,12,0,2,0.925,2024-01-18,MTL,2,OTT,6,Won,0.0
"2024-01-20 - MTL 4, BOS 9",MTL,46,53,32,45,21,36,4,9,1.72,3.48,21,39,10,18,6,14,2,7,11,21,4,13,1,2,32,19,11,7,1,0,0.94,2024-01-20,MTL,4,BOS,9,Won,1.0
"2024-01-23 - OTT 4, MTL 1",MTL,50,50,34,36,25,28,1,4,2.1,2.73,21,20,7,11,3,9,0,2,14,9,7,5,0,1,37,32,13,12,1,0,0.897,2024-01-23,OTT,4,MTL,1,Lost,2.0
"2024-01-25 - NYI 3, MTL 4",MTL,43,88,32,69,26,46,4,3,2.59,6.78,24,45,10,23,9,13,3,1,14,22,6,11,1,1,27,53,11,21,0,1,1.089,2024-01-25,NYI,3,MTL,4,Won,1.0
"2024-01-27 - MTL 2, PIT 3",MTL,48,86,43,59,27,33,2,3,2.73,4.23,27,43,11,21,6,11,1,2,16,22,6,9,1,1,27,47,12,13,0,0,0.983,2024-01-27,MTL,2,PIT,3,Won,1.0
"2024-02-06 - MTL 5, WSH 2",MTL,39,75,33,54,26,39,5,2,1.73,3.26,17,26,4,17,3,11,2,1,13,9,6,3,2,0,30,58,16,23,1,1,1.141,2024-02-06,MTL,5,WSH,2,Lost,9.0
"2024-02-10 - DAL 3, MTL 2",MTL,49,68,31,50,20,38,2,3,1.92,3.61,24,33,8,16,2,9,0,1,16,17,6,11,0,2,29,35,11,15,2,0,1.021,2024-02-10,DAL,3,MTL,2,Lost,3.0
"2024-02-11 - STL 7, MTL 2",MTL,61,52,43,43,32,36,2,7,3.15,3.24,30,32,15,11,12,8,1,2,15,21,5,14,0,2,34,22,13,13,1,3,0.868,2024-02-11,STL,7,MTL,2,Lost,0.0
"2024-02-13 - ANA 0, MTL 5",MTL,75,43,57,28,38,13,5,0,4.45,1.67,35,24,19,8,13,1,4,0,16,16,6,3,1,0,51,18,19,8,0,0,1.132,2024-02-13,ANA,0,MTL,5,Won,1.0
"2024-02-15 - MTL 4, NYR 7",MTL,62,50,44,39,36,31,4,7,3.33,2.49,35,21,14,13,11,10,2,4,21,8,11,2,2,1,28,33,13,18,0,2,0.885,2024-02-15,MTL,4,NYR,7,Won,1.0
"2024-02-17 - WSH 4, MTL 3",MTL,65,79,47,51,31,34,3,4,4.16,5.24,28,45,12,24,6,16,1,4,16,21,10,10,1,0,39,27,13,7,1,0,0.979,2024-02-17,WSH,4,MTL,3,Lost,1.0
"2024-02-21 - BUF 3, MTL 2",MTL,66,48,51,29,31,23,2,3,2.61,1.98,22,24,9,8,6,8,0,3,13,16,7,6,0,0,55,25,17,8,2,0,0.934,2024-02-21,BUF,3,MTL,2,Lost,3.0
"2024-02-22 - MTL 1, PIT 4",MTL,73,54,51,43,31,27,1,4,3.97,3.22,34,24,15,7,9,2,0,1,19,17,8,9,1,1,48,34,13,14,0,1,0.884,2024-02-22,MTL,1,PIT,4,Won,0.0
"2024-02-24 - MTL 3, NJ 4",MTL,51,55,40,35,26,24,3,4,2.69,2.27,24,22,10,8,5,6,1,3,14,14,9,11,2,1,30,33,12,6,0,0,0.949,2024-02-24,MTL,3,NJ,4,Won,1.0
"2024-02-27 - ARI 2, MTL 4",MTL,42,83,29,55,21,38,4,2,1.8,3.88,20,41,9,16,7,10,1,1,11,25,5,12,2,1,20,42,7,15,1,0,1.138,2024-02-27,ARI,2,MTL,4,Won,2.0
"2024-02-29 - MTL 3, FLA 4",MTL,54,80,44,57,31,35,3,3,3.51,3.81,29,44,12,16,8,7,1,1,17,28,11,13,1,2,26,41,10,12,1,0,1.011,2024-02-29,MTL,3,FLA,4,Won,1.0
"2024-03-02 - MTL 3, TB 4",MTL,57,60,40,46,31,30,3,3,3.08,3.24,30,29,14,12,12,9,3,2,16,17,8,5,0,1,30,37,9,13,0,0,0.997,2024-03-02,MTL,3,TB,4,Won,1.0
"2024-03-05 - MTL 4, NSH 3",MTL,56,59,38,43,30,28,4,3,2.62,3.54,22,36,9,13,7,9,0,2,13,23,7,7,1,1,34,33,14,10,2,0,1.026,2024-03-05,MTL,4,NSH,3,Lost,2.0
"2024-03-07 - MTL 1, CAR 4",MTL,47,89,37,64,25,39,1,4,2.79,4.78,21,44,13,22,9,11,0,3,8,22,1,8,0,0,27,56,11,18,1,1,0.937,2024-03-07,MTL,1,CAR,4,Won,1.0
"2024-03-09 - TOR 3, MTL 2",MTL,52,50,38,33,31,27,2,3,2.3,1.88,17,21,5,8,5,7,1,2,12,13,5,7,1,1,46,27,21,13,0,0,0.953,2024-03-09,TOR,3,MTL,2,Lost,1.0
"2024-03-12 - CBJ 0, MTL 3",MTL,44,98,37,64,23,41,3,0,2.62,5.01,20,46,11,19,7,10,2,0,9,27,2,10,1,0,25,50,11,18,0,0,1.13,2024-03-12,CBJ,0,MTL,3,Won,2.0
"2024-03-14 - BOS 2, MTL 1",MTL,50,61,31,41,19,24,1,2,2.01,3.84,23,33,6,17,3,11,1,2,17,16,5,5,0,0,28,27,8,5,0,0,0.969,2024-03-14,BOS,2,MTL,1,Lost,1.0
"2024-03-16 - MTL 2, CGY 5",MTL,76,52,54,33,38,28,2,5,3.2,2.43,36,22,13,11,8,11,0,4,23,11,9,7,1,1,47,32,18,8,1,0,0.874,2024-03-16,MTL,2,CGY,5,Won,1.0
