Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-12 - DET 3, NJ 4",NJ,68,58,52,46,27,35,4,3,4.87,3.42,30,24,10,9,6,9,1,3,20,15,8,6,1,0,43,36,13,17,2,0,1.062,2023-10-12,DET,3,NJ,4,Won,
"2023-10-13 - ARI 4, NJ 3",NJ,66,53,46,39,36,33,3,3,3.32,4.01,31,30,10,14,8,11,0,0,21,16,10,9,3,1,38,26,14,11,0,2,0.992,2023-10-13,ARI,4,NJ,3,Lost,0.0
"2023-10-16 - FLA 4, NJ 3",NJ,71,49,47,40,34,30,3,4,3.89,4.04,40,24,14,10,11,7,2,4,26,14,11,6,1,0,34,26,11,14,0,0,0.955,2023-10-16,FLA,4,NJ,3,Lost,2.0
"2023-10-20 - NJ 5, NYI 4",NJ,74,47,47,38,39,32,5,4,2.69,2.83,36,25,12,14,11,12,1,1,24,11,9,6,3,2,41,25,16,11,1,1,1.003,2023-10-20,NJ,5,NYI,4,Lost,3.0
"2023-10-24 - NJ 5, MTL 2",NJ,78,52,55,38,34,29,5,2,6.56,2.48,41,31,11,13,6,10,2,1,30,18,11,7,3,1,41,22,15,11,0,0,1.078,2023-10-24,NJ,5,MTL,2,Lost,3.0
"2023-10-25 - WSH 6, NJ 4",NJ,58,51,34,37,22,25,4,6,2.59,2.62,37,22,13,10,9,6,4,3,24,12,6,7,0,3,21,28,5,11,0,0,0.942,2023-10-25,WSH,6,NJ,4,Lost,0.0
"2023-10-27 - BUF 4, NJ 5",NJ,69,53,47,40,39,27,5,4,3.48,2.77,36,28,13,12,10,10,4,1,23,16,13,7,1,1,33,25,14,8,0,2,0.98,2023-10-27,BUF,4,NJ,5,Won,1.0
"2023-10-29 - MIN 3, NJ 4",NJ,59,68,42,48,30,34,4,3,2.54,3.85,25,34,9,12,5,7,1,3,16,22,8,10,2,0,37,38,16,16,1,0,1.045,2023-10-29,MIN,3,NJ,4,Won,1.0
"2023-11-02 - NJ 5, MIN 3",NJ,65,53,52,39,38,25,5,3,3.62,2.36,26,21,16,10,11,7,2,1,10,11,6,3,3,0,50,32,20,15,0,2,1.012,2023-11-02,NJ,5,MIN,3,Lost,3.0
"2023-11-03 - NJ 1, STL 4",NJ,61,64,52,49,34,35,1,4,3.42,6.06,36,24,18,13,10,6,1,3,18,11,8,5,0,0,28,47,15,23,0,1,0.915,2023-11-03,NJ,1,STL,4,Won,0.0
