Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-10 - NSH 3, TB 5",NSH,65,61,46,50,31,34,3,5,4.23,3.99,34,30,15,10,12,9,2,3,19,20,6,7,0,1,34,45,13,18,1,1,0.95,2023-10-10,NSH,3,TB,5,Won,
"2023-10-12 - SEA 0, NSH 3",NSH,74,61,54,40,35,23,3,0,5.07,2.87,30,23,12,12,9,6,1,0,18,11,8,3,0,0,40,39,16,12,1,0,1.086,2023-10-12,SEA,0,NSH,3,Won,1.0
"2023-10-14 - NSH 2, BOS 3",NSH,72,60,54,37,36,30,2,3,4.17,2.87,40,35,18,16,11,13,1,3,22,19,10,7,1,0,41,29,13,10,0,0,0.956,2023-10-14,NSH,2,BOS,3,Won,1.0
"2023-10-17 - EDM 6, NSH 1",NSH,66,54,52,44,44,30,1,6,3.07,3.06,35,31,10,9,9,3,0,3,25,22,17,14,1,3,41,25,16,11,0,0,0.823,2023-10-17,EDM,6,NSH,1,Lost,2.0
"2023-10-19 - NSH 4, NYR 1",NSH,46,60,36,38,27,24,4,1,3.47,2.28,22,23,15,5,12,2,3,0,7,18,3,5,0,0,29,41,12,15,1,1,1.106,2023-10-19,NSH,4,NYR,1,Lost,1.0
"2023-10-21 - SJ 1, NSH 5",NSH,57,60,44,37,34,32,5,1,3.31,2.38,34,29,14,10,9,9,3,1,20,19,12,4,2,0,33,38,11,17,0,0,1.116,2023-10-21,SJ,1,NSH,5,Won,1.0
"2023-10-24 - VAN 3, NSH 2",NSH,43,64,28,41,18,24,2,3,1.71,3.33,21,31,8,10,3,5,0,2,13,21,4,8,2,1,27,34,10,10,0,0,0.986,2023-10-24,VAN,3,NSH,2,Lost,2.0
"2023-10-28 - TOR 2, NSH 3",NSH,55,69,42,46,24,35,3,2,2.3,2.87,23,36,9,8,6,7,2,1,14,28,8,12,1,0,42,40,10,14,0,1,1.068,2023-10-28,TOR,2,NSH,3,Won,3.0
"2023-10-31 - NSH 2, VAN 5",NSH,64,45,51,33,29,27,2,5,4.1,3.22,36,24,19,11,11,10,1,3,17,13,9,7,0,1,23,25,5,10,1,1,0.884,2023-10-31,NSH,2,VAN,5,Won,2.0
"2023-11-02 - NSH 2, SEA 4",NSH,65,56,51,36,34,31,2,4,3.99,2.24,34,31,16,7,8,4,1,1,18,24,12,13,0,0,38,35,13,12,1,3,0.93,2023-11-02,NSH,2,SEA,4,Won,1.0
