Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-14 - BUF 2, NYI 3",NYI,57,53,41,36,29,28,3,2,2.34,1.84,27,22,9,6,6,5,2,2,18,16,9,7,1,0,38,31,13,15,0,0,1.032,2023-10-14,BUF,2,NYI,3,Won,
"2023-10-17 - ARI 0, NYI 1",NYI,64,46,51,30,34,14,1,0,2.67,1.71,24,22,10,6,9,2,0,0,14,16,6,2,0,0,53,23,18,10,1,0,1.029,2023-10-17,ARI,0,NYI,1,Won,2.0
"2023-10-20 - NJ 5, NYI 4",NYI,47,74,38,47,32,39,4,5,2.83,2.69,25,36,14,12,12,11,1,1,11,24,6,9,2,3,25,41,11,16,1,1,0.997,2023-10-20,NJ,5,NYI,4,Lost,2.0
"2023-10-21 - NYI 1, BUF 3",NYI,47,78,33,56,25,42,1,3,2.66,4.12,24,43,14,19,9,14,0,1,10,24,3,14,0,1,24,44,12,14,1,1,0.969,2023-10-21,NYI,1,BUF,3,Won,0.0
"2023-10-24 - COL 7, NYI 4",NYI,58,72,46,52,32,39,4,7,2.88,4.16,27,41,15,13,8,7,2,2,12,28,6,15,2,4,39,34,16,14,0,0,0.946,2023-10-24,COL,7,NYI,4,Lost,2.0
"2023-10-26 - OTT 2, NYI 3",NYI,64,76,43,59,38,47,3,2,3.06,4.52,35,41,12,13,10,11,2,0,23,28,14,16,1,0,36,42,13,17,0,2,1.036,2023-10-26,OTT,2,NYI,3,Won,1.0
"2023-10-28 - NYI 2, CBJ 0",NYI,74,69,58,48,34,34,2,0,3.59,3.39,34,37,12,13,9,10,2,0,22,24,10,9,0,0,41,31,15,13,0,0,1.059,2023-10-28,NYI,2,CBJ,0,Lost,1.0
"2023-10-30 - DET 4, NYI 3",NYI,70,73,58,53,40,36,3,4,4.82,3.64,39,40,20,15,13,8,2,3,19,25,9,13,1,1,43,38,17,13,0,0,0.964,2023-10-30,DET,4,NYI,3,Lost,1.0
"2023-11-02 - NYI 3, WSH 0",NYI,42,84,35,58,21,32,3,0,3.73,5.0,21,52,11,22,7,12,1,0,10,30,3,6,1,0,28,34,10,12,1,0,1.143,2023-11-02,NYI,3,WSH,0,Lost,2.0
"2023-11-04 - CAR 4, NYI 3",NYI,38,101,31,72,25,47,3,4,1.99,4.48,23,32,11,16,10,11,3,1,12,16,7,7,0,1,20,79,6,28,0,2,1.035,2023-11-04,CAR,4,NYI,3,Lost,1.0
"2023-11-07 - MIN 4, NYI 2",NYI,72,58,47,45,29,31,2,4,3.29,2.62,38,21,14,13,5,7,0,1,24,8,6,3,1,0,35,41,17,16,1,3,0.94,2023-11-07,MIN,4,NYI,2,Lost,2.0
"2023-11-09 - NYI 2, BOS 5",NYI,62,60,43,45,29,35,2,5,2.95,3.42,26,30,15,13,11,7,2,3,11,17,4,13,0,2,34,31,11,13,0,0,0.926,2023-11-09,NYI,2,BOS,5,Won,1.0
"2023-11-11 - WSH 4, NYI 1",NYI,98,49,64,37,37,28,1,4,3.24,4.06,42,20,12,11,5,7,0,2,30,9,10,5,0,0,62,29,21,13,1,2,0.884,2023-11-11,WSH,4,NYI,1,Lost,1.0
"2023-11-13 - NYI 1, EDM 4",NYI,59,64,47,42,33,32,1,4,2.61,3.83,27,30,9,9,7,8,0,2,18,21,11,8,1,2,40,51,14,14,0,0,0.905,2023-11-13,NYI,1,EDM,4,Won,1.0
"2023-11-15 - NYI 3, VAN 4",NYI,58,87,42,63,33,43,3,4,2.79,4.94,25,45,9,17,5,9,1,0,16,28,9,16,2,2,36,54,18,18,0,2,0.998,2023-11-15,NYI,3,VAN,4,Won,1.0
"2023-11-16 - NYI 3, SEA 4",NYI,63,63,41,52,23,32,3,3,2.37,2.6,28,28,13,11,8,6,2,2,15,17,4,9,0,1,39,41,10,15,1,0,1.037,2023-11-16,NYI,3,SEA,4,Won,0.0
"2023-11-18 - NYI 5, CGY 4",NYI,62,76,45,54,33,39,4,4,4.0,3.37,36,38,16,18,12,14,2,3,20,20,9,10,2,0,32,43,11,14,0,1,1.019,2023-11-18,NYI,5,CGY,4,Lost,1.0
"2023-11-22 - PHI 2, NYI 3",NYI,50,83,36,56,25,36,3,2,2.52,3.54,26,41,14,17,9,10,3,1,12,24,5,5,0,1,28,46,10,20,0,0,1.064,2023-11-22,PHI,2,NYI,3,Won,3.0
"2023-11-24 - NYI 5, OTT 3",NYI,50,82,32,49,26,31,5,3,3.13,3.34,29,35,14,17,11,13,3,3,15,18,5,5,2,0,23,49,9,11,0,0,1.096,2023-11-24,NYI,5,OTT,3,Lost,1.0
"2023-11-25 - PHI 1, NYI 0",NYI,63,79,37,54,25,40,0,0,2.06,3.7,28,36,9,16,7,10,0,0,19,20,7,7,0,0,41,46,11,21,0,0,1.0,2023-11-25,PHI,1,NYI,0,Lost,0.0
"2023-11-28 - NYI 4, NJ 5",NYI,42,73,36,51,26,33,4,5,3.1,3.22,20,30,12,11,11,8,3,4,8,19,3,9,1,1,23,44,10,13,0,0,1.002,2023-11-28,NYI,4,NJ,5,Won,2.0
"2023-11-30 - NYI 5, CAR 4",NYI,40,96,28,65,16,43,5,4,2.21,4.28,21,47,9,17,6,11,3,4,12,30,5,13,2,0,18,57,5,19,0,0,1.219,2023-11-30,NYI,5,CAR,4,Lost,1.0
"2023-12-02 - NYI 4, FLA 3",NYI,54,94,35,68,27,45,4,3,2.7,4.37,24,48,12,19,11,11,3,1,12,29,5,12,1,2,30,60,11,22,0,0,1.081,2023-12-02,NYI,4,FLA,3,Lost,1.0
"2023-12-05 - SJ 5, NYI 4",NYI,79,74,59,50,39,37,4,5,3.96,3.23,50,35,13,15,7,11,0,3,37,20,19,7,3,2,34,44,12,16,1,0,0.967,2023-12-05,SJ,5,NYI,4,Lost,2.0
"2023-12-07 - CBJ 3, NYI 7",NYI,57,72,42,49,36,35,7,3,2.84,2.66,28,32,11,10,10,8,3,1,17,22,7,9,3,1,35,40,18,16,1,1,1.109,2023-12-07,CBJ,3,NYI,7,Won,1.0
"2023-12-09 - LA 2, NYI 3",NYI,56,68,45,46,30,36,3,2,3.36,3.52,26,28,13,16,12,11,3,0,13,12,4,5,0,0,32,47,11,19,0,2,1.044,2023-12-09,LA,2,NYI,3,Won,1.0
"2023-12-11 - TOR 3, NYI 4",NYI,63,70,49,53,29,40,4,3,3.24,4.15,30,37,15,18,8,14,1,3,15,19,6,10,2,0,37,43,14,16,1,0,1.063,2023-12-11,TOR,3,NYI,4,Won,1.0
"2023-12-13 - ANA 3, NYI 4",NYI,67,50,51,38,35,24,4,3,2.81,2.45,31,19,12,12,7,7,0,1,19,7,10,3,4,1,46,35,18,12,0,1,0.989,2023-12-13,ANA,3,NYI,4,Won,1.0
"2023-12-15 - BOS 5, NYI 4",NYI,63,67,53,46,37,34,4,4,4.94,2.34,38,33,19,11,17,8,2,1,19,22,9,11,2,1,33,34,8,15,0,2,0.99,2023-12-15,BOS,5,NYI,4,Lost,1.0
"2023-12-16 - NYI 3, MTL 5",NYI,62,73,44,55,33,41,3,5,3.63,5.33,29,40,13,21,9,16,1,4,16,19,9,8,2,0,30,37,14,16,0,0,0.969,2023-12-16,NYI,3,MTL,5,Won,0.0
"2023-12-19 - EDM 1, NYI 3",NYI,38,81,28,56,21,31,3,1,2.27,3.82,23,39,10,16,8,9,2,0,13,23,5,8,1,1,17,50,6,14,0,0,1.111,2023-12-19,EDM,1,NYI,3,Won,2.0
"2023-12-20 - NYI 2, WSH 3",NYI,61,68,43,49,32,36,2,3,2.63,3.37,27,36,15,12,8,3,2,0,12,24,4,17,0,2,40,29,20,13,0,1,0.979,2023-12-20,NYI,2,WSH,3,Won,0.0
"2023-12-23 - NYI 5, CAR 4",NYI,44,84,35,58,28,40,5,4,2.19,4.0,20,36,7,16,7,13,1,2,13,20,6,6,3,1,27,62,13,20,1,1,1.079,2023-12-23,NYI,5,CAR,4,Lost,2.0
"2023-12-27 - PIT 7, NYI 0",NYI,48,68,34,47,22,32,0,7,1.75,4.83,26,43,9,22,4,17,0,4,17,21,8,8,0,3,35,33,9,7,0,0,0.781,2023-12-27,PIT,7,NYI,0,Lost,3.0
"2023-12-29 - WSH 1, NYI 5",NYI,70,48,52,40,32,27,5,1,3.95,2.27,36,26,16,12,11,6,3,0,20,14,8,8,1,1,37,24,12,13,1,0,1.119,2023-12-29,WSH,1,NYI,5,Won,1.0
"2023-12-31 - NYI 1, PIT 3",NYI,70,87,51,60,38,38,1,3,4.24,4.47,43,38,18,14,15,10,0,2,25,24,11,9,1,0,27,49,12,18,0,1,0.947,2023-12-31,NYI,1,PIT,3,Won,1.0
"2024-01-02 - NYI 4, COL 5",NYI,44,91,28,57,22,39,4,5,1.12,3.82,14,34,6,14,3,8,1,2,8,20,6,12,1,3,20,63,8,17,2,0,1.054,2024-01-02,NYI,4,COL,5,Won,1.0
