Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-12 - NYR 5, BUF 1",NYR,57,61,43,38,31,25,5,1,4.74,2.22,22,21,15,6,10,5,3,1,7,15,3,3,1,0,40,46,16,17,0,0,1.121,2023-10-12,NYR,5,BUF,1,Lost,
"2023-10-14 - NYR 3, CBJ 5",NYR,93,47,64,35,42,21,3,5,4.79,2.95,45,22,18,14,10,8,1,4,27,8,12,2,1,0,50,29,20,11,1,1,0.833,2023-10-14,NYR,3,CBJ,5,Won,1.0
"2023-10-16 - ARI 1, NYR 2",NYR,61,53,46,38,28,27,2,1,2.66,2.84,31,29,10,9,6,7,1,0,21,20,10,9,1,0,32,29,11,10,0,1,1.034,2023-10-16,ARI,1,NYR,2,Won,1.0
"2023-10-19 - NSH 4, NYR 1",NYR,60,46,38,36,24,27,1,4,2.28,3.47,23,22,5,15,2,12,0,3,18,7,5,3,0,0,41,29,15,12,1,1,0.894,2023-10-19,NSH,4,NYR,1,Lost,2.0
"2023-10-21 - NYR 4, SEA 1",NYR,48,50,40,34,27,19,4,1,2.35,1.53,18,9,5,2,3,1,3,0,13,7,8,6,1,0,38,39,16,11,0,1,1.096,2023-10-21,NYR,4,SEA,1,Lost,1.0
"2023-10-24 - NYR 3, CGY 1",NYR,39,65,28,42,20,26,3,1,2.06,3.08,20,28,9,14,8,8,3,1,11,14,4,5,0,0,20,33,6,10,0,0,1.112,2023-10-24,NYR,3,CGY,1,Lost,2.0
"2023-10-26 - NYR 3, EDM 0",NYR,58,66,45,47,32,29,3,0,2.81,3.75,30,33,8,14,5,10,0,0,22,19,14,5,2,0,34,44,13,14,1,0,1.094,2023-10-26,NYR,3,EDM,0,Lost,1.0
"2023-10-28 - NYR 4, VAN 3",NYR,52,69,41,48,24,33,4,3,3.05,3.22,25,31,10,12,5,9,2,2,15,19,5,8,1,0,28,46,11,14,1,1,1.076,2023-10-28,NYR,4,VAN,3,Lost,1.0
"2023-10-30 - NYR 3, WPG 2",NYR,51,69,39,46,26,29,3,2,2.66,2.45,19,29,13,10,8,5,2,1,6,19,3,10,1,1,36,45,14,14,0,0,1.046,2023-10-30,NYR,3,WPG,2,Lost,1.0
"2023-11-02 - CAR 1, NYR 2",NYR,52,66,40,44,26,27,2,1,2.92,2.64,27,26,11,11,7,6,2,1,16,15,6,7,0,0,30,39,11,13,0,0,1.04,2023-11-02,CAR,1,NYR,2,Won,2.0
"2023-11-04 - NYR 4, MIN 5",NYR,41,98,25,65,18,40,4,4,1.45,4.89,16,48,7,20,4,17,2,4,9,28,2,7,1,0,27,51,11,14,1,0,1.122,2023-11-04,NYR,4,MIN,5,Won,1.0
"2023-11-07 - DET 3, NYR 5",NYR,62,55,53,44,32,28,5,3,3.91,2.95,33,23,13,11,6,6,2,1,20,12,13,7,2,1,35,41,13,13,1,1,1.049,2023-11-07,DET,3,NYR,5,Won,2.0
"2023-11-09 - MIN 1, NYR 4",NYR,55,63,41,48,28,26,4,1,3.0,2.5,31,32,12,10,8,6,2,1,19,22,9,6,1,0,29,34,9,14,0,0,1.104,2023-11-09,MIN,1,NYR,4,Won,1.0
"2023-11-12 - CBJ 3, NYR 4",NYR,88,53,65,40,40,28,3,3,3.83,2.92,38,36,10,12,4,9,1,1,28,24,15,11,2,2,61,22,19,7,0,0,0.968,2023-11-12,CBJ,3,NYR,4,Won,2.0
"2023-11-18 - NYR 5, NJ 3",NYR,63,68,46,48,35,33,5,3,4.1,3.1,29,32,12,15,11,12,2,1,17,17,9,6,1,1,36,36,13,15,1,1,1.052,2023-11-18,NYR,5,NJ,3,Lost,5.0
"2023-11-20 - NYR 3, DAL 6",NYR,63,75,52,52,33,36,3,6,3.75,4.62,30,32,17,14,10,11,3,3,13,18,6,9,0,1,39,44,15,10,0,0,0.924,2023-11-20,NYR,3,DAL,6,Won,1.0
"2023-11-22 - NYR 1, PIT 0",NYR,60,76,46,49,36,32,1,0,3.22,3.17,30,34,12,15,11,9,1,0,18,19,9,11,0,0,36,50,13,11,0,0,1.028,2023-11-22,NYR,1,PIT,0,Lost,1.0
"2023-11-24 - NYR 3, PHI 1",NYR,48,63,33,48,19,37,3,1,2.08,3.12,23,23,7,10,5,8,2,1,16,13,7,6,1,0,26,47,4,22,0,0,1.131,2023-11-24,NYR,3,PHI,1,Lost,1.0
"2023-11-25 - BOS 4, NYR 7",NYR,74,61,59,44,40,31,7,4,4.56,3.26,43,35,23,16,13,10,4,2,20,19,10,10,2,0,43,33,17,11,1,2,1.046,2023-11-25,BOS,4,NYR,7,Won,0.0
"2023-11-27 - BUF 5, NYR 1",NYR,53,61,35,45,26,39,1,5,2.86,4.18,26,27,12,14,9,12,0,4,14,13,6,10,0,1,32,33,9,16,1,0,0.91,2023-11-27,BUF,5,NYR,1,Lost,1.0
"2023-11-29 - DET 2, NYR 3",NYR,84,53,59,37,41,27,3,2,4.67,2.37,44,28,26,11,13,7,1,0,18,17,8,8,2,1,48,22,19,9,0,1,0.999,2023-11-29,DET,2,NYR,3,Won,1.0
"2023-12-02 - NYR 4, NSH 3",NYR,54,83,38,62,27,41,4,3,2.89,4.93,28,48,14,22,8,14,4,1,14,26,8,10,0,2,36,43,10,15,0,0,1.075,2023-12-02,NYR,4,NSH,3,Lost,2.0
"2023-12-03 - SJ 5, NYR 6",NYR,67,63,49,45,36,28,6,5,4.17,3.43,38,37,19,19,15,12,3,3,19,18,9,3,3,1,28,31,11,11,0,1,0.988,2023-12-03,SJ,5,NYR,6,Won,0.0
"2023-12-05 - NYR 2, OTT 6",NYR,54,68,45,48,35,36,2,6,3.2,4.59,28,29,12,15,9,9,1,4,16,14,11,10,0,1,27,35,11,14,1,1,0.89,2023-12-05,NYR,2,OTT,6,Won,1.0
"2023-12-09 - NYR 0, WSH 4",NYR,58,51,46,40,31,29,0,4,2.59,2.78,24,27,6,7,2,6,0,1,18,20,13,10,0,3,41,35,14,12,0,0,0.862,2023-12-09,NYR,0,WSH,4,Won,3.0
"2023-12-10 - LA 1, NYR 4",NYR,52,43,37,32,27,26,4,1,3.16,2.0,30,17,10,6,10,5,2,1,20,11,7,5,2,0,32,28,9,14,0,0,1.11,2023-12-10,LA,1,NYR,4,Won,0.0
"2023-12-12 - TOR 7, NYR 3",NYR,71,51,51,41,31,30,3,7,3.88,4.5,42,30,19,16,10,13,0,5,23,14,10,9,1,1,35,30,11,8,2,1,0.863,2023-12-12,TOR,7,NYR,3,Lost,1.0
"2023-12-15 - ANA 1, NYR 5",NYR,68,56,49,47,39,30,5,1,4.08,3.16,36,25,15,11,12,5,1,0,21,14,14,9,3,1,35,41,11,15,1,0,1.095,2023-12-15,ANA,1,NYR,5,Won,2.0
"2023-12-16 - NYR 2, BOS 1",NYR,67,55,51,36,34,22,2,1,3.39,2.23,31,21,12,10,6,7,0,1,19,11,11,3,2,0,45,36,17,9,0,0,1.013,2023-12-16,NYR,2,BOS,1,Lost,0.0
"2023-12-19 - NYR 5, TOR 2",NYR,63,63,45,47,36,33,5,2,2.62,2.37,25,34,4,11,3,6,1,0,21,23,13,10,2,2,38,32,17,14,2,0,1.078,2023-12-19,NYR,5,TOR,2,Lost,2.0
"2023-12-22 - EDM 4, NYR 3",NYR,68,60,43,45,34,28,3,4,2.72,4.47,34,25,12,9,10,7,1,2,22,16,10,7,2,2,37,37,12,12,0,0,0.945,2023-12-22,EDM,4,NYR,3,Lost,2.0
"2023-12-23 - BUF 3, NYR 4",NYR,78,57,51,44,33,30,4,3,3.13,3.44,36,28,12,15,6,10,2,1,24,13,12,6,0,2,50,34,15,14,2,0,1.021,2023-12-23,BUF,3,NYR,4,Won,0.0
"2023-12-27 - WSH 1, NYR 5",NYR,50,56,44,41,31,27,5,1,2.68,1.94,29,22,13,7,8,4,2,0,16,15,10,7,0,0,20,34,10,15,3,1,1.124,2023-12-27,WSH,1,NYR,5,Won,3.0
"2023-12-29 - NYR 3, FLA 4",NYR,59,73,46,49,34,32,3,4,3.01,2.96,30,37,12,16,10,9,1,2,18,21,10,8,2,1,31,38,12,12,0,1,0.963,2023-12-29,NYR,3,FLA,4,Won,1.0
"2023-12-30 - NYR 5, TB 1",NYR,39,78,31,53,21,35,5,1,3.89,2.88,19,32,8,8,6,7,2,0,11,24,6,9,3,0,20,51,7,18,0,1,1.21,2023-12-30,NYR,5,TB,1,Lost,0.0
