Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-11 - OTT 3, CAR 5",OTT,56,79,46,61,30,42,3,5,3.27,4.13,26,39,13,15,7,11,2,3,13,24,7,12,1,0,32,44,14,19,0,2,0.981,2023-10-11,OTT,3,CAR,5,Won,
"2023-10-14 - PHI 2, OTT 5",OTT,53,50,44,32,31,21,5,2,3.41,2.6,26,29,9,11,6,7,1,1,17,18,10,7,2,1,33,26,12,7,2,0,1.066,2023-10-14,PHI,2,OTT,5,Won,2.0
"2023-10-15 - TB 2, OTT 5",OTT,62,50,44,34,38,24,5,2,3.63,1.7,29,20,11,6,11,4,4,2,18,14,8,9,1,0,34,34,13,9,0,0,1.048,2023-10-15,TB,2,OTT,5,Won,0.0
"2023-10-18 - WSH 1, OTT 6",OTT,64,48,41,33,29,24,6,1,2.44,2.91,21,23,8,11,4,8,3,1,13,12,8,4,2,0,48,24,17,10,1,0,1.165,2023-10-18,WSH,1,OTT,6,Won,2.0
"2023-10-21 - DET 5, OTT 2",OTT,72,45,55,33,37,23,2,5,3.53,2.76,39,24,14,9,9,7,1,2,25,15,13,8,0,2,42,22,14,7,1,1,0.837,2023-10-21,DET,5,OTT,2,Lost,2.0
"2023-10-24 - BUF 6, OTT 4",OTT,65,43,49,32,38,24,4,6,3.96,2.93,32,21,14,8,12,6,1,1,18,13,10,7,2,4,49,27,16,9,1,0,0.855,2023-10-24,BUF,6,OTT,4,Lost,2.0
"2023-10-26 - OTT 2, NYI 3",OTT,76,64,59,43,47,38,2,3,4.52,3.06,41,35,13,12,11,10,0,2,28,23,16,14,0,1,42,36,17,13,2,0,0.964,2023-10-26,OTT,2,NYI,3,Won,1.0
"2023-10-28 - OTT 5, PIT 2",OTT,48,77,37,53,26,43,5,2,2.97,4.35,27,36,13,16,9,12,3,1,14,20,8,11,2,0,23,39,8,18,0,1,1.146,2023-10-28,OTT,5,PIT,2,Lost,1.0
"2023-11-02 - LA 3, OTT 2",OTT,51,79,36,55,26,38,2,3,2.16,4.04,26,38,10,16,7,9,1,2,16,22,6,9,1,1,29,42,10,17,0,0,0.998,2023-11-02,LA,3,OTT,2,Lost,4.0
"2023-11-04 - TB 6, OTT 4",OTT,58,66,41,48,28,38,4,6,2.91,4.51,26,39,11,16,9,15,2,5,15,23,6,10,2,1,40,37,12,10,0,0,0.985,2023-11-04,TB,6,OTT,4,Lost,1.0
