Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-12 - PHI 4, CBJ 2",PHI,74,61,50,43,37,33,4,2,4.49,2.49,33,23,13,9,10,7,3,2,20,14,10,6,1,0,33,41,11,18,0,0,1.048,2023-10-12,PHI,4,CBJ,2,Lost,
"2023-10-14 - PHI 2, OTT 5",PHI,50,53,32,44,21,31,2,5,2.6,3.41,29,26,11,9,7,6,1,1,18,17,7,10,1,2,26,33,7,12,0,2,0.934,2023-10-14,PHI,2,OTT,5,Won,1.0
"2023-10-17 - VAN 0, PHI 2",PHI,60,57,48,41,42,26,2,0,4.78,2.14,34,24,18,10,16,4,1,0,16,14,10,7,1,0,25,37,12,14,0,0,1.048,2023-10-17,VAN,0,PHI,2,Won,2.0
"2023-10-19 - EDM 1, PHI 4",PHI,47,53,41,33,32,23,4,1,2.79,2.07,28,24,12,13,9,10,3,1,16,11,12,1,0,0,26,31,9,11,1,0,1.082,2023-10-19,EDM,1,PHI,4,Won,1.0
"2023-10-21 - PHI 4, DAL 5",PHI,74,53,56,36,40,25,4,5,2.6,2.16,22,30,8,9,5,5,1,2,14,21,8,12,2,3,57,30,24,8,1,0,0.9,2023-10-21,PHI,4,DAL,5,Won,1.0
"2023-10-24 - PHI 2, VGK 3",PHI,58,67,39,37,28,29,2,3,2.31,2.63,22,29,7,10,6,6,1,1,15,19,5,9,0,1,33,46,15,13,1,1,0.968,2023-10-24,PHI,2,VGK,3,Won,2.0
"2023-10-26 - MIN 2, PHI 6",PHI,59,63,43,45,35,28,6,2,2.83,2.43,24,25,13,11,9,6,4,2,11,14,3,3,1,0,33,40,21,15,1,0,1.1,2023-10-26,MIN,2,PHI,6,Won,1.0
"2023-10-28 - ANA 7, PHI 4",PHI,65,46,46,34,30,25,4,7,2.83,2.34,31,24,14,8,10,7,2,4,17,16,6,9,2,3,47,20,12,3,0,0,0.853,2023-10-28,ANA,7,PHI,4,Lost,1.0
"2023-10-30 - CAR 3, PHI 2",PHI,51,52,47,40,28,32,2,3,4.35,2.33,32,17,18,8,11,6,2,1,14,9,9,7,0,2,24,41,6,19,0,0,0.978,2023-10-30,CAR,3,PHI,2,Lost,1.0
"2023-11-01 - BUF 5, PHI 2",PHI,75,37,56,25,40,15,2,5,3.21,2.09,31,14,14,6,9,2,1,2,17,8,10,6,1,3,56,26,20,7,0,0,0.717,2023-11-01,BUF,5,PHI,2,Lost,1.0
"2023-11-03 - PHI 5, BUF 1",PHI,53,52,31,38,19,22,5,1,2.33,2.66,28,27,15,14,7,7,2,0,13,13,7,6,3,1,23,30,3,9,0,0,1.218,2023-11-03,PHI,5,BUF,1,Lost,1.0
"2023-11-04 - LA 5, PHI 0",PHI,55,54,39,43,24,30,0,5,2.12,2.22,26,29,7,13,7,9,0,2,19,16,5,9,0,2,29,31,11,10,0,1,0.833,2023-11-04,LA,5,PHI,0,Lost,0.0
"2023-11-07 - PHI 1, SJ 2",PHI,65,53,46,30,39,19,1,2,3.14,2.68,27,22,11,9,8,5,0,0,16,13,13,5,1,2,37,34,16,8,0,0,0.92,2023-11-07,PHI,1,SJ,2,Won,2.0
"2023-11-10 - PHI 6, ANA 3",PHI,58,78,46,55,36,38,6,3,3.79,4.03,28,41,13,18,12,14,5,2,15,23,5,10,0,1,32,46,15,10,1,0,1.088,2023-11-10,PHI,6,ANA,3,Lost,2.0
"2023-11-11 - PHI 4, LA 2",PHI,48,78,36,55,26,37,4,2,2.74,3.98,21,34,11,12,8,7,3,1,10,22,5,8,0,0,34,49,11,19,1,1,1.1,2023-11-11,PHI,4,LA,2,Lost,0.0
"2023-11-15 - PHI 3, CAR 1",PHI,37,77,28,44,24,32,3,1,1.72,2.89,12,37,5,11,5,7,2,0,7,26,5,13,0,1,33,49,14,11,1,0,1.094,2023-11-15,PHI,3,CAR,1,Lost,3.0
"2023-11-18 - VGK 3, PHI 4",PHI,74,70,45,43,38,31,4,3,2.78,2.54,32,28,10,12,5,7,3,1,22,16,11,8,0,1,52,41,21,14,1,1,1.008,2023-11-18,VGK,3,PHI,4,Won,2.0
"2023-11-19 - CBJ 2, PHI 5",PHI,55,58,41,38,27,22,5,2,3.66,2.26,24,26,7,9,4,3,1,1,17,17,9,11,1,1,27,34,12,6,2,0,1.094,2023-11-19,CBJ,2,PHI,5,Won,0.0
"2023-11-22 - PHI 2, NYI 3",PHI,83,50,56,36,36,25,2,3,3.54,2.52,41,26,17,14,10,9,1,3,24,12,5,5,1,0,46,28,20,10,0,0,0.936,2023-11-22,PHI,2,NYI,3,Won,2.0
"2023-11-24 - NYR 3, PHI 1",PHI,63,48,48,33,37,19,1,3,3.12,2.08,23,23,10,7,8,5,1,2,13,16,6,7,0,1,47,26,22,4,0,0,0.869,2023-11-24,NYR,3,PHI,1,Lost,1.0
"2023-11-25 - PHI 1, NYI 0",PHI,79,63,54,37,40,25,0,0,3.7,2.06,36,28,16,9,10,7,0,0,20,19,7,7,0,0,46,41,21,11,0,0,1.0,2023-11-25,PHI,1,NYI,0,Lost,0.0
"2023-11-28 - CAR 4, PHI 1",PHI,55,77,39,51,29,36,1,4,2.37,3.48,21,35,7,9,6,5,0,2,14,26,7,10,1,0,38,43,15,18,0,2,0.923,2023-11-28,CAR,4,PHI,1,Lost,2.0
"2023-11-30 - NJ 4, PHI 3",PHI,81,64,64,47,47,35,3,4,4.2,4.53,34,39,15,16,11,12,1,1,19,23,6,10,2,3,56,31,28,8,0,0,0.95,2023-11-30,NJ,4,PHI,3,Lost,1.0
"2023-12-02 - PHI 4, PIT 3",PHI,56,80,45,52,34,32,3,3,2.94,3.58,25,35,11,7,8,3,2,2,14,28,9,7,1,0,32,62,14,20,0,1,0.994,2023-12-02,PHI,4,PIT,3,Lost,1.0
"2023-12-04 - PIT 1, PHI 2",PHI,63,61,49,47,33,32,2,1,2.72,2.77,29,35,11,9,7,6,0,0,18,26,11,12,2,1,35,27,12,12,0,0,1.029,2023-12-04,PIT,1,PHI,2,Won,1.0
