Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-10 - CHI 4, PIT 2",PIT,71,73,55,54,41,36,2,4,3.31,5.21,27,35,12,16,9,12,1,3,15,19,10,10,0,1,50,36,18,12,1,0,0.938,2023-10-10,CHI,4,PIT,2,Lost,
"2023-10-13 - PIT 4, WSH 0",PIT,68,54,50,32,35,19,4,0,3.32,2.09,27,25,12,5,10,4,2,0,15,20,8,5,1,0,48,33,15,8,1,0,1.114,2023-10-13,PIT,4,WSH,0,Lost,2.0
"2023-10-14 - CGY 2, PIT 5",PIT,48,81,42,55,29,36,5,2,3.85,2.64,30,41,11,12,8,4,0,1,19,29,11,12,4,0,19,53,8,20,0,1,1.117,2023-10-14,CGY,2,PIT,5,Won,0.0
"2023-10-18 - PIT 3, DET 6",PIT,71,47,48,39,33,29,3,6,3.86,3.07,38,23,14,11,10,9,1,3,24,12,5,7,0,0,37,28,17,12,2,2,0.884,2023-10-18,PIT,3,DET,6,Won,3.0
"2023-10-21 - PIT 2, STL 4",PIT,83,45,56,36,33,21,2,4,3.74,3.18,32,22,14,12,7,9,2,2,18,10,8,5,0,1,55,27,17,7,0,1,0.87,2023-10-21,PIT,2,STL,4,Won,2.0
"2023-10-24 - DAL 4, PIT 1",PIT,74,62,55,49,39,34,1,4,3.62,3.21,44,27,16,10,12,5,1,3,28,17,12,7,0,1,41,45,14,21,0,0,0.908,2023-10-24,DAL,4,PIT,1,Lost,2.0
"2023-10-26 - COL 0, PIT 4",PIT,48,64,39,48,29,31,4,0,1.94,3.21,23,34,4,13,2,11,1,0,19,21,10,6,3,0,28,32,12,13,0,0,1.138,2023-10-26,COL,0,PIT,4,Won,1.0
"2023-10-28 - OTT 5, PIT 2",PIT,77,48,53,37,43,26,2,5,4.35,2.97,36,27,16,13,12,9,1,3,20,14,11,8,0,2,39,23,18,8,1,0,0.854,2023-10-28,OTT,5,PIT,2,Lost,1.0
"2023-10-30 - ANA 4, PIT 3",PIT,99,51,70,36,42,27,3,4,6.6,2.27,57,23,27,13,18,7,1,3,30,10,11,4,1,0,60,26,13,13,1,1,0.923,2023-10-30,ANA,4,PIT,3,Lost,1.0
"2023-11-04 - PIT 10, SJ 2",PIT,64,54,43,41,35,26,10,2,3.4,2.94,36,25,21,9,16,6,9,1,15,16,9,5,1,1,31,35,8,14,0,0,1.209,2023-11-04,PIT,10,SJ,2,Won,4.0
"2023-11-07 - PIT 2, ANA 0",PIT,61,49,45,35,36,31,2,0,3.47,2.31,23,19,12,8,10,7,0,0,11,11,5,5,1,0,40,38,19,18,0,0,1.056,2023-11-07,PIT,2,ANA,0,Lost,2.0
"2023-11-09 - PIT 4, LA 3",PIT,49,69,35,51,20,36,4,3,2.46,3.51,23,35,12,11,9,7,3,2,11,24,3,14,1,1,38,35,8,14,0,0,1.117,2023-11-09,PIT,4,LA,3,Lost,1.0
"2023-11-11 - BUF 0, PIT 4",PIT,71,62,56,49,40,35,4,0,4.69,2.71,33,27,11,11,10,6,1,0,22,16,9,7,1,0,45,33,19,18,2,0,1.1,2023-11-11,BUF,0,PIT,4,Won,1.0
"2023-11-14 - PIT 5, CBJ 3",PIT,72,62,50,53,41,30,5,3,3.58,3.66,25,31,13,10,10,5,1,2,12,21,8,14,1,1,37,40,17,11,3,0,1.022,2023-11-14,PIT,5,CBJ,3,Lost,2.0
"2023-11-16 - NJ 5, PIT 2",PIT,47,52,37,41,23,31,2,5,2.63,2.96,25,26,13,14,7,11,2,2,12,12,6,8,0,2,23,26,9,11,0,1,0.926,2023-11-16,NJ,5,PIT,2,Lost,1.0
"2023-11-18 - PIT 2, CAR 4",PIT,55,65,41,52,28,34,2,4,2.63,3.53,34,34,15,10,10,7,2,2,19,24,8,11,0,0,27,36,8,16,0,2,0.954,2023-11-18,PIT,2,CAR,4,Won,1.0
"2023-11-19 - VGK 0, PIT 3",PIT,70,75,49,57,32,38,3,0,3.56,3.29,37,40,13,11,8,6,2,0,24,29,8,17,0,0,36,41,15,12,0,0,1.094,2023-11-19,VGK,0,PIT,3,Won,0.0
"2023-11-22 - NYR 1, PIT 0",PIT,76,60,49,46,32,36,0,1,3.17,3.22,34,30,15,12,9,11,0,1,19,18,11,9,0,0,50,36,11,13,0,0,0.972,2023-11-22,NYR,1,PIT,0,Lost,2.0
"2023-11-24 - PIT 2, BUF 3",PIT,58,73,45,60,33,34,2,3,2.61,4.76,29,33,11,12,6,7,0,2,18,21,11,10,1,0,37,47,14,14,1,1,0.972,2023-11-24,PIT,2,BUF,3,Won,1.0
