Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-10 - SEA 1, VGK 4",SEA,71,61,48,42,33,28,1,4,3.94,3.9,43,30,16,17,11,11,1,2,27,13,8,6,0,1,33,32,13,9,0,0,0.887,2023-10-10,SEA,1,VGK,4,Won,
"2023-10-12 - SEA 0, NSH 3",SEA,61,74,40,54,23,35,0,3,2.87,5.07,23,30,12,12,6,9,0,1,11,18,3,8,0,0,39,40,12,16,0,1,0.914,2023-10-12,SEA,0,NSH,3,Won,1.0
"2023-10-14 - SEA 1, STL 2",SEA,65,57,45,43,31,25,1,1,2.53,2.5,34,27,13,7,9,3,1,0,21,20,10,10,0,1,36,35,12,12,0,0,0.992,2023-10-14,SEA,1,STL,2,Won,1.0
"2023-10-17 - COL 4, SEA 1",SEA,72,55,50,38,38,28,1,4,3.04,2.25,27,24,6,11,5,8,0,2,21,13,14,7,0,1,53,33,15,10,1,0,0.883,2023-10-17,COL,4,SEA,1,Lost,2.0
"2023-10-19 - CAR 4, SEA 7",SEA,56,72,39,50,36,36,7,4,2.96,3.32,26,25,10,11,9,7,4,3,16,14,10,7,2,1,35,43,13,21,0,0,1.083,2023-10-19,CAR,4,SEA,7,Won,1.0
"2023-10-21 - NYR 4, SEA 1",SEA,50,48,34,40,19,27,1,4,1.53,2.35,9,18,2,5,1,3,0,3,7,13,6,8,0,1,39,38,11,16,1,0,0.904,2023-10-21,NYR,4,SEA,1,Lost,1.0
"2023-10-24 - SEA 5, DET 4",SEA,82,58,61,42,38,27,5,4,4.15,3.09,40,31,16,9,10,5,2,1,24,22,12,10,2,3,44,30,13,11,1,0,0.983,2023-10-24,SEA,5,DET,4,Lost,2.0
"2023-10-26 - SEA 2, CAR 3",SEA,45,87,32,65,26,45,2,3,2.06,3.37,21,27,8,13,6,9,1,2,13,14,8,4,1,1,22,80,10,31,0,0,1.01,2023-10-26,SEA,2,CAR,3,Won,1.0
"2023-10-28 - SEA 2, FLA 3",SEA,60,68,48,53,33,37,2,3,2.89,2.92,29,27,13,12,10,6,2,2,16,15,8,8,0,0,38,50,14,21,0,1,0.98,2023-10-28,SEA,2,FLA,3,Won,1.0
"2023-10-30 - SEA 4, TB 3",SEA,79,71,64,52,43,37,4,3,4.4,3.37,38,30,16,16,11,10,2,2,22,14,13,7,2,0,40,42,16,16,0,1,1.012,2023-10-30,SEA,4,TB,3,Lost,1.0
"2023-11-02 - NSH 2, SEA 4",SEA,56,65,36,51,31,34,4,2,2.24,3.99,31,34,7,16,4,8,1,1,24,18,13,12,0,0,35,38,12,13,3,1,1.07,2023-11-02,NSH,2,SEA,4,Won,2.0
"2023-11-04 - CGY 6, SEA 3",SEA,48,50,32,39,20,31,3,6,1.74,3.88,23,25,7,10,5,8,2,2,16,15,7,7,0,1,29,23,7,13,1,1,0.956,2023-11-04,CGY,6,SEA,3,Lost,1.0
"2023-11-07 - SEA 3, ARI 4",SEA,72,55,56,44,38,27,3,3,3.6,2.99,34,26,13,11,9,7,2,1,21,15,8,7,0,1,47,33,19,11,1,1,0.968,2023-11-07,SEA,3,ARI,4,Won,2.0
"2023-11-09 - SEA 4, COL 3",SEA,56,61,43,37,22,26,4,3,2.46,1.94,25,26,11,10,7,5,2,2,14,16,7,7,1,1,31,42,7,14,1,0,1.066,2023-11-09,SEA,4,COL,3,Lost,1.0
"2023-11-11 - EDM 4, SEA 1",SEA,39,48,25,38,18,26,1,4,1.48,2.81,13,22,6,12,4,7,1,4,7,10,3,6,0,0,34,32,10,11,0,0,0.902,2023-11-11,EDM,4,SEA,1,Lost,1.0
"2023-11-13 - COL 5, SEA 1",SEA,51,69,36,49,19,31,1,5,2.18,3.39,22,28,9,14,7,7,1,4,13,14,5,7,0,1,31,46,4,14,0,0,0.891,2023-11-13,COL,5,SEA,1,Lost,1.0
"2023-11-15 - SEA 3, EDM 4",SEA,79,59,54,45,35,31,3,4,4.6,3.27,47,28,19,15,11,9,3,3,28,13,10,8,0,0,39,41,14,14,0,1,0.957,2023-11-15,SEA,3,EDM,4,Won,1.0
"2023-11-16 - NYI 3, SEA 4",SEA,63,63,52,41,32,23,3,3,2.6,2.37,28,28,11,13,6,8,2,2,17,15,9,4,1,0,41,39,15,10,0,1,0.963,2023-11-16,NYI,3,SEA,4,Won,0.0
"2023-11-18 - SEA 4, VAN 3",SEA,46,55,36,35,26,24,4,3,2.57,1.75,29,30,13,6,10,3,3,1,16,24,9,10,1,1,23,28,6,11,0,1,1.029,2023-11-18,SEA,4,VAN,3,Lost,1.0
"2023-11-20 - CGY 4, SEA 3",SEA,67,56,47,42,31,31,3,4,2.42,2.76,27,27,10,11,8,6,2,2,17,16,7,7,0,1,48,36,13,16,1,1,0.968,2023-11-20,CGY,4,SEA,3,Lost,1.0
"2023-11-22 - SJ 1, SEA 7",SEA,66,32,41,19,30,14,7,1,3.31,0.71,36,13,14,2,11,1,4,0,22,11,9,5,2,0,37,20,9,7,1,1,1.162,2023-11-22,SJ,1,SEA,7,Won,1.0
"2023-11-24 - VAN 5, SEA 1",SEA,58,59,37,45,24,27,1,5,2.11,3.03,23,29,5,12,4,9,0,4,18,17,10,8,1,1,43,39,10,7,0,0,0.856,2023-11-24,VAN,5,SEA,1,Lost,1.0
"2023-11-28 - SEA 3, CHI 4",SEA,68,47,45,31,36,23,3,4,2.75,2.53,34,23,12,9,8,4,1,1,22,14,9,7,1,2,43,31,18,11,1,1,0.909,2023-11-28,SEA,3,CHI,4,Won,3.0
"2023-11-30 - SEA 3, TOR 4",SEA,83,50,60,35,40,28,3,3,4.37,2.54,41,28,20,10,11,6,0,1,21,18,11,12,3,2,43,30,16,9,0,0,0.968,2023-11-30,SEA,3,TOR,4,Won,1.0
"2023-12-02 - SEA 0, OTT 2",SEA,78,45,51,37,39,28,0,2,2.86,2.41,41,23,11,13,6,11,0,2,30,10,14,5,0,0,43,28,17,10,0,0,0.929,2023-12-02,SEA,0,OTT,2,Won,1.0
"2023-12-04 - SEA 2, MTL 4",SEA,69,46,43,39,33,30,2,4,2.51,3.69,29,23,10,10,5,7,0,3,19,13,7,9,2,0,46,20,21,11,0,0,0.927,2023-12-04,SEA,2,MTL,4,Won,1.0
"2023-12-07 - NJ 2, SEA 1",SEA,73,46,56,34,38,17,1,2,3.53,1.87,41,19,19,5,13,3,1,1,22,14,11,3,0,1,39,33,13,9,0,0,0.909,2023-12-07,NJ,2,SEA,1,Lost,2.0
"2023-12-09 - TB 4, SEA 3",SEA,61,57,39,41,29,30,3,4,2.02,3.26,27,28,11,14,5,13,0,4,16,14,5,3,0,0,37,31,19,13,3,0,0.97,2023-12-09,TB,4,SEA,3,Lost,1.0
"2023-12-10 - MIN 3, SEA 0",SEA,69,61,42,35,24,26,0,3,2.72,2.66,31,30,9,12,4,7,0,2,22,18,8,8,0,0,58,30,11,9,0,0,0.885,2023-12-10,MIN,3,SEA,0,Lost,0.0
"2023-12-12 - FLA 0, SEA 4",SEA,45,61,33,43,23,24,4,0,2.88,2.37,26,27,13,8,7,4,2,0,13,19,7,6,1,0,23,43,9,13,1,0,1.174,2023-12-12,FLA,0,SEA,4,Won,1.0
"2023-12-14 - CHI 1, SEA 7",SEA,66,41,45,30,29,22,7,1,3.08,1.62,31,14,19,4,7,3,4,0,12,10,5,6,1,0,39,33,15,12,2,1,1.196,2023-12-14,CHI,1,SEA,7,Won,1.0
"2023-12-16 - LA 3, SEA 2",SEA,49,77,36,59,19,38,2,2,3.02,3.68,27,29,12,10,5,6,0,2,15,19,6,11,2,0,22,63,7,19,0,0,1.053,2023-12-16,LA,3,SEA,2,Lost,1.0
"2023-12-18 - SEA 3, DAL 4",SEA,65,49,50,37,38,28,3,4,3.51,1.72,31,19,15,6,13,5,3,3,16,13,9,6,0,0,36,38,14,17,0,1,0.936,2023-12-18,SEA,3,DAL,4,Won,1.0
"2023-12-20 - SEA 2, LA 1",SEA,61,74,40,60,30,43,2,1,3.92,3.02,32,27,14,9,7,6,2,0,18,18,10,7,0,0,27,56,11,25,0,1,1.043,2023-12-20,SEA,2,LA,1,Lost,1.0
