Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-12 - VGK 4, SJ 1",SJ,47,61,36,40,23,32,1,4,2.71,2.59,20,31,11,9,5,8,0,0,9,22,3,10,1,3,28,30,13,12,0,1,0.918,2023-10-12,VGK,4,SJ,1,Lost,
"2023-10-14 - COL 2, SJ 1",SJ,57,111,38,81,21,52,1,1,2.9,5.05,31,48,9,23,6,14,1,0,22,25,8,8,0,1,31,79,5,27,0,0,1.028,2023-10-14,COL,2,SJ,1,Lost,1.0
"2023-10-17 - CAR 6, SJ 3",SJ,34,91,23,56,16,42,3,6,1.69,4.15,15,45,6,22,4,14,1,4,9,23,5,9,1,1,18,51,6,15,1,1,1.045,2023-10-17,CAR,6,SJ,3,Lost,2.0
"2023-10-19 - BOS 3, SJ 1",SJ,65,59,46,48,27,36,1,3,1.71,4.61,24,31,8,22,5,16,0,1,16,9,6,6,1,1,46,31,14,12,0,1,0.954,2023-10-19,BOS,3,SJ,1,Lost,1.0
"2023-10-21 - SJ 1, NSH 5",SJ,60,57,37,44,32,34,1,5,2.38,3.31,29,34,10,14,9,9,1,3,19,20,4,12,0,2,38,33,17,11,0,0,0.884,2023-10-21,SJ,1,NSH,5,Won,1.0
"2023-10-24 - SJ 1, FLA 3",SJ,49,72,39,48,28,36,1,3,2.67,4.64,17,43,9,26,6,21,1,2,8,17,4,6,0,1,33,26,15,8,0,0,0.952,2023-10-24,SJ,1,FLA,3,Won,2.0
"2023-10-26 - SJ 0, TB 6",SJ,41,77,30,55,23,31,0,6,1.73,3.68,14,48,5,21,3,12,0,5,9,27,5,11,0,1,30,33,13,7,0,0,0.806,2023-10-26,SJ,0,TB,6,Won,1.0
"2023-10-27 - SJ 0, CAR 3",SJ,44,88,30,65,20,40,0,3,2.43,4.92,20,45,9,14,5,7,0,0,11,31,5,13,0,2,30,54,8,19,0,1,0.925,2023-10-27,SJ,0,CAR,3,Won,0.0
"2023-10-29 - SJ 1, WSH 3",SJ,61,77,41,52,31,42,1,3,2.68,4.49,21,39,8,14,6,13,1,1,13,25,6,10,0,0,36,53,15,18,0,2,0.961,2023-10-29,SJ,1,WSH,3,Won,1.0
"2023-11-02 - VAN 10, SJ 1",SJ,59,67,45,46,31,33,1,10,3.45,3.61,26,34,14,14,9,11,0,6,12,20,6,10,1,2,45,36,16,12,0,2,0.729,2023-11-02,VAN,10,SJ,1,Lost,3.0
"2023-11-04 - PIT 10, SJ 2",SJ,54,64,41,43,26,35,2,10,2.94,3.4,25,36,9,21,6,16,1,9,16,15,5,9,1,1,35,31,14,8,0,0,0.791,2023-11-04,PIT,10,SJ,2,Won,1.0
"2023-11-07 - PHI 1, SJ 2",SJ,53,65,30,46,19,39,2,1,2.68,3.14,22,27,9,11,5,8,0,0,13,16,5,13,2,1,34,37,8,16,0,0,1.08,2023-11-07,PHI,1,SJ,2,Won,2.0
"2023-11-09 - EDM 2, SJ 3",SJ,43,92,30,56,18,41,3,2,1.83,4.26,21,46,7,20,7,11,2,1,14,26,5,8,1,1,33,54,6,22,0,0,1.118,2023-11-09,EDM,2,SJ,3,Won,1.0
"2023-11-10 - SJ 0, VGK 5",SJ,46,67,30,50,20,39,0,5,1.39,2.7,16,26,4,10,2,9,0,2,12,16,6,8,0,2,31,42,9,17,0,1,0.872,2023-11-10,SJ,0,VGK,5,Won,0.0
"2023-11-12 - SJ 1, ANA 4",SJ,50,78,38,60,26,44,1,4,2.53,4.53,28,40,14,20,7,16,1,2,14,20,5,13,0,0,24,47,14,11,0,2,0.948,2023-11-12,SJ,1,ANA,4,Won,1.0
"2023-11-14 - FLA 5, SJ 3",SJ,42,67,37,41,22,31,3,5,2.5,4.1,21,36,11,15,8,12,3,3,10,21,4,8,0,1,26,31,10,9,0,1,0.975,2023-11-14,FLA,5,SJ,3,Lost,1.0
"2023-11-16 - STL 1, SJ 5",SJ,52,80,43,56,35,45,5,1,2.4,3.5,21,34,10,11,9,9,2,1,11,23,7,16,3,0,42,51,17,18,0,0,1.121,2023-11-16,STL,1,SJ,5,Won,1.0
"2023-11-20 - SJ 1, VAN 3",SJ,58,72,40,52,28,37,1,3,3.11,4.22,27,43,9,15,8,12,1,2,18,28,8,11,0,0,32,40,9,14,0,1,0.955,2023-11-20,SJ,1,VAN,3,Won,3.0
"2023-11-22 - SJ 1, SEA 7",SJ,32,66,19,41,14,30,1,7,0.71,3.31,13,36,2,14,1,11,0,4,11,22,5,9,0,2,20,37,7,9,1,1,0.838,2023-11-22,SJ,1,SEA,7,Won,1.0
