Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-12 - STL 1, DAL 2",STL,48,70,31,51,24,34,1,1,2.28,3.03,25,32,10,13,7,8,1,1,15,19,8,8,0,0,25,41,9,17,0,0,1.012,2023-10-12,STL,1,DAL,2,Won,
"2023-10-14 - SEA 1, STL 2",STL,57,65,43,45,25,31,1,1,2.5,2.53,27,34,7,13,3,9,0,1,20,21,10,10,1,0,35,36,12,12,0,0,1.008,2023-10-14,SEA,1,STL,2,Won,1.0
"2023-10-19 - ARI 6, STL 2",STL,45,69,35,55,26,42,2,6,1.87,3.8,23,33,10,7,9,5,1,3,13,26,6,15,1,2,28,50,9,21,0,1,0.934,2023-10-19,ARI,6,STL,2,Lost,4.0
"2023-10-21 - PIT 2, STL 4",STL,45,83,36,56,21,33,4,2,3.18,3.74,22,32,12,14,9,7,2,2,10,18,5,8,1,0,27,55,7,17,1,0,1.13,2023-10-21,PIT,2,STL,4,Won,1.0
"2023-10-24 - STL 2, WPG 4",STL,39,59,30,40,20,30,2,4,2.26,2.96,25,27,8,7,8,6,2,1,17,20,9,9,0,3,25,37,3,15,0,0,0.967,2023-10-24,STL,2,WPG,4,Won,2.0
"2023-10-26 - STL 3, CGY 0",STL,57,57,43,44,35,27,3,0,3.48,2.73,28,20,13,10,11,6,1,0,15,10,7,5,0,0,38,47,15,16,1,0,1.086,2023-10-26,STL,3,CGY,0,Lost,1.0
"2023-10-27 - STL 0, VAN 5",STL,35,70,31,50,22,35,0,5,1.71,3.4,13,33,6,16,6,9,0,3,7,17,2,8,0,2,25,44,12,16,0,0,0.857,2023-10-27,STL,0,VAN,5,Won,0.0
"2023-11-01 - STL 1, COL 4",STL,54,59,44,43,28,28,1,4,2.41,3.23,28,32,10,15,5,10,0,2,18,17,9,5,1,1,33,39,12,12,0,1,0.893,2023-11-01,STL,1,COL,4,Won,4.0
"2023-11-03 - NJ 1, STL 4",STL,64,61,49,52,35,34,4,1,6.06,3.42,24,36,13,18,6,10,3,1,11,18,5,8,0,0,47,28,23,15,1,0,1.085,2023-11-03,NJ,1,STL,4,Won,1.0
"2023-11-04 - MTL 3, STL 6",STL,62,58,47,45,35,33,6,3,3.26,3.67,32,32,13,16,9,11,2,2,19,16,10,8,3,1,35,32,12,13,1,0,1.081,2023-11-04,MTL,3,STL,6,Won,0.0
