Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-11 - MTL 5, TOR 6",TOR,71,51,54,35,42,24,5,5,3.4,2.13,39,26,14,9,10,5,1,3,25,17,14,9,1,2,37,21,15,7,3,0,0.911,2023-10-11,MTL,5,TOR,6,Won,
"2023-10-14 - MIN 4, TOR 7",TOR,54,65,43,46,33,32,7,4,3.61,3.31,29,31,15,12,12,9,3,3,14,19,7,8,2,0,29,40,13,12,2,1,1.087,2023-10-14,MIN,4,TOR,7,Won,2.0
"2023-10-16 - CHI 4, TOR 1",TOR,90,61,61,38,36,31,1,4,4.88,2.78,43,29,24,9,14,8,1,2,19,20,8,14,0,1,52,30,13,7,0,0,0.899,2023-10-16,CHI,4,TOR,1,Lost,1.0
"2023-10-19 - TOR 1, FLA 3",TOR,66,57,39,38,30,24,1,3,3.1,2.98,36,28,15,7,10,3,1,0,21,21,8,8,0,0,36,41,11,12,0,2,0.908,2023-10-19,TOR,1,FLA,3,Won,2.0
"2023-10-21 - TOR 4, TB 3",TOR,83,63,66,43,52,31,4,3,4.61,3.62,47,35,21,19,15,13,1,1,26,16,18,5,2,1,48,31,18,13,1,1,0.98,2023-10-21,TOR,4,TB,3,Lost,1.0
"2023-10-24 - TOR 4, WSH 1",TOR,39,65,23,52,17,38,4,1,1.47,3.98,17,33,9,16,6,14,1,1,8,17,5,8,3,0,19,31,5,10,0,0,1.209,2023-10-24,TOR,4,WSH,1,Lost,2.0
"2023-10-26 - TOR 4, DAL 1",TOR,55,73,40,48,24,32,4,1,4.2,3.66,22,37,9,19,6,13,2,0,13,18,3,8,1,1,33,36,12,11,0,0,1.135,2023-10-26,TOR,4,DAL,1,Lost,1.0
"2023-10-28 - TOR 2, NSH 3",TOR,69,55,46,42,35,24,2,3,2.87,2.3,36,23,8,9,7,6,1,2,28,14,12,8,0,1,40,42,14,10,1,0,0.932,2023-10-28,TOR,2,NSH,3,Won,1.0
"2023-10-31 - LA 4, TOR 1",TOR,49,62,39,48,30,27,1,4,2.56,2.71,25,30,10,10,6,7,0,4,15,20,10,6,1,0,29,31,12,11,0,0,0.885,2023-10-31,LA,4,TOR,1,Lost,2.0
"2023-11-02 - TOR 2, BOS 3",TOR,69,76,53,56,35,40,2,2,2.86,4.39,34,38,11,22,7,17,0,2,23,16,13,5,2,0,35,46,14,18,0,0,1.007,2023-11-02,TOR,2,BOS,3,Won,1.0
"2023-11-04 - BUF 6, TOR 4",TOR,61,64,43,50,29,41,4,6,2.99,4.36,28,36,12,17,7,12,3,3,16,19,8,15,1,3,39,30,13,12,0,0,0.992,2023-11-04,BUF,6,TOR,4,Lost,1.0
"2023-11-06 - TB 5, TOR 6",TOR,59,51,44,36,34,31,6,5,2.47,3.37,32,28,13,10,8,8,4,1,19,18,12,11,2,3,33,29,13,11,0,1,1.015,2023-11-06,TB,5,TOR,6,Won,1.0
"2023-11-08 - OTT 6, TOR 3",TOR,62,56,45,45,30,31,3,6,2.83,3.75,33,33,14,16,9,9,2,3,19,17,6,10,1,1,33,25,13,9,0,2,0.906,2023-11-08,OTT,6,TOR,3,Lost,1.0
"2023-11-10 - CGY 4, TOR 5",TOR,82,57,62,41,36,28,4,4,3.75,2.13,44,25,17,10,9,7,3,3,27,15,11,10,1,1,39,34,13,11,0,0,0.968,2023-11-10,CGY,4,TOR,5,Won,1.0
"2023-11-11 - VAN 2, TOR 5",TOR,54,66,40,49,22,33,5,2,3.43,4.31,31,26,16,13,8,9,3,1,15,13,5,6,1,1,25,45,7,18,1,0,1.167,2023-11-11,VAN,2,TOR,5,Won,0.0
"2023-11-17 - TOR 3, DET 2",TOR,58,61,40,41,29,29,3,2,3.23,2.24,33,24,16,9,12,5,2,1,17,15,7,5,1,0,34,42,8,17,0,1,1.034,2023-11-17,TOR,3,DET,2,Lost,5.0
