Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-11 - EDM 1, VAN 8",VAN,54,55,43,40,32,27,8,1,3.83,2.97,29,27,12,10,9,7,4,0,17,17,10,6,2,0,36,35,12,13,2,1,1.213,2023-10-11,EDM,1,VAN,8,Won,
"2023-10-14 - VAN 4, EDM 3",VAN,33,88,24,60,16,40,4,3,2.07,5.16,19,49,7,21,5,10,4,1,12,28,5,14,0,2,18,45,4,16,0,0,1.175,2023-10-14,VAN,4,EDM,3,Lost,2.0
"2023-10-17 - VAN 0, PHI 2",VAN,57,60,41,48,26,42,0,2,2.14,4.78,24,34,10,18,4,16,0,1,14,16,7,10,0,1,37,25,14,12,0,0,0.952,2023-10-17,VAN,0,PHI,2,Won,2.0
"2023-10-19 - VAN 3, TB 4",VAN,59,56,35,42,29,36,3,4,2.22,4.27,24,34,9,16,8,13,2,1,15,18,8,10,1,0,43,25,10,12,0,3,0.992,2023-10-19,VAN,3,TB,4,Won,1.0
"2023-10-21 - VAN 5, FLA 3",VAN,57,70,40,52,31,37,5,3,3.94,2.88,28,29,10,14,9,11,0,3,18,15,7,6,2,0,29,43,12,19,2,0,1.08,2023-10-21,VAN,5,FLA,3,Lost,1.0
"2023-10-24 - VAN 3, NSH 2",VAN,64,43,41,28,24,18,3,2,3.33,1.71,31,21,10,8,5,3,2,0,21,13,8,4,1,2,34,27,10,10,0,0,1.014,2023-10-24,VAN,3,NSH,2,Lost,2.0
"2023-10-27 - STL 0, VAN 5",VAN,70,35,50,31,35,22,5,0,3.4,1.71,33,13,16,6,9,6,3,0,17,7,8,2,2,0,44,25,16,12,0,0,1.143,2023-10-27,STL,0,VAN,5,Won,2.0
"2023-10-28 - NYR 4, VAN 3",VAN,69,52,48,41,33,24,3,4,3.22,3.05,31,25,12,10,9,5,2,2,19,15,8,5,0,1,46,28,14,11,1,1,0.924,2023-10-28,NYR,4,VAN,3,Lost,0.0
"2023-10-31 - NSH 2, VAN 5",VAN,45,64,33,51,27,29,5,2,3.22,4.1,24,36,11,19,10,11,3,1,13,17,7,9,1,0,25,23,10,5,1,1,1.116,2023-10-31,NSH,2,VAN,5,Won,2.0
"2023-11-02 - VAN 10, SJ 1",VAN,67,59,46,45,33,31,10,1,3.61,3.45,34,26,14,14,11,9,6,0,20,12,10,6,2,1,36,45,12,16,2,0,1.271,2023-11-02,VAN,10,SJ,1,Lost,1.0
"2023-11-04 - DAL 0, VAN 2",VAN,58,60,45,47,28,27,2,0,2.88,3.11,29,32,8,11,4,7,1,0,21,21,12,9,0,0,42,33,11,10,1,0,1.071,2023-11-04,DAL,0,VAN,2,Won,1.0
"2023-11-06 - EDM 2, VAN 6",VAN,60,79,47,55,36,43,6,2,4.09,3.96,34,37,15,15,12,12,3,0,19,22,8,10,1,1,26,53,11,21,2,1,1.12,2023-11-06,EDM,2,VAN,6,Won,1.0
"2023-11-09 - VAN 5, OTT 2",VAN,43,59,23,41,16,30,5,2,1.84,2.31,23,22,9,5,6,2,2,1,14,17,6,6,3,0,22,46,2,21,0,1,1.246,2023-11-09,VAN,5,OTT,2,Lost,2.0
"2023-11-11 - VAN 2, TOR 5",VAN,66,54,49,40,33,22,2,5,4.31,3.43,26,31,13,16,9,8,1,3,13,15,6,5,1,1,45,25,18,7,0,1,0.833,2023-11-11,VAN,2,TOR,5,Won,1.0
"2023-11-12 - VAN 5, MTL 2",VAN,77,59,53,42,37,32,5,2,4.96,3.44,37,35,18,16,11,15,2,1,19,19,5,9,1,1,45,24,19,7,1,0,1.073,2023-11-12,VAN,5,MTL,2,Lost,0.0
"2023-11-15 - NYI 3, VAN 4",VAN,87,58,63,42,43,33,4,3,4.94,2.79,45,25,17,9,9,5,0,1,28,16,16,9,2,2,54,36,18,18,2,0,1.002,2023-11-15,NYI,3,VAN,4,Won,2.0
"2023-11-16 - VAN 2, CGY 5",VAN,53,78,36,56,22,39,2,5,2.07,3.64,25,32,9,10,4,7,1,1,16,22,8,12,0,1,28,47,8,16,1,2,0.963,2023-11-16,VAN,2,CGY,5,Won,0.0
"2023-11-18 - SEA 4, VAN 3",VAN,55,46,35,36,24,26,3,4,1.75,2.57,30,29,6,13,3,10,1,3,24,16,10,9,1,1,28,23,11,6,1,0,0.971,2023-11-18,SEA,4,VAN,3,Lost,1.0
"2023-11-20 - SJ 1, VAN 3",VAN,72,58,52,40,37,28,3,1,4.22,3.11,43,27,15,9,12,8,2,1,28,18,11,8,0,0,40,32,14,9,1,0,1.045,2023-11-20,SJ,1,VAN,3,Won,1.0
"2023-11-22 - VAN 2, COL 5",VAN,55,57,41,32,29,25,2,5,2.55,2.41,26,29,12,11,5,6,1,4,14,18,7,8,1,1,32,33,13,10,0,0,0.869,2023-11-22,VAN,2,COL,5,Won,1.0
"2023-11-24 - VAN 5, SEA 1",VAN,59,58,45,37,27,24,5,1,3.03,2.11,29,23,12,5,9,4,4,0,17,18,8,10,1,1,39,43,7,10,0,0,1.144,2023-11-24,VAN,5,SEA,1,Lost,1.0
"2023-11-25 - VAN 3, SJ 4",VAN,78,47,52,32,33,22,3,4,4.27,2.53,41,22,19,10,9,7,1,2,22,12,11,5,2,1,47,31,13,9,0,1,0.909,2023-11-25,VAN,3,SJ,4,Won,0.0
"2023-11-28 - ANA 1, VAN 3",VAN,64,58,44,46,27,31,3,1,3.83,3.0,33,30,16,12,9,5,2,0,17,18,6,13,0,1,35,29,10,11,0,0,1.079,2023-11-28,ANA,1,VAN,3,Won,2.0
"2023-11-30 - VGK 4, VAN 1",VAN,51,62,36,53,22,44,1,4,2.46,2.91,26,27,13,10,9,9,1,3,13,17,3,10,0,1,29,40,10,20,0,0,0.955,2023-11-30,VGK,4,VAN,1,Lost,1.0
"2023-12-02 - VAN 4, CGY 3",VAN,47,58,37,39,22,23,4,3,3.63,3.3,27,28,12,15,8,5,2,2,15,13,8,4,0,1,22,40,5,13,1,0,1.051,2023-12-02,VAN,4,CGY,3,Lost,1.0
"2023-12-05 - NJ 6, VAN 5",VAN,51,53,40,37,33,32,5,6,4.64,3.47,33,29,18,14,15,13,5,4,15,15,7,11,0,2,26,30,11,8,0,0,0.964,2023-12-05,NJ,6,VAN,5,Lost,2.0
"2023-12-07 - MIN 0, VAN 2",VAN,47,67,34,39,17,26,2,0,2.13,3.11,26,34,10,16,4,11,1,0,16,18,7,3,1,0,27,36,6,11,0,0,1.118,2023-12-07,MIN,0,VAN,2,Won,1.0
"2023-12-09 - CAR 3, VAN 4",VAN,36,62,30,42,24,24,4,3,2.61,3.21,22,29,13,12,10,7,3,2,9,17,6,8,1,1,19,44,5,9,0,0,1.042,2023-12-09,CAR,3,VAN,4,Won,1.0
"2023-12-12 - TB 1, VAN 4",VAN,49,63,35,45,22,29,4,1,2.9,3.82,25,32,9,14,5,8,1,1,16,18,7,7,2,0,29,34,9,13,0,0,1.147,2023-12-12,TB,1,VAN,4,Won,2.0
"2023-12-14 - FLA 0, VAN 4",VAN,46,66,34,49,18,36,4,0,3.32,3.6,26,28,16,18,8,12,4,0,10,10,2,6,0,0,19,41,7,16,0,0,1.222,2023-12-14,FLA,0,VAN,4,Won,1.0
"2023-12-16 - VAN 1, MIN 2",VAN,65,56,47,43,36,31,1,1,3.03,3.01,31,26,11,14,10,11,1,1,20,12,8,7,0,0,43,37,17,12,0,0,0.996,2023-12-16,VAN,1,MIN,2,Won,1.0
"2023-12-17 - VAN 4, CHI 3",VAN,53,50,37,42,27,28,4,3,2.54,2.34,26,13,13,8,7,6,1,2,13,5,6,2,1,1,27,38,11,18,2,0,1.041,2023-12-17,VAN,4,CHI,3,Lost,0.0
"2023-12-19 - VAN 5, NSH 2",VAN,53,56,47,37,35,28,5,2,3.37,2.02,30,26,12,7,10,6,3,1,18,19,10,10,2,1,31,33,14,10,0,0,1.071,2023-12-19,VAN,5,NSH,2,Lost,1.0
"2023-12-21 - VAN 3, DAL 4",VAN,49,62,35,51,20,36,3,4,1.57,3.16,23,31,4,15,3,10,1,3,19,16,7,9,2,1,31,40,9,16,0,0,1.039,2023-12-21,VAN,3,DAL,4,Won,1.0
"2023-12-23 - SJ 4, VAN 7",VAN,65,42,41,32,26,25,7,4,3.2,2.64,26,19,11,9,6,8,3,2,15,10,7,7,3,2,43,33,10,10,0,0,1.109,2023-12-23,SJ,4,VAN,7,Won,1.0
"2023-12-28 - PHI 4, VAN 1",VAN,56,48,37,34,27,25,1,4,2.83,2.55,25,24,12,14,6,9,1,2,13,10,4,2,0,1,34,30,13,13,0,1,0.877,2023-12-28,PHI,4,VAN,1,Lost,4.0
"2024-01-02 - OTT 3, VAN 6",VAN,60,62,39,45,26,38,6,3,3.52,2.68,28,22,16,12,10,11,2,3,12,10,4,7,1,0,38,39,12,17,3,0,1.152,2024-01-02,OTT,3,VAN,6,Won,4.0
"2024-01-04 - VAN 1, STL 2",VAN,61,61,46,45,26,32,1,2,2.9,2.72,28,31,13,11,7,9,0,0,15,20,5,9,1,2,32,40,10,13,0,0,0.976,2024-01-04,VAN,1,STL,2,Won,1.0
"2024-01-06 - VAN 6, NJ 4",VAN,78,48,56,32,42,25,6,4,4.77,1.79,39,24,20,9,18,5,4,1,19,15,9,5,1,2,41,35,15,14,1,1,0.983,2024-01-06,VAN,6,NJ,4,Lost,1.0
"2024-01-08 - VAN 6, NYR 3",VAN,47,69,38,55,26,42,6,3,3.4,4.25,21,37,9,20,8,13,2,0,12,17,8,8,3,1,26,44,7,18,0,2,1.159,2024-01-08,VAN,6,NYR,3,Lost,1.0
"2024-01-09 - VAN 5, NYI 2",VAN,64,35,47,25,34,20,5,2,3.25,1.55,34,17,14,6,9,6,1,0,20,11,10,4,2,2,32,23,14,10,1,0,1.047,2024-01-09,VAN,5,NYI,2,Lost,0.0
