Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-10 - SEA 1, VGK 4",VGK,61,71,42,48,28,33,4,1,3.9,3.94,30,43,17,16,11,11,2,1,13,27,6,8,1,0,32,33,9,13,0,0,1.113,2023-10-10,SEA,1,VGK,4,Won,
"2023-10-12 - VGK 4, SJ 1",VGK,61,47,40,36,32,23,4,1,2.59,2.71,31,20,9,11,8,5,0,0,22,9,10,3,3,1,30,28,12,13,1,0,1.082,2023-10-12,VGK,4,SJ,1,Lost,1.0
"2023-10-14 - ANA 1, VGK 4",VGK,69,49,50,35,38,23,4,1,4.4,2.26,34,23,14,9,10,4,3,1,20,14,5,7,0,0,44,32,21,12,1,0,1.062,2023-10-14,ANA,1,VGK,4,Won,1.0
"2023-10-17 - DAL 2, VGK 3",VGK,64,57,44,37,34,26,2,2,2.99,2.45,27,28,8,13,6,8,1,1,19,15,7,5,0,0,44,40,18,13,1,1,0.982,2023-10-17,DAL,2,VGK,3,Won,2.0
"2023-10-19 - VGK 5, WPG 3",VGK,58,70,34,51,27,39,5,3,2.33,3.65,30,28,8,16,4,14,1,3,22,12,12,4,3,0,27,36,10,19,0,0,1.108,2023-10-19,VGK,5,WPG,3,Lost,1.0
"2023-10-21 - VGK 5, CHI 3",VGK,49,52,31,34,24,24,5,3,2.47,1.89,28,23,10,5,9,2,4,0,18,18,7,10,1,3,31,37,7,12,0,0,1.083,2023-10-21,VGK,5,CHI,3,Lost,1.0
"2023-10-24 - PHI 2, VGK 3",VGK,67,58,37,39,29,28,3,2,2.63,2.31,29,22,10,7,6,6,1,1,19,15,9,5,1,0,46,33,13,15,1,1,1.032,2023-10-24,PHI,2,VGK,3,Won,2.0
"2023-10-27 - CHI 4, VGK 3",VGK,49,57,33,40,21,24,3,4,2.3,1.99,27,26,11,7,5,3,2,0,16,19,7,9,1,4,31,32,8,11,0,0,0.976,2023-10-27,CHI,4,VGK,3,Lost,2.0
"2023-10-28 - VGK 4, LA 3",VGK,62,91,51,64,30,40,3,3,4.27,5.36,36,39,16,20,9,14,1,2,20,19,8,4,2,0,31,61,12,22,0,1,1.025,2023-10-28,VGK,4,LA,3,Lost,0.0
"2023-10-30 - MTL 2, VGK 3",VGK,48,74,37,55,25,39,2,2,2.42,3.31,28,37,12,15,8,8,1,2,16,22,8,11,0,0,31,46,9,16,1,0,1.029,2023-10-30,MTL,2,VGK,3,Won,1.0
"2023-11-02 - WPG 2, VGK 5",VGK,41,71,34,47,26,31,5,2,2.2,3.3,22,35,6,17,5,12,2,2,16,18,9,7,2,0,23,38,8,11,0,0,1.128,2023-11-02,WPG,2,VGK,5,Won,2.0
