Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-11 - WPG 3, CGY 5",WPG,83,45,57,31,37,22,3,5,5.21,3.78,50,23,19,10,13,7,1,3,31,13,11,7,2,1,39,28,12,6,0,1,0.854,2023-10-11,WPG,3,CGY,5,Won,
"2023-10-14 - FLA 4, WPG 6",WPG,54,67,44,51,35,33,6,4,3.25,3.75,28,22,14,12,11,10,4,4,14,10,9,6,1,0,38,48,14,16,1,0,1.05,2023-10-14,FLA,4,WPG,6,Won,2.0
"2023-10-17 - LA 5, WPG 1",WPG,57,53,38,44,27,29,1,5,2.59,3.26,26,25,6,14,3,8,1,4,20,11,10,9,0,0,37,29,14,10,0,1,0.865,2023-10-17,LA,5,WPG,1,Lost,2.0
"2023-10-19 - VGK 5, WPG 3",WPG,70,58,51,34,39,27,3,5,3.65,2.33,28,30,16,8,14,4,3,1,12,22,4,12,0,3,36,27,19,10,0,0,0.892,2023-10-19,VGK,5,WPG,3,Lost,1.0
"2023-10-21 - WPG 3, EDM 2",WPG,50,64,36,55,27,40,3,2,2.33,3.67,21,28,9,14,9,13,2,0,12,14,8,5,1,2,39,43,10,17,0,0,1.061,2023-10-21,WPG,3,EDM,2,Lost,1.0
"2023-10-24 - STL 2, WPG 4",WPG,59,39,40,30,30,20,4,2,2.96,2.26,27,25,7,8,6,8,1,2,20,17,9,9,3,0,37,25,15,3,0,0,1.033,2023-10-24,STL,2,WPG,4,Won,2.0
"2023-10-26 - WPG 4, DET 1",WPG,57,68,40,49,29,36,4,1,2.83,3.72,31,28,11,12,7,8,2,1,20,16,8,10,1,0,32,45,12,15,1,0,1.11,2023-10-26,WPG,4,DET,1,Lost,1.0
"2023-10-28 - WPG 3, MTL 4",WPG,79,51,58,38,45,29,3,3,3.34,2.68,34,23,15,9,9,8,3,2,19,14,14,6,0,1,43,23,19,13,0,0,0.963,2023-10-28,WPG,3,MTL,4,Won,1.0
"2023-10-30 - NYR 3, WPG 2",WPG,69,51,46,39,29,26,2,3,2.45,2.66,29,19,10,13,5,8,1,2,19,6,10,3,1,1,45,36,14,14,0,0,0.954,2023-10-30,NYR,3,WPG,2,Lost,1.0
"2023-11-02 - WPG 2, VGK 5",WPG,71,41,47,34,31,26,2,5,3.3,2.2,35,22,17,6,12,5,2,2,18,16,7,9,0,2,38,23,11,8,0,0,0.872,2023-11-02,WPG,2,VGK,5,Won,2.0
"2023-11-04 - WPG 5, ARI 3",WPG,65,45,43,33,27,25,5,3,2.93,2.7,31,25,15,13,11,10,4,3,16,12,6,5,0,0,35,23,9,9,1,0,1.065,2023-11-04,WPG,5,ARI,3,Lost,1.0
"2023-11-07 - WPG 5, STL 2",WPG,59,42,48,32,37,22,5,2,3.0,2.04,29,22,14,9,9,6,2,0,15,13,7,6,0,1,41,25,20,10,2,1,1.044,2023-11-07,WPG,5,STL,2,Lost,2.0
"2023-11-09 - NSH 3, WPG 6",WPG,56,57,41,41,37,23,6,3,3.57,2.75,24,23,10,11,10,8,3,2,14,12,8,5,1,0,37,34,18,8,2,1,1.032,2023-11-09,NSH,3,WPG,6,Won,1.0
"2023-11-11 - DAL 3, WPG 2",WPG,57,55,38,38,33,29,2,3,1.45,2.85,16,31,6,14,5,9,1,1,10,17,4,6,0,2,47,29,21,13,1,0,0.957,2023-11-11,DAL,3,WPG,2,Lost,1.0
"2023-11-14 - NJ 3, WPG 6",WPG,53,69,42,45,31,34,6,3,3.52,3.49,28,35,10,14,7,11,2,2,18,21,8,11,3,1,33,32,15,11,1,0,1.105,2023-11-14,NJ,3,WPG,6,Won,2.0
"2023-11-17 - BUF 2, WPG 3",WPG,46,61,34,43,18,28,3,2,2.42,4.07,23,42,8,22,7,14,1,2,15,20,5,5,1,0,26,26,5,9,1,0,1.095,2023-11-17,BUF,2,WPG,3,Won,2.0
"2023-11-18 - ARI 2, WPG 5",WPG,42,48,35,27,26,18,5,2,2.23,1.31,19,28,9,9,5,5,2,2,10,19,6,6,1,0,26,29,13,6,2,0,1.081,2023-11-18,ARI,2,WPG,5,Won,0.0
"2023-11-22 - WPG 3, TB 2",WPG,51,71,39,47,32,33,3,2,2.22,3.25,23,32,6,12,6,8,0,1,17,20,10,10,3,1,30,42,14,14,0,0,1.033,2023-11-22,WPG,3,TB,2,Lost,3.0
"2023-11-24 - WPG 3, FLA 0",WPG,54,70,43,46,31,33,3,0,3.8,2.47,27,28,10,13,8,6,2,0,17,15,9,3,1,0,36,43,14,23,0,0,1.097,2023-11-24,WPG,3,FLA,0,Lost,1.0
"2023-11-26 - WPG 2, NSH 3",WPG,55,49,41,37,34,26,2,3,2.56,2.53,26,25,10,12,7,10,1,2,16,13,7,6,1,0,38,29,19,9,0,1,0.943,2023-11-26,WPG,2,NSH,3,Won,1.0
"2023-11-28 - DAL 2, WPG 0",WPG,55,53,39,35,27,21,0,2,1.95,2.67,19,23,6,8,3,4,0,2,13,15,7,5,0,0,42,28,14,11,0,0,0.905,2023-11-28,DAL,2,WPG,0,Lost,1.0
