Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2023-10-13 - PIT 4, WSH 0",WSH,54,68,32,50,19,35,0,4,2.09,3.32,25,27,5,12,4,10,0,2,20,15,5,8,0,1,33,48,8,15,0,1,0.886,2023-10-13,PIT,4,WSH,0,Lost,
"2023-10-16 - CGY 2, WSH 3",WSH,54,74,39,53,23,40,2,2,3.09,3.7,28,32,9,14,8,10,1,1,19,18,10,8,1,1,26,49,4,20,0,0,1.037,2023-10-16,CGY,2,WSH,3,Won,2.0
"2023-10-18 - WSH 1, OTT 6",WSH,48,64,33,41,24,29,1,6,2.91,2.44,23,21,11,8,8,4,1,3,12,13,4,8,0,2,24,48,10,17,0,1,0.835,2023-10-18,WSH,1,OTT,6,Won,1.0
"2023-10-21 - WSH 2, MTL 3",WSH,65,66,47,45,33,28,2,3,4.81,3.48,38,39,23,18,13,9,2,2,15,21,7,11,0,1,32,32,13,8,0,0,0.953,2023-10-21,WSH,2,MTL,3,Won,2.0
"2023-10-24 - TOR 4, WSH 1",WSH,65,39,52,23,38,17,1,4,3.98,1.47,33,17,16,9,14,6,1,1,17,8,8,5,0,3,31,19,10,5,0,0,0.791,2023-10-24,TOR,4,WSH,1,Lost,2.0
"2023-10-25 - WSH 6, NJ 4",WSH,51,58,37,34,25,22,6,4,2.62,2.59,22,37,10,13,6,9,3,4,12,24,7,6,3,0,28,21,11,5,0,0,1.058,2023-10-25,WSH,6,NJ,4,Lost,0.0
"2023-10-27 - MIN 2, WSH 3",WSH,56,71,41,53,33,41,2,2,2.54,4.43,28,42,8,20,7,16,1,1,20,22,13,11,1,1,36,29,13,10,0,0,1.012,2023-10-27,MIN,2,WSH,3,Won,1.0
"2023-10-29 - SJ 1, WSH 3",WSH,77,61,52,41,42,31,3,1,4.49,2.68,39,21,14,8,13,6,1,1,25,13,10,6,0,0,53,36,18,15,2,0,1.039,2023-10-29,SJ,1,WSH,3,Won,1.0
"2023-11-02 - NYI 3, WSH 0",WSH,84,42,58,35,32,21,0,3,5.0,3.73,52,21,22,11,12,7,0,1,30,10,6,3,0,1,34,28,12,10,0,1,0.857,2023-11-02,NYI,3,WSH,0,Lost,3.0
"2023-11-04 - CBJ 1, WSH 2",WSH,54,72,40,45,27,35,2,1,4.1,3.12,25,30,14,11,9,10,2,1,11,19,6,11,0,0,30,45,10,11,0,0,1.046,2023-11-04,CBJ,1,WSH,2,Won,1.0
