Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-13 - ARI 4, NJ 3",2023-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-16 - ARI 1, NYR 2",2023-10-16,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - ARI 0, NYI 1",2023-10-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - ARI 6, STL 2",2023-10-19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - ANA 1, ARI 2",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - ARI 3, LA 6",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-27 - LA 5, ARI 4",2023-10-27,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - CHI 1, ARI 8",2023-10-30,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-01 - ARI 3, ANA 4",2023-11-01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - MTL 2, ARI 3",2023-11-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - WPG 5, ARI 3",2023-11-04,1.0,59.4,57.2,44.0,42.1,2.7,3.3,10.4,11.6,1.0,1.7,7.1,8.1,37.4,32.7,0.5,0.9,13.0,11.9,18.2,18.8,1.2,0.7,9.7,8.9,1.0173,31.5,28.6,30.4,29.7,2.855,3.3
"2023-11-07 - SEA 3, ARI 4",2023-11-07,2.0,59.3,56.4,43.7,41.5,2.9,3.3,10.9,11.5,1.4,2.0,7.4,8.0,37.1,32.4,0.6,0.7,12.5,11.7,17.7,18.4,0.9,0.6,9.3,8.5,1.01,30.6,28.6,29.9,28.9,2.816,3.169
"2023-11-09 - ARI 1, STL 2",2023-11-09,1.0,60.4,56.6,44.7,42.1,3.0,3.5,11.2,11.7,1.5,2.1,7.7,8.0,38.6,32.8,0.7,0.7,13.3,11.8,17.7,17.9,0.8,0.7,9.1,8.3,1.0166,31.6,28.9,29.6,28.9,2.9099999999999997,3.184
"2023-11-11 - ARI 7, NSH 5",2023-11-11,1.0,59.9,56.3,44.1,42.2,3.1,3.6,11.8,12.4,1.7,2.1,7.8,8.3,36.8,33.0,0.6,0.7,12.5,11.7,18.5,17.5,0.8,0.8,9.5,8.5,1.0184,31.5,30.3,29.9,29.5,3.085,3.229
"2023-11-14 - ARI 3, DAL 4",2023-11-14,2.0,62.9,54.0,46.4,40.2,3.4,3.7,13.2,13.0,2.0,2.1,8.6,8.9,37.3,30.5,0.6,0.9,13.0,10.6,19.6,16.0,0.8,0.7,9.8,7.3,1.0276,33.0,32.8,29.0,27.8,3.4490000000000003,3.2399999999999998
"2023-11-16 - ARI 3, CBJ 2",2023-11-16,1.0,64.1,52.1,46.9,39.2,3.7,3.8,13.8,12.3,2.1,2.2,8.6,8.9,38.3,29.9,0.6,0.9,13.2,11.1,20.5,15.3,1.0,0.7,10.1,6.7,1.0236,33.3,34.3,27.6,27.7,3.4170000000000003,3.048
"2023-11-18 - ARI 2, WPG 5",2023-11-18,1.0,67.8,52.6,49.3,39.6,3.3,3.8,14.7,12.8,1.8,2.1,9.1,9.3,40.0,30.7,0.7,0.9,14.1,11.7,21.3,14.7,0.8,0.8,9.8,6.3,1.0384,34.6,36.0,27.5,28.2,3.493,3.09
