Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-11 - CHI 1, BOS 3",2023-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - NSH 2, BOS 3",2023-10-14,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - BOS 3, SJ 1",2023-10-19,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - BOS 4, LA 2",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-22 - BOS 3, ANA 1",2023-10-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - BOS 3, CHI 0",2023-10-24,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - ANA 4, BOS 3",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - DET 1, BOS 4",2023-10-28,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - FLA 2, BOS 3",2023-10-30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - TOR 2, BOS 3",2023-11-02,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - BOS 4, DET 5",2023-11-04,1.0,62.9,61.2,45.6,44.6,1.6,3.1,11.9,14.1,0.8,2.1,7.7,10.6,40.3,34.5,0.1,0.3,13.6,12.5,16.5,17.2,0.7,0.6,7.5,7.6,1.0503,30.0,28.4,31.3,32.0,2.925,3.408
"2023-11-06 - BOS 3, DAL 2",2023-11-06,1.0,65.7,59.2,47.4,43.5,2.0,3.2,12.0,13.3,0.9,2.3,8.0,10.0,42.2,34.0,0.2,0.3,14.6,12.5,16.9,16.6,0.9,0.5,8.0,7.9,1.0468,31.9,28.9,29.9,31.7,3.041,3.1719999999999997
"2023-11-09 - NYI 2, BOS 5",2023-11-09,2.0,66.3,58.9,47.7,43.4,2.0,3.2,11.9,12.8,0.9,2.1,8.2,9.3,43.0,34.5,0.2,0.3,14.8,12.8,16.7,16.5,0.9,0.7,7.9,8.0,1.0473,32.0,28.6,29.3,31.6,2.9450000000000003,3.196
"2023-11-11 - BOS 2, MTL 3",2023-11-11,1.0,66.0,59.0,47.4,43.1,2.1,3.4,12.6,11.9,1.1,2.3,8.8,8.4,41.8,34.5,0.2,0.2,14.5,12.9,16.2,17.3,0.8,0.8,7.7,8.7,1.0501,32.2,28.8,29.2,31.5,3.069,3.077
"2023-11-14 - BOS 5, BUF 2",2023-11-14,2.0,64.2,59.7,46.0,43.6,2.2,3.2,12.4,12.2,1.1,2.3,8.7,8.7,38.7,34.2,0.3,0.2,13.8,12.9,16.4,17.4,0.8,0.6,7.7,8.6,1.036,31.5,28.8,29.6,31.8,2.908,3.179
"2023-11-18 - MTL 2, BOS 5",2023-11-18,3.0,64.3,60.0,46.0,43.7,2.3,3.4,12.1,12.7,1.0,2.3,8.7,8.9,38.4,33.9,0.3,0.3,14.0,13.0,17.0,17.6,1.0,0.7,7.7,9.0,1.0373999999999999,31.8,29.1,30.3,32.4,2.859,3.199
"2023-11-20 - BOS 4, TB 5",2023-11-20,1.0,63.5,61.3,45.2,45.2,2.5,3.6,12.0,13.3,1.2,2.2,8.9,9.1,36.9,33.9,0.3,0.4,13.8,12.8,17.1,18.5,1.0,0.9,7.6,9.4,1.0326999999999997,31.7,29.1,31.8,32.5,2.863,3.3879999999999995
"2023-11-22 - BOS 3, FLA 1",2023-11-22,1.0,65.3,60.2,46.0,44.4,2.6,3.7,12.1,12.9,1.4,2.1,9.2,9.1,38.7,33.4,0.2,0.4,14.5,12.9,17.4,18.0,1.0,1.1,8.1,8.9,1.0394,33.2,29.5,30.9,32.2,2.925,3.2979999999999996
"2023-11-24 - DET 5, BOS 2",2023-11-24,1.0,66.7,59.4,47.3,43.1,2.6,3.6,12.1,12.7,1.4,2.1,9.2,9.1,38.6,33.4,0.2,0.4,14.6,12.9,18.3,16.8,1.0,1.1,8.6,8.4,1.0391,33.6,30.4,29.5,31.6,2.998,3.0789999999999997
"2023-11-25 - BOS 4, NYR 7",2023-11-25,0.0,64.1,59.4,46.1,43.6,2.9,3.5,11.8,12.4,1.5,2.0,9.2,8.5,37.5,33.1,0.3,0.3,13.9,13.2,17.4,17.9,1.0,1.2,8.3,8.9,1.0231999999999999,32.8,29.2,30.3,31.7,3.022,3.129
"2023-11-27 - BOS 2, CBJ 5",2023-11-27,1.0,64.6,57.9,46.7,42.4,3.4,3.7,13.0,11.8,1.9,2.0,9.8,7.8,38.3,31.8,0.4,0.5,14.2,12.5,17.1,18.2,1.0,1.2,8.0,9.4,1.0192999999999999,33.3,30.1,30.0,30.8,3.1919999999999997,3.0159999999999996
"2023-11-30 - SJ 0, BOS 3",2023-11-30,2.0,64.1,59.3,46.4,44.2,3.4,3.5,12.7,12.1,1.9,1.9,9.5,7.7,38.9,32.5,0.5,0.5,14.3,13.2,16.9,18.4,0.9,1.1,8.2,9.0,1.0121,33.3,29.6,30.5,31.1,3.215,3.113
"2023-12-02 - BOS 4, TOR 3",2023-12-02,1.0,61.2,59.5,44.3,45.4,3.2,3.5,12.0,12.7,1.8,2.0,8.8,8.3,37.0,32.6,0.5,0.6,14.3,13.2,15.9,18.2,0.8,0.9,7.5,9.2,1.0152999999999999,32.2,27.9,30.9,31.9,3.113,3.1089999999999995
"2023-12-03 - CBJ 1, BOS 3",2023-12-03,0.0,62.2,60.3,45.4,45.8,3.3,3.4,12.6,12.8,1.8,2.0,9.1,8.7,37.9,33.3,0.5,0.7,14.5,13.5,16.4,18.5,0.9,0.7,8.2,8.9,1.0111999999999999,33.3,29.0,31.3,32.1,3.199,3.1239999999999997
