Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-12 - NYR 5, BUF 1",2023-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - BUF 2, NYI 3",2023-10-14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - TB 2, BUF 3",2023-10-17,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - CGY 4, BUF 3",2023-10-19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - NYI 1, BUF 3",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-23 - MTL 3, BUF 1",2023-10-23,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - BUF 6, OTT 4",2023-10-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-27 - BUF 4, NJ 5",2023-10-27,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-29 - COL 0, BUF 4",2023-10-29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-01 - BUF 5, PHI 2",2023-11-01,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-03 - PHI 5, BUF 1",2023-11-03,1.0,60.8,55.2,44.9,39.7,2.9,3.2,13.6,9.4,1.7,0.9,8.8,6.3,38.7,34.2,0.3,0.5,13.7,12.5,14.8,15.8,0.8,1.6,7.7,8.4,1.0397,31.3,28.4,25.2,28.5,3.4130000000000003,2.742
"2023-11-04 - BUF 6, TOR 4",2023-11-04,0.0,60.4,54.3,43.7,39.7,2.9,3.2,13.6,10.2,1.6,0.8,8.5,6.5,37.0,32.6,0.3,0.5,12.4,11.7,15.4,15.6,1.0,1.7,8.1,8.7,1.03,30.1,29.0,25.8,28.2,3.1719999999999997,2.7860000000000005
