Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-11 - OTT 3, CAR 5",2023-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - CAR 6, LA 5",2023-10-14,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-15 - CAR 3, ANA 6",2023-10-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - CAR 6, SJ 3",2023-10-17,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - CAR 4, SEA 7",2023-10-19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - CAR 4, COL 6",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - CAR 0, TB 3",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - SEA 2, CAR 3",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-27 - SJ 0, CAR 3",2023-10-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - CAR 3, PHI 2",2023-10-30,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - CAR 1, NYR 2",2023-11-02,2.0,49.3,72.5,37.3,51.3,3.7,3.6,10.4,13.0,1.6,1.7,7.0,8.4,28.1,46.7,0.5,0.7,9.1,17.4,14.3,17.4,1.4,1.2,8.0,8.3,0.9715999999999999,26.1,24.7,30.4,35.0,2.929,3.3810000000000002
"2023-11-04 - CAR 4, NYI 3",2023-11-04,1.0,48.9,71.2,36.7,49.6,3.6,3.2,10.2,12.6,1.6,1.5,7.0,7.9,27.9,46.2,0.5,0.5,8.8,16.8,14.6,16.5,1.3,1.2,7.9,7.8,0.9657,25.7,24.8,29.1,33.5,2.8939999999999997,3.232
"2023-11-07 - BUF 2, CAR 3",2023-11-07,2.0,46.0,76.8,35.5,53.7,3.4,3.1,10.3,13.4,1.7,1.5,7.5,8.5,25.2,51.7,0.4,0.6,8.0,18.9,13.3,16.7,1.1,1.0,7.5,7.9,0.9526,25.2,23.6,30.1,36.3,2.805,3.4800000000000004
"2023-11-10 - CAR 2, FLA 5",2023-11-10,2.0,45.4,74.6,35.2,52.4,3.0,3.1,10.0,13.9,1.8,1.5,7.4,8.8,25.7,49.7,0.3,0.6,8.5,18.0,12.9,16.6,0.8,1.0,6.8,7.5,0.9696,24.8,22.9,30.5,35.5,2.6059999999999994,3.471
"2023-11-11 - CAR 4, TB 0",2023-11-11,0.0,48.0,72.4,37.4,51.2,3.2,2.7,10.6,12.3,2.0,1.3,8.0,7.7,27.1,49.3,0.3,0.5,9.1,18.2,13.2,15.9,0.8,0.9,7.0,7.3,0.9664999999999999,26.7,23.8,28.2,34.3,2.8129999999999997,3.2950000000000004
"2023-11-15 - PHI 3, CAR 1",2023-11-15,3.0,46.8,71.2,36.4,50.9,2.5,2.7,10.5,12.4,1.6,1.2,7.7,7.8,26.7,48.3,0.3,0.5,8.6,17.3,12.8,16.3,0.6,1.0,6.8,7.6,0.9873,25.3,23.3,28.7,33.9,2.754,3.3939999999999997
