Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-12 - PHI 4, CBJ 2",2023-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - NYR 3, CBJ 5",2023-10-14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-16 - DET 4, CBJ 0",2023-10-16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-20 - CGY 1, CBJ 3",2023-10-20,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - CBJ 5, MIN 4",2023-10-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - ANA 3, CBJ 2",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - CBJ 3, MTL 4",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - NYI 2, CBJ 0",2023-10-28,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - CBJ 3, DAL 5",2023-10-30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - TB 2, CBJ 4",2023-11-02,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - CBJ 1, WSH 2",2023-11-04,1.0,70.2,66.3,48.9,46.9,3.2,2.7,13.6,11.4,1.7,1.3,8.7,7.5,38.8,40.5,0.4,0.5,13.7,15.0,19.2,18.4,1.1,0.8,8.3,7.8,0.9873,32.4,32.8,29.8,32.0,3.568,3.16
"2023-11-06 - CBJ 4, FLA 5",2023-11-06,1.0,68.2,67.4,47.9,47.1,3.0,2.6,13.7,11.6,1.6,1.2,8.6,7.8,38.5,40.9,0.4,0.5,13.6,14.3,18.3,18.9,1.0,0.8,7.9,8.3,0.9875,31.4,32.0,30.5,32.2,3.529,3.223
"2023-11-09 - DAL 5, CBJ 2",2023-11-09,2.0,68.7,68.9,48.1,47.2,3.2,2.5,13.2,11.3,1.7,1.1,8.3,7.7,41.0,40.5,0.5,0.4,14.9,14.2,17.6,20.2,1.0,0.9,7.3,8.4,0.9773,31.8,30.8,31.5,32.4,3.408,3.194
"2023-11-11 - CBJ 4, DET 5",2023-11-11,1.0,71.3,69.2,49.6,48.1,3.3,2.7,13.1,11.7,1.7,1.2,7.9,8.0,42.1,40.6,0.5,0.4,15.5,14.2,18.5,20.5,1.0,1.0,7.3,8.8,0.9823999999999999,32.1,31.6,32.2,33.0,3.533,3.2039999999999997
"2023-11-12 - CBJ 3, NYR 4",2023-11-12,0.0,69.5,69.2,48.1,47.3,3.7,2.8,12.9,11.6,1.9,1.3,8.2,8.1,41.0,39.9,0.5,0.5,14.4,13.9,18.6,20.6,1.2,1.0,7.7,8.6,0.9751,31.2,31.5,32.2,32.3,3.565,3.159
"2023-11-14 - PIT 5, CBJ 3",2023-11-14,1.0,71.4,65.3,50.6,44.5,3.6,2.6,13.3,11.0,2.0,1.2,8.3,7.7,43.1,36.1,0.4,0.4,14.8,12.2,19.3,20.4,1.1,1.0,8.3,8.2,0.9832999999999998,32.4,32.6,31.4,29.7,3.726,2.9590000000000005
"2023-11-16 - ARI 3, CBJ 2",2023-11-16,1.0,72.9,62.9,51.6,43.7,3.8,2.7,13.9,10.9,1.9,1.4,8.7,7.6,42.7,35.5,0.7,0.3,15.1,11.7,19.2,19.5,1.1,1.0,8.6,8.4,0.9867999999999999,33.8,33.1,30.4,29.0,3.8809999999999993,2.98
"2023-11-18 - CBJ 3, WSH 4",2023-11-18,1.0,71.1,64.6,51.0,44.9,3.7,2.6,13.4,10.8,1.8,1.2,8.8,7.3,42.6,36.9,0.7,0.4,15.4,12.1,19.0,20.4,1.1,1.0,8.5,8.7,0.9877999999999998,34.1,32.4,31.2,29.5,3.8020000000000005,3.036
"2023-11-19 - CBJ 2, PHI 5",2023-11-19,0.0,68.9,65.6,48.8,45.9,3.9,2.9,13.1,10.9,1.7,1.4,8.3,7.1,41.1,38.0,0.9,0.4,15.1,12.1,18.1,20.8,1.2,1.1,8.3,9.1,0.9865999999999999,33.3,31.2,31.7,29.7,3.653,3.0919999999999996
"2023-11-22 - CHI 3, CBJ 7",2023-11-22,2.0,66.9,65.6,47.4,45.6,3.9,2.8,11.4,10.9,1.5,1.3,7.3,6.8,39.9,37.2,1.0,0.3,15.2,11.1,18.0,21.4,1.2,1.2,8.5,9.9,0.9804,32.7,29.4,32.3,29.4,3.442,3.1130000000000004
"2023-11-24 - CBJ 2, NJ 1",2023-11-24,1.0,66.6,64.5,47.6,45.3,4.0,3.1,11.5,11.2,1.6,1.7,7.7,7.2,39.3,35.4,1.0,0.3,15.3,10.7,17.9,21.0,1.2,1.1,8.5,9.7,0.9916,33.4,29.4,32.2,29.2,3.54,2.998
"2023-11-26 - CBJ 2, CAR 3",2023-11-26,1.0,69.1,63.0,48.6,44.9,3.9,3.2,10.9,11.1,1.4,1.8,7.3,6.9,41.1,34.5,1.0,0.3,16.3,11.3,19.6,20.2,1.3,1.1,9.2,8.8,1.0007,34.5,30.5,31.3,28.5,3.3850000000000002,2.901
"2023-11-27 - BOS 2, CBJ 5",2023-11-27,0.0,67.9,61.0,47.7,44.2,3.7,3.0,10.9,10.4,1.4,1.5,7.5,6.6,40.2,34.6,0.8,0.4,15.1,11.7,19.7,19.0,1.3,1.1,9.8,8.8,0.9959,34.2,30.6,29.4,28.5,3.412,2.775
"2023-11-29 - MTL 4, CBJ 2",2023-11-29,1.0,67.3,62.5,48.0,44.6,3.4,3.3,10.8,10.1,1.3,1.6,7.2,6.5,39.7,35.8,0.8,0.6,15.4,12.6,19.6,19.3,1.2,1.1,9.9,9.1,1.0115,34.4,30.4,29.4,29.6,3.3050000000000006,2.9099999999999997
"2023-12-01 - OTT 2, CBJ 4",2023-12-01,1.0,68.4,61.8,48.7,45.1,3.3,3.1,10.6,10.7,1.4,1.7,7.0,6.7,40.6,35.7,0.9,0.5,16.1,13.0,19.5,18.6,0.9,0.9,9.6,9.0,1.0054,34.7,30.1,29.3,30.2,3.278,2.91
"2023-12-03 - CBJ 1, BOS 3",2023-12-03,1.0,67.1,60.8,48.0,44.1,3.2,3.2,11.4,10.0,1.4,1.7,7.9,6.0,39.7,36.0,1.0,0.6,16.1,13.5,18.1,17.6,0.7,0.9,8.9,8.5,1.0149000000000001,35.0,29.5,27.6,29.7,3.3020000000000005,2.764
"2023-12-05 - LA 4, CBJ 3",2023-12-05,1.0,66.1,60.5,47.0,42.9,3.0,3.0,11.5,10.2,1.3,1.6,7.8,6.1,39.2,35.0,0.7,0.6,14.8,13.4,19.3,17.5,0.9,0.8,9.5,7.9,1.0104000000000002,33.7,30.8,27.7,29.2,3.2960000000000003,2.69
