Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-10 - CHI 4, PIT 2",2023-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-11 - CHI 1, BOS 3",2023-10-11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - CHI 2, MTL 3",2023-10-14,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-16 - CHI 4, TOR 1",2023-10-16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - CHI 0, COL 4",2023-10-19,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - VGK 5, CHI 3",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - BOS 3, CHI 0",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-27 - CHI 4, VGK 3",2023-10-27,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - CHI 1, ARI 8",2023-10-30,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - FLA 2, CHI 5",2023-11-04,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-05 - NJ 4, CHI 2",2023-11-05,0.0,68.0,53.6,48.4,37.6,3.4,2.4,15.1,9.8,2.1,0.9,10.9,6.6,40.3,30.9,0.5,0.1,13.2,9.9,19.1,16.2,0.8,1.3,9.1,8.7,0.9824999999999999,34.8,34.2,26.0,26.1,3.505,2.8280000000000003
"2023-11-09 - CHI 5, TB 3",2023-11-09,3.0,68.1,51.8,48.2,36.3,3.6,2.2,15.8,9.0,2.3,0.8,11.3,6.0,39.3,30.4,0.4,0.1,13.6,9.9,19.0,16.3,0.8,1.2,8.5,8.7,0.9724,34.8,34.8,25.3,25.9,3.5770000000000004,2.5439999999999996
"2023-11-12 - CHI 3, FLA 4",2023-11-12,2.0,67.4,51.4,48.0,36.5,3.6,2.6,15.4,9.4,2.4,1.1,10.9,6.5,39.4,30.4,0.4,0.2,13.6,9.8,19.3,15.6,0.7,1.2,8.8,9.0,0.9849,34.8,34.7,25.0,26.7,3.492,2.597
"2023-11-16 - TB 4, CHI 2",2023-11-16,3.0,68.0,49.4,48.3,35.5,3.7,2.7,15.6,8.3,2.5,1.0,10.8,5.7,40.1,30.8,0.4,0.3,13.7,10.4,19.3,14.5,0.7,1.3,8.6,8.7,0.9852000000000001,34.3,34.9,22.8,26.3,3.553,2.2230000000000003
"2023-11-18 - CHI 2, NSH 4",2023-11-18,1.0,65.6,47.1,47.5,34.0,4.0,2.5,15.0,8.6,2.7,1.0,10.8,5.8,38.3,30.2,0.5,0.3,13.5,10.0,19.1,13.4,0.7,1.2,8.5,7.5,0.9769,33.9,34.1,22.0,24.6,3.537,2.2039999999999997
"2023-11-19 - BUF 3, CHI 2",2023-11-19,0.0,64.7,48.7,47.3,35.0,4.0,2.7,15.1,9.0,2.8,1.1,10.3,6.1,38.5,31.4,0.5,0.4,13.5,10.7,18.1,13.4,0.6,1.2,8.0,7.6,0.9806999999999999,33.0,33.2,22.4,25.9,3.618,2.252
"2023-11-22 - CHI 3, CBJ 7",2023-11-22,2.0,63.9,49.4,47.3,35.7,3.8,2.6,14.7,9.4,2.4,1.3,9.7,6.4,38.3,31.7,0.6,0.4,13.8,11.1,17.7,13.5,0.7,0.9,8.0,7.1,0.9817,32.6,32.4,22.9,26.1,3.543,2.318
"2023-11-24 - TOR 3, CHI 4",2023-11-24,1.0,62.5,51.8,46.1,37.4,4.2,2.9,14.8,9.6,2.6,1.5,9.8,6.6,36.1,31.7,0.7,0.4,12.5,11.4,17.7,14.9,0.8,1.0,7.8,7.6,0.9701000000000001,30.9,32.5,24.5,27.4,3.5229999999999997,2.488
"2023-11-26 - STL 4, CHI 2",2023-11-26,1.0,64.2,53.0,47.4,38.0,4.2,2.9,16.1,9.9,2.6,1.7,11.2,7.1,36.7,32.1,0.7,0.5,13.2,12.0,17.2,15.2,0.8,0.7,7.4,7.5,0.9714,32.5,33.3,25.1,28.4,3.713,2.519
"2023-11-28 - SEA 3, CHI 4",2023-11-28,1.0,62.2,52.9,46.0,37.8,3.8,3.0,15.3,10.5,2.4,1.9,10.5,7.6,34.5,31.0,0.6,0.5,12.7,11.8,17.7,15.4,0.7,0.6,8.0,7.4,0.9841000000000001,32.0,33.0,25.9,28.7,3.5839999999999996,2.613
