Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-11 - COL 5, LA 2",2023-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - COL 2, SJ 1",2023-10-14,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - COL 4, SEA 1",2023-10-17,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - CHI 0, COL 4",2023-10-19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - CAR 4, COL 6",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - COL 7, NYI 4",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - COL 0, PIT 4",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-29 - COL 0, BUF 4",2023-10-29,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-01 - STL 1, COL 4",2023-11-01,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - COL 0, VGK 7",2023-11-04,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-07 - NJ 3, COL 6",2023-11-07,2.0,55.5,69.2,41.3,50.1,2.8,3.1,10.4,13.2,1.2,1.1,7.0,8.9,35.1,43.1,0.4,0.4,11.9,14.7,15.8,20.3,1.1,1.4,8.0,9.6,1.002,29.2,26.2,33.5,34.7,2.763,3.599
"2023-11-09 - SEA 4, COL 3",2023-11-09,1.0,53.1,69.4,39.6,50.1,2.9,3.2,9.6,13.9,1.0,1.5,6.1,9.3,34.1,42.2,0.6,0.2,11.8,13.6,15.0,20.8,1.2,1.2,7.9,9.8,0.9997,27.9,24.6,34.7,34.2,2.5900000000000003,3.651
"2023-11-11 - STL 8, COL 2",2023-11-11,1.0,53.0,64.4,40.1,45.7,3.2,3.4,9.8,12.6,1.1,1.7,6.2,8.4,34.1,38.5,0.7,0.2,12.0,12.3,14.2,19.9,1.3,1.2,7.8,9.7,0.9959000000000001,28.0,24.0,32.5,31.6,2.5460000000000003,3.34
"2023-11-13 - COL 5, SEA 1",2023-11-13,1.0,51.5,66.1,39.5,47.2,3.9,3.2,10.7,13.2,1.5,1.6,7.2,8.6,31.7,40.3,0.6,0.3,12.1,13.0,13.7,20.1,1.7,1.1,7.5,10.0,0.9704,28.4,24.4,33.3,32.6,2.604,3.518
"2023-11-15 - ANA 2, COL 8",2023-11-15,1.0,53.0,66.1,40.4,46.9,4.0,3.3,10.8,13.2,1.6,1.8,7.2,8.1,32.4,41.3,0.6,0.3,11.9,13.0,14.0,19.0,1.7,1.0,7.5,9.3,0.9715,28.5,24.8,32.2,31.6,2.6369999999999996,3.4579999999999997
"2023-11-18 - COL 6, DAL 3",2023-11-18,2.0,50.8,66.4,38.9,47.3,3.8,3.5,10.6,13.8,1.6,2.0,6.9,8.7,30.7,40.9,0.5,0.2,11.3,13.4,13.9,19.1,1.6,1.1,7.5,9.5,0.9733999999999998,27.5,24.5,32.9,32.7,2.503,3.41
