Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-12 - STL 1, DAL 2",2023-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - DAL 2, VGK 3",2023-10-17,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - DAL 3, ANA 2",2023-10-19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - PHI 4, DAL 5",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - DAL 4, PIT 1",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - TOR 4, DAL 1",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - CBJ 3, DAL 5",2023-10-30,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-01 - DAL 4, CGY 3",2023-11-01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - DAL 4, EDM 3",2023-11-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - DAL 0, VAN 2",2023-11-04,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-06 - BOS 3, DAL 2",2023-11-06,1.0,67.5,60.2,49.2,43.7,2.5,2.9,11.1,14.2,1.1,1.7,7.7,9.2,43.3,34.7,0.4,0.2,15.5,11.5,18.9,17.3,0.9,1.0,8.5,7.9,1.0237,33.9,30.0,31.5,29.2,3.3009999999999997,3.28
"2023-11-09 - DAL 5, CBJ 2",2023-11-09,2.0,68.4,61.0,49.7,44.3,2.7,3.0,11.2,14.6,1.1,1.7,7.6,9.7,44.2,35.5,0.4,0.2,15.9,11.3,19.2,17.4,1.1,1.1,8.5,8.0,1.02,34.4,30.4,32.0,29.5,3.3839999999999995,3.2979999999999996
"2023-11-11 - DAL 3, WPG 2",2023-11-11,1.0,67.3,62.7,49.7,45.9,2.7,3.3,11.4,14.5,1.1,1.9,7.6,9.8,43.3,36.1,0.3,0.1,15.2,11.5,18.9,18.1,1.2,1.2,8.8,8.1,1.0274,33.9,30.3,32.6,30.0,3.2979999999999996,3.473
"2023-11-12 - DAL 8, MIN 3",2023-11-12,0.0,67.1,63.0,49.6,45.7,2.7,3.3,11.1,14.4,1.2,1.7,7.4,9.8,45.0,35.7,0.4,0.1,16.4,11.8,18.0,18.6,1.0,1.4,8.4,8.3,1.0261,34.3,29.1,33.0,30.5,3.167,3.467
"2023-11-14 - ARI 3, DAL 4",2023-11-14,1.0,64.8,64.6,47.9,47.3,2.6,3.6,11.5,15.5,1.2,2.1,7.6,10.8,42.4,36.7,0.5,0.2,15.4,12.5,17.8,18.0,0.8,1.2,7.9,7.5,1.0261999999999998,32.9,29.3,33.5,31.7,3.168,3.6910000000000003
"2023-11-18 - COL 6, DAL 3",2023-11-18,3.0,61.6,66.1,45.7,47.7,2.8,3.6,10.6,16.4,1.2,2.0,7.0,11.3,40.8,36.4,0.6,0.2,15.5,11.5,16.2,19.0,0.9,1.3,7.2,8.1,1.0166,31.6,26.8,35.4,31.9,3.017,3.664
"2023-11-20 - NYR 3, DAL 6",2023-11-20,1.0,62.8,64.2,46.9,47.0,3.0,3.8,11.3,16.0,1.4,2.2,7.9,11.2,41.1,35.7,0.6,0.2,15.7,11.4,16.2,18.8,0.9,1.3,7.5,7.8,1.025,33.0,27.5,34.8,31.5,3.028,3.5909999999999997
"2023-11-22 - VGK 2, DAL 1",2023-11-22,1.0,63.3,64.2,48.0,46.7,3.0,3.9,12.1,15.0,1.5,2.2,8.3,10.9,40.8,36.2,0.5,0.1,15.6,11.3,16.4,18.8,0.9,1.3,7.8,8.0,1.0294,33.8,28.5,33.8,31.8,3.1979999999999995,3.4760000000000004
"2023-11-24 - CGY 7, DAL 4",2023-11-24,1.0,58.8,65.0,44.3,46.9,2.9,3.6,11.2,14.4,1.5,2.0,7.9,10.2,36.9,36.9,0.6,0.1,14.1,11.7,16.0,19.0,0.7,1.2,7.7,8.2,1.0178,31.7,27.2,33.4,32.0,2.9899999999999998,3.3910000000000005
"2023-11-28 - DAL 2, WPG 0",2023-11-28,3.0,55.0,65.8,41.1,48.0,3.3,3.6,10.8,14.7,1.8,1.9,7.3,10.1,34.5,36.9,0.6,0.3,13.5,11.9,14.2,19.3,0.8,1.1,6.9,8.3,0.9974999999999999,29.5,25.0,34.0,32.1,2.793,3.44
"2023-11-30 - DAL 3, CGY 4",2023-11-30,1.0,54.7,65.1,40.5,46.8,3.1,3.8,10.6,14.4,1.7,2.1,7.2,9.8,34.5,36.4,0.5,0.3,13.8,12.0,13.4,18.7,0.8,1.1,6.4,7.9,1.0141,29.4,24.0,33.1,31.5,2.6999999999999997,3.396
"2023-12-02 - TB 1, DAL 8",2023-12-02,1.0,56.1,62.5,41.8,43.9,3.2,3.9,10.7,13.9,1.8,2.3,7.5,9.3,34.6,34.5,0.6,0.3,14.2,10.9,13.5,17.8,0.7,1.0,6.5,7.3,1.0266,30.1,24.2,31.7,29.4,2.706,3.286
"2023-12-04 - DAL 0, TB 4",2023-12-04,1.0,57.2,60.5,42.5,43.1,3.1,4.2,10.8,13.9,1.7,2.2,7.4,9.3,35.5,33.0,0.7,0.5,14.5,10.9,13.6,17.0,0.6,1.3,6.7,7.5,1.0379,30.5,24.4,30.9,29.7,2.812,3.219
