Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-12 - DET 3, NJ 4",2023-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - TB 4, DET 6",2023-10-14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-16 - DET 4, CBJ 0",2023-10-16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-18 - PIT 3, DET 6",2023-10-18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - DET 5, OTT 2",2023-10-21,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-22 - CGY 2, DET 6",2023-10-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - SEA 5, DET 4",2023-10-24,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - WPG 4, DET 1",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - DET 1, BOS 4",2023-10-28,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - DET 4, NYI 3",2023-10-30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - FLA 2, DET 0",2023-11-02,2.0,64.6,57.2,48.2,42.8,3.1,4.0,12.7,11.1,1.3,2.0,8.2,8.3,37.9,34.2,0.9,0.6,13.6,12.4,18.9,16.7,0.8,1.2,7.8,8.7,1.0333999999999999,31.4,31.6,27.8,31.0,3.6420000000000003,3.191
"2023-11-04 - BOS 4, DET 5",2023-11-04,1.0,64.4,56.0,47.4,41.7,2.9,3.7,12.9,11.0,1.2,1.7,8.2,7.7,38.6,34.1,0.9,0.6,13.9,12.1,18.9,15.8,0.7,1.2,7.5,8.4,1.0322,31.4,31.8,26.8,29.7,3.529,3.069
"2023-11-07 - DET 3, NYR 5",2023-11-07,2.0,63.1,57.0,46.9,41.6,2.9,3.6,13.0,10.7,1.5,1.7,8.5,7.4,38.0,35.0,0.8,0.5,14.0,12.4,18.9,15.8,0.5,1.3,7.8,8.1,1.0331000000000001,31.9,31.9,26.5,29.5,3.503,2.964
"2023-11-09 - MTL 3, DET 2",2023-11-09,1.0,64.3,57.7,48.7,42.2,3.4,3.5,13.7,10.5,1.7,1.5,8.8,6.7,38.1,35.6,0.9,0.6,14.2,12.8,19.6,15.7,0.7,1.3,8.5,8.2,1.0139,32.8,33.3,26.2,29.5,3.6910000000000003,2.9639999999999995
"2023-11-11 - CBJ 4, DET 5",2023-11-11,1.0,62.7,59.3,47.9,42.9,3.4,3.1,13.2,9.9,1.6,1.3,8.4,6.1,38.4,36.9,0.7,0.5,13.8,13.3,19.0,16.5,1.0,1.3,8.8,8.2,0.9981,32.2,32.2,26.4,29.5,3.529,2.8950000000000005
"2023-11-16 - DET 4, OTT 5",2023-11-16,4.0,62.0,59.9,46.3,43.2,3.6,3.1,12.4,10.2,1.6,1.3,7.9,6.4,38.0,37.3,0.7,0.4,13.6,13.5,18.5,16.7,1.2,1.4,8.1,8.3,0.9814999999999999,30.7,30.9,26.9,30.0,3.414,2.979
"2023-11-17 - TOR 3, DET 2",2023-11-17,0.0,62.5,62.3,46.5,45.2,3.9,2.9,12.6,10.5,1.8,1.3,8.3,6.8,37.8,38.9,0.6,0.4,13.0,14.4,19.2,17.4,1.4,1.2,8.7,8.2,0.9631000000000001,31.0,31.8,27.9,31.1,3.493,3.072
"2023-11-22 - NJ 0, DET 4",2023-11-22,4.0,60.1,62.6,44.4,45.1,3.7,2.7,12.6,10.5,1.8,1.3,8.5,6.8,36.8,40.1,0.5,0.5,12.5,15.0,18.5,16.7,1.3,0.9,8.2,7.7,0.958,30.1,31.1,27.2,31.3,3.401,2.9869999999999997
"2023-11-24 - DET 5, BOS 2",2023-11-24,1.0,59.9,60.3,43.8,43.8,3.3,3.0,11.9,10.3,1.6,1.4,8.0,6.8,37.0,38.1,0.4,0.6,11.9,14.5,18.9,16.6,1.2,1.0,8.0,7.6,0.9833000000000001,28.8,30.8,26.9,30.5,3.2700000000000005,2.807
"2023-11-26 - MIN 1, DET 4",2023-11-26,1.0,59.8,59.1,43.3,44.1,3.1,3.4,11.3,9.9,1.4,1.5,7.3,6.7,37.3,37.5,0.4,0.7,12.0,14.3,19.3,17.0,1.3,1.1,8.3,8.4,1.0018,28.4,30.6,26.9,31.0,3.096,2.918
"2023-11-29 - DET 2, NYR 3",2023-11-29,2.0,59.0,57.1,42.4,41.9,2.9,3.4,10.4,8.9,1.3,1.3,6.7,6.2,36.9,36.6,0.4,0.8,12.3,13.6,18.9,17.1,1.2,1.1,8.1,8.3,1.0130000000000001,28.2,29.3,26.0,29.7,2.886,2.7969999999999997
"2023-11-30 - CHI 1, DET 5",2023-11-30,0.0,60.8,57.8,43.9,42.1,3.0,3.6,11.8,9.2,1.4,1.3,7.4,6.6,36.7,35.3,0.2,0.9,12.6,13.1,18.7,18.2,1.4,1.2,8.4,8.8,1.0205,29.6,30.5,27.4,30.2,2.979,2.814
"2023-12-02 - DET 5, MTL 4",2023-12-02,1.0,61.9,55.3,45.0,41.0,2.7,3.6,12.0,9.6,1.2,1.6,7.3,6.9,36.0,33.5,0.2,0.8,12.8,12.0,19.6,17.4,1.3,1.0,8.8,8.4,1.0356999999999998,30.1,31.6,27.0,29.1,3.076,2.781
"2023-12-05 - DET 5, BUF 3",2023-12-05,2.0,62.3,55.4,44.1,40.8,2.6,3.8,11.5,9.8,1.2,1.7,7.1,7.4,36.8,31.9,0.1,0.8,12.9,11.7,19.3,18.3,1.3,1.1,8.4,8.8,1.0424,29.9,30.8,28.1,29.6,2.9210000000000003,2.854
