Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-11 - EDM 1, VAN 8",2023-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - VAN 4, EDM 3",2023-10-14,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - EDM 6, NSH 1",2023-10-17,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - EDM 1, PHI 4",2023-10-19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - WPG 3, EDM 2",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - EDM 4, MIN 7",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - NYR 3, EDM 0",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-29 - CGY 2, EDM 5",2023-10-29,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - DAL 4, EDM 3",2023-11-02,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - NSH 5, EDM 2",2023-11-04,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-06 - EDM 2, VAN 6",2023-11-06,1.0,52.3,65.9,40.3,48.5,4.1,2.7,10.8,14.4,2.7,1.1,8.5,9.4,32.5,39.0,0.5,0.5,10.8,14.5,17.0,18.7,0.9,1.0,10.0,8.1,0.9374,30.2,27.8,33.1,33.4,3.0469999999999997,3.688
"2023-11-09 - EDM 2, SJ 3",2023-11-09,2.0,52.9,68.3,40.7,50.0,3.9,2.8,11.1,14.9,2.6,1.1,8.8,9.9,31.5,40.8,0.5,0.5,10.7,15.3,17.2,19.2,0.8,1.1,9.8,8.5,0.9466999999999999,30.6,28.3,34.1,35.0,3.0730000000000004,3.7870000000000004
"2023-11-11 - EDM 4, SEA 1",2023-11-11,1.0,53.9,68.7,41.3,49.6,3.8,2.7,11.1,14.8,2.4,1.1,9.0,10.0,33.0,41.7,0.5,0.5,10.9,15.9,17.4,19.0,0.9,1.0,9.8,7.9,0.9524000000000001,30.8,28.5,33.8,35.1,3.0490000000000004,3.697
"2023-11-13 - NYI 1, EDM 4",2023-11-13,1.0,51.2,68.1,38.6,49.0,3.8,2.5,10.7,15.1,2.5,1.2,8.5,10.4,32.3,42.4,0.5,0.5,10.3,15.9,15.6,17.8,0.8,0.7,8.4,7.1,0.9445,28.2,26.3,32.9,34.7,2.89,3.6719999999999997
"2023-11-15 - SEA 3, EDM 4",2023-11-15,1.0,52.4,69.2,39.2,49.9,3.5,2.8,10.4,14.7,2.2,1.3,8.3,10.2,33.7,44.4,0.4,0.5,10.8,16.2,15.8,18.8,0.9,0.9,8.3,7.8,0.9621999999999999,28.3,26.2,33.5,35.6,2.872,3.8480000000000003
"2023-11-18 - EDM 4, TB 6",2023-11-18,2.0,55.3,68.7,41.0,48.9,3.5,3.0,11.4,14.8,2.3,1.6,8.5,9.8,33.7,44.2,0.4,0.6,11.2,15.9,17.4,18.7,0.8,0.7,8.5,8.1,0.9725999999999999,29.1,28.8,33.5,34.7,3.099,3.808
"2023-11-20 - EDM 3, FLA 5",2023-11-20,1.0,54.7,70.1,40.6,50.2,3.4,3.0,10.6,15.2,1.9,1.7,7.9,10.4,33.8,43.7,0.4,0.6,10.9,15.8,17.5,19.9,1.0,0.6,8.5,9.0,0.9647,28.3,28.1,35.1,36.1,2.9379999999999997,3.9939999999999998
"2023-11-22 - EDM 3, CAR 6",2023-11-22,1.0,54.8,69.7,40.5,49.9,3.6,3.3,11.3,14.9,1.9,1.9,8.5,10.0,34.7,43.4,0.4,0.7,10.9,16.0,16.7,19.6,1.2,0.6,7.9,8.9,0.9692999999999999,28.4,28.0,34.5,36.1,3.085,3.909
"2023-11-24 - EDM 5, WSH 0",2023-11-24,1.0,54.4,69.7,39.8,49.3,4.0,3.1,11.2,14.5,2.1,2.0,8.3,9.5,33.6,44.1,0.4,0.5,11.1,16.2,16.7,19.1,1.3,0.6,8.0,8.4,0.9526,28.5,27.9,33.6,35.1,3.0599999999999996,3.789
"2023-11-26 - ANA 2, EDM 8",2023-11-26,1.0,54.4,66.5,40.2,47.3,3.6,3.3,11.1,14.1,1.9,2.2,8.2,9.0,34.3,42.1,0.4,0.6,11.7,16.0,16.2,18.0,1.1,0.5,7.4,7.9,0.9756,28.3,27.3,32.1,33.7,3.049,3.6
"2023-11-28 - VGK 4, EDM 5",2023-11-28,1.0,54.3,64.9,39.1,45.8,3.3,3.9,10.7,14.1,1.7,2.3,7.7,9.2,34.4,41.6,0.4,0.8,11.1,15.0,16.0,17.5,1.0,0.8,7.1,7.7,1.0067,27.2,26.7,31.6,32.8,2.8200000000000003,3.5739999999999994
"2023-11-30 - EDM 3, WPG 1",2023-11-30,1.0,54.1,64.2,37.8,45.3,3.1,4.1,10.0,14.5,1.7,2.6,7.3,9.2,35.3,40.6,0.2,0.8,10.8,14.7,16.2,16.8,1.0,0.7,7.2,7.0,1.0156,26.3,26.2,31.3,31.9,2.6149999999999998,3.597
