Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-12 - FLA 0, MIN 2",2023-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - FLA 4, WPG 6",2023-10-14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-16 - FLA 4, NJ 3",2023-10-16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - TOR 1, FLA 3",2023-10-19,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - VAN 5, FLA 3",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - SJ 1, FLA 3",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - SEA 2, FLA 3",2023-10-28,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - FLA 2, BOS 3",2023-10-30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - FLA 2, DET 0",2023-11-02,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - FLA 2, CHI 5",2023-11-04,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-06 - CBJ 4, FLA 5",2023-11-06,1.0,53.9,68.9,39.0,48.4,2.8,2.6,11.2,14.2,1.4,1.7,7.9,9.9,32.0,42.1,0.6,0.6,12.1,15.2,14.7,18.6,0.7,0.2,6.7,8.0,0.9834999999999999,28.4,25.9,32.8,34.2,2.929,3.56
"2023-11-08 - FLA 4, WSH 3",2023-11-08,1.0,56.1,70.4,39.8,49.7,3.0,3.1,11.7,13.7,1.6,1.9,8.3,9.2,31.9,44.6,0.5,0.8,11.8,17.2,15.5,18.0,0.8,0.3,6.7,7.3,0.9865,28.6,27.2,31.7,34.7,3.02,3.534
"2023-11-10 - CAR 2, FLA 5",2023-11-10,1.0,56.0,68.5,39.1,48.1,2.7,3.1,11.1,13.9,1.4,1.7,7.9,9.4,31.7,42.8,0.5,0.9,11.6,16.5,15.1,18.0,0.7,0.4,6.3,7.1,0.9968,27.9,26.2,31.9,33.9,2.945,3.444
"2023-11-12 - CHI 3, FLA 4",2023-11-12,1.0,55.8,69.6,38.8,48.6,2.6,3.2,10.3,14.1,1.4,1.6,7.1,9.7,33.0,43.4,0.5,1.0,12.2,16.3,14.1,17.8,0.6,0.5,5.9,7.2,0.9998999999999999,27.5,24.4,31.9,34.4,2.795,3.4159999999999995
"2023-11-14 - FLA 5, SJ 3",2023-11-14,1.0,53.3,71.1,38.0,49.5,2.8,3.3,9.3,14.9,1.4,1.9,6.6,10.4,32.6,43.7,0.6,0.9,12.7,16.4,12.7,17.4,0.7,0.5,5.5,7.2,0.9921000000000001,27.1,22.0,32.3,35.1,2.6480000000000006,3.476
"2023-11-16 - FLA 1, LA 2",2023-11-16,1.0,51.8,70.8,37.7,48.4,2.6,3.5,9.4,15.0,1.7,1.9,6.5,10.5,32.3,42.5,0.4,1.0,12.5,15.4,11.9,18.0,0.5,0.6,5.2,7.4,1.0026,26.2,21.3,33.0,34.5,2.504,3.5980000000000003
"2023-11-17 - FLA 2, ANA 1",2023-11-17,0.0,52.1,70.6,37.1,48.0,2.7,3.3,9.5,13.2,1.7,1.7,6.5,8.6,32.4,45.2,0.4,1.0,12.2,16.5,12.6,17.8,0.6,0.6,5.4,7.5,0.9936,26.1,22.1,31.0,34.0,2.436,3.3869999999999996
"2023-11-20 - EDM 3, FLA 5",2023-11-20,2.0,52.4,71.4,37.2,47.4,2.6,3.2,9.4,13.7,1.6,1.6,6.5,9.1,32.4,44.1,0.4,0.9,12.2,16.0,12.8,18.1,0.6,0.7,5.5,7.4,0.9945,26.3,22.2,31.8,33.8,2.443,3.493
"2023-11-22 - BOS 3, FLA 1",2023-11-22,1.0,53.0,69.9,37.9,46.7,2.6,3.5,9.2,14.1,1.6,1.5,6.1,9.4,33.3,43.9,0.4,1.0,12.9,15.7,13.3,17.2,0.6,1.0,5.4,6.9,1.0053999999999998,26.6,22.5,31.3,33.4,2.4850000000000003,3.6
"2023-11-24 - WPG 3, FLA 0",2023-11-24,1.0,53.3,70.7,37.8,47.2,2.9,3.4,9.8,14.1,1.9,1.6,6.9,9.7,32.4,42.8,0.4,0.8,12.6,15.3,13.3,17.1,0.6,1.0,5.3,7.1,0.9895999999999999,26.9,23.1,31.2,33.5,2.518,3.533
"2023-11-27 - FLA 5, OTT 0",2023-11-27,2.0,54.7,69.4,38.8,46.4,2.7,3.2,9.8,13.4,2.0,1.5,7.1,9.0,34.1,42.9,0.3,0.7,13.2,15.9,13.6,16.1,0.4,1.0,5.3,6.5,0.9957,27.6,23.4,29.5,32.8,2.586,3.4200000000000004
"2023-11-28 - FLA 1, TOR 2",2023-11-28,0.0,52.8,66.3,38.1,44.6,2.3,3.2,9.2,13.4,1.7,1.7,6.7,9.1,34.3,39.5,0.3,0.5,13.2,14.3,12.9,15.7,0.3,1.0,5.7,6.8,1.0157,27.3,22.1,29.1,31.9,2.48,3.346
"2023-11-30 - FLA 5, MTL 1",2023-11-30,1.0,53.3,69.9,38.8,46.8,2.1,2.9,10.0,13.4,1.6,1.6,7.3,8.8,33.7,41.8,0.2,0.4,13.0,14.8,13.6,16.9,0.3,0.9,6.0,7.6,1.0097999999999998,27.7,23.6,30.3,33.3,2.6420000000000003,3.4349999999999996
"2023-12-02 - NYI 4, FLA 3",2023-12-02,1.0,51.6,69.3,38.3,46.0,2.0,2.9,10.9,12.8,1.4,1.3,7.7,8.2,32.3,41.5,0.2,0.6,12.2,14.8,13.0,18.0,0.4,1.0,5.9,8.0,1.0149,26.9,23.9,30.8,32.7,2.726,3.2700000000000005
