Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-12 - FLA 0, MIN 2",2023-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - MIN 4, TOR 7",2023-10-14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - MIN 5, MTL 2",2023-10-17,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - LA 7, MIN 3",2023-10-19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - CBJ 5, MIN 4",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - EDM 4, MIN 7",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - MIN 2, PHI 6",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-27 - MIN 2, WSH 3",2023-10-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-29 - MIN 3, NJ 4",2023-10-29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - NJ 5, MIN 3",2023-11-02,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - NYR 4, MIN 5",2023-11-04,1.0,62.3,61.1,45.9,42.9,4.2,3.5,12.4,11.6,1.7,2.1,8.8,7.7,39.7,35.5,0.6,0.7,16.1,13.9,17.0,17.5,1.7,0.7,8.6,7.4,0.9870000000000001,34.7,29.4,29.1,30.8,3.257,3.075
"2023-11-07 - MIN 4, NYI 2",2023-11-07,2.0,58.1,66.9,43.1,46.6,4.6,3.7,11.3,13.0,1.9,2.4,7.8,9.1,37.4,38.0,0.7,0.6,15.9,14.0,15.3,19.0,1.8,0.7,7.5,7.8,0.9652999999999998,32.4,26.6,32.0,32.7,3.018,3.3890000000000002
"2023-11-09 - MIN 1, NYR 4",2023-11-09,1.0,59.9,66.2,43.5,46.5,4.1,3.7,11.2,13.1,1.6,2.2,7.1,8.9,38.0,38.1,0.6,0.8,16.3,14.4,16.3,17.9,1.7,0.7,7.4,7.3,0.9799999999999999,32.0,27.5,31.0,32.6,2.9859999999999998,3.3200000000000003
"2023-11-10 - MIN 2, BUF 3",2023-11-10,0.0,60.8,65.8,43.7,47.1,4.3,3.3,11.6,12.8,1.8,2.0,7.4,8.8,38.0,38.0,0.6,0.7,15.6,14.0,16.7,18.1,1.6,0.6,7.6,7.1,0.9625,32.0,28.3,30.9,31.7,3.02,3.229
