Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-11 - MTL 5, TOR 6",2023-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - CHI 2, MTL 3",2023-10-14,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - MIN 5, MTL 2",2023-10-17,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - WSH 2, MTL 3",2023-10-21,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-23 - MTL 3, BUF 1",2023-10-23,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - NJ 5, MTL 2",2023-10-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - CBJ 3, MTL 4",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - WPG 3, MTL 4",2023-10-28,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - MTL 2, VGK 3",2023-10-30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - MTL 2, ARI 3",2023-11-02,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - MTL 3, STL 6",2023-11-04,1.0,68.3,58.4,48.1,42.3,3.1,2.9,14.8,13.3,1.8,1.8,9.5,8.6,36.9,30.3,0.7,0.2,14.5,11.1,20.3,17.4,0.6,0.9,9.7,8.7,1.0131999999999999,35.2,35.1,30.7,29.9,4.048,3.0580000000000003
"2023-11-07 - TB 5, MTL 3",2023-11-07,2.0,67.4,59.1,47.4,43.3,3.2,2.7,14.7,14.0,1.9,1.7,9.4,9.2,36.7,31.4,0.5,0.2,14.2,11.7,19.7,17.3,0.8,0.8,9.3,8.6,0.9962,34.5,34.4,31.3,30.8,4.034000000000001,3.2120000000000006
"2023-11-09 - MTL 3, DET 2",2023-11-09,1.0,67.0,58.6,47.6,43.0,3.5,2.7,14.0,14.0,1.9,1.6,8.8,9.0,37.1,30.9,0.5,0.2,14.5,11.6,19.8,17.0,1.1,0.9,9.6,8.2,0.9904,34.7,33.8,31.0,29.8,3.8259999999999996,3.2030000000000003
"2023-11-11 - BOS 2, MTL 3",2023-11-11,1.0,66.6,59.5,48.0,43.1,3.2,2.8,13.2,14.1,1.7,1.6,8.4,9.1,37.7,32.0,0.5,0.2,14.4,11.3,19.8,17.3,1.0,1.0,9.5,8.3,1.0017,34.1,33.0,31.4,29.7,3.723,3.161
"2023-11-12 - VAN 5, MTL 2",2023-11-12,0.0,65.9,58.7,47.3,42.6,3.2,2.8,11.8,13.7,1.7,1.6,7.8,9.2,37.5,31.7,0.5,0.3,14.2,11.4,20.4,17.0,1.0,0.9,9.6,7.8,1.001,33.6,32.2,30.7,29.6,3.504,3.128
"2023-11-14 - CGY 2, MTL 1",2023-11-14,1.0,66.7,59.5,47.5,42.9,3.6,2.7,12.8,13.6,1.9,1.4,8.3,9.4,37.1,31.6,0.5,0.3,14.4,11.4,20.3,17.6,1.1,1.0,8.8,8.1,0.9853,33.6,33.1,31.2,30.1,3.633,3.077
"2023-11-16 - VGK 6, MTL 5",2023-11-16,1.0,64.8,61.8,47.0,44.4,3.3,2.6,12.8,13.7,1.8,1.3,8.0,9.5,36.8,33.1,0.5,0.4,14.2,11.5,18.8,18.0,0.9,0.9,8.5,8.4,0.9891,33.1,31.6,31.7,30.7,3.2670000000000003,3.279
"2023-11-18 - MTL 2, BOS 5",2023-11-18,1.0,67.2,59.8,48.8,43.5,3.6,2.7,14.0,12.6,1.9,1.2,8.1,9.1,37.8,32.8,0.6,0.4,13.9,11.3,20.0,18.0,1.0,1.1,9.4,8.6,0.9872,33.7,34.0,30.6,30.6,3.4519999999999995,3.136
"2023-11-22 - MTL 4, ANA 3",2023-11-22,3.0,67.2,58.4,49.7,42.1,3.8,2.6,14.0,12.6,1.8,1.2,8.1,9.1,38.4,32.5,0.7,0.4,14.0,10.9,20.7,17.6,1.2,1.0,9.5,8.4,0.9812,33.6,34.7,30.2,29.9,3.561,3.058
"2023-11-24 - MTL 3, SJ 2",2023-11-24,1.0,69.1,56.2,51.0,40.4,3.9,2.8,14.1,12.4,1.9,1.2,8.0,9.3,38.8,30.8,0.6,0.5,14.3,10.5,21.1,16.7,1.3,1.1,9.7,7.9,0.9893000000000001,34.4,35.2,29.1,28.8,3.63,3.009
"2023-11-25 - MTL 0, LA 4",2023-11-25,0.0,67.9,56.5,50.5,39.8,3.8,2.8,13.9,12.0,1.8,1.1,8.2,9.2,37.3,30.6,0.5,0.5,13.8,10.0,20.6,16.8,1.4,1.2,9.8,8.0,0.9935,34.2,34.5,28.8,28.2,3.607,2.92
