Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-12 - DET 3, NJ 4",2023-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-13 - ARI 4, NJ 3",2023-10-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-16 - FLA 4, NJ 3",2023-10-16,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-20 - NJ 5, NYI 4",2023-10-20,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - NJ 5, MTL 2",2023-10-24,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-25 - WSH 6, NJ 4",2023-10-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-27 - BUF 4, NJ 5",2023-10-27,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-29 - MIN 3, NJ 4",2023-10-29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - NJ 5, MIN 3",2023-11-02,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-03 - NJ 1, STL 4",2023-11-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-05 - NJ 4, CHI 2",2023-11-05,1.0,54.8,66.9,41.4,47.4,3.6,3.9,11.7,12.6,2.0,1.8,8.5,8.7,30.5,36.6,0.8,0.4,13.7,13.9,14.6,21.2,0.8,1.7,6.6,9.0,0.9984,30.5,26.3,33.8,33.3,3.444,3.6979999999999995
"2023-11-07 - NJ 3, COL 6",2023-11-07,1.0,54.5,67.3,40.9,47.5,3.5,3.9,11.6,13.5,1.9,2.0,8.2,9.4,30.0,36.3,0.8,0.2,13.2,14.8,15.1,20.6,0.8,1.6,7.0,8.6,0.9961,30.4,26.7,34.1,34.7,3.339,3.614
"2023-11-10 - WSH 4, NJ 2",2023-11-10,2.0,55.4,65.6,41.6,46.1,3.8,3.9,11.8,13.1,2.3,2.0,8.3,8.8,30.6,36.2,0.6,0.4,12.8,14.8,15.5,19.8,0.8,1.4,7.3,8.3,0.9911999999999999,30.3,27.3,32.9,33.4,3.437,3.474
"2023-11-14 - NJ 3, WPG 6",2023-11-14,3.0,55.6,64.1,41.5,45.1,3.8,3.8,11.9,13.1,2.0,2.0,8.2,8.7,30.4,36.8,0.7,0.4,12.0,14.9,15.3,18.3,0.9,1.3,7.6,7.6,0.9885999999999999,30.0,27.2,31.4,32.6,3.3649999999999998,3.3579999999999997
"2023-11-16 - NJ 5, PIT 2",2023-11-16,1.0,56.2,63.6,41.9,44.9,4.0,3.6,11.5,13.3,2.1,2.1,7.7,8.7,31.2,35.9,0.7,0.3,12.4,14.4,16.0,18.0,1.0,1.1,7.8,7.8,0.9777999999999999,29.9,27.5,31.3,32.1,3.4339999999999997,3.438
"2023-11-18 - NYR 5, NJ 3",2023-11-18,1.0,55.7,61.0,41.8,43.5,4.0,3.6,11.5,13.6,2.2,2.1,7.4,9.2,31.3,34.4,0.7,0.4,12.2,14.0,15.4,16.2,0.9,1.0,7.7,7.5,0.9774,29.3,26.9,29.8,31.8,3.4489999999999994,3.078
"2023-11-22 - NJ 0, DET 4",2023-11-22,3.0,56.9,62.0,42.7,44.9,3.9,3.5,11.7,13.8,2.1,1.8,7.9,9.5,32.1,35.9,0.8,0.5,12.4,15.0,15.9,15.5,0.7,1.1,7.9,7.5,0.978,30.3,27.6,29.3,32.9,3.597,3.129
"2023-11-24 - CBJ 2, NJ 1",2023-11-24,1.0,56.1,60.6,42.3,43.6,3.9,3.0,11.5,12.9,2.2,1.4,7.7,8.7,32.1,36.0,0.7,0.5,12.6,14.2,15.8,15.6,0.7,1.0,8.1,6.8,0.9657,30.4,27.3,28.5,30.6,3.5119999999999996,2.9330000000000003
"2023-11-25 - BUF 2, NJ 7",2023-11-25,0.0,55.0,62.6,41.6,44.4,3.8,2.7,11.3,12.8,2.1,1.3,7.7,8.7,31.9,37.1,0.7,0.4,12.7,14.6,14.7,16.8,0.7,0.9,7.3,7.3,0.9567,29.8,26.0,29.6,31.4,3.342,2.934
"2023-11-28 - NYI 4, NJ 5",2023-11-28,2.0,52.8,63.3,39.9,44.4,3.7,2.9,10.8,13.0,2.2,1.6,7.3,9.0,30.9,35.7,0.5,0.4,11.7,13.6,14.0,18.1,0.7,0.8,7.3,7.9,0.9578,28.5,24.8,31.1,31.3,3.211,2.979
"2023-11-30 - NJ 4, PHI 3",2023-11-30,1.0,50.6,64.5,38.6,44.3,3.7,3.3,10.7,12.3,2.2,1.9,7.8,8.8,28.5,37.3,0.4,0.4,10.4,13.4,13.7,18.2,0.8,0.9,7.1,8.0,0.9661,27.6,24.4,30.5,31.2,2.915,2.959
"2023-12-01 - SJ 6, NJ 3",2023-12-01,0.0,53.2,63.7,40.9,43.7,3.8,3.3,11.4,12.0,2.1,1.7,8.3,8.7,31.0,36.4,0.4,0.4,12.0,12.0,13.6,19.1,1.0,1.2,6.7,8.6,0.9672000000000001,28.9,25.0,31.1,30.6,3.098,3.0090000000000003
"2023-12-05 - NJ 6, VAN 5",2023-12-05,3.0,50.9,69.0,39.2,47.4,3.8,3.3,10.4,13.3,2.1,1.9,7.6,9.7,30.0,39.4,0.5,0.2,11.9,12.9,12.5,20.9,0.9,1.2,6.0,9.0,0.9459,27.5,22.9,34.2,33.0,2.7849999999999997,3.3409999999999997
