Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-10 - NSH 3, TB 5",2023-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-12 - SEA 0, NSH 3",2023-10-12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - NSH 2, BOS 3",2023-10-14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - EDM 6, NSH 1",2023-10-17,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - NSH 4, NYR 1",2023-10-19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - SJ 1, NSH 5",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - VAN 3, NSH 2",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - TOR 2, NSH 3",2023-10-28,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-31 - NSH 2, VAN 5",2023-10-31,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - NSH 2, SEA 4",2023-11-02,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - NSH 5, EDM 2",2023-11-04,1.0,59.0,60.7,40.2,45.8,3.0,2.7,9.8,13.6,1.7,1.4,6.8,9.0,35.1,34.8,0.7,0.5,12.9,11.9,19.5,17.3,0.6,0.7,8.0,8.9,0.9905000000000002,29.0,29.3,30.9,31.2,2.911,3.5420000000000003
"2023-11-07 - NSH 2, CGY 4",2023-11-07,2.0,59.3,59.3,39.9,45.6,2.7,2.9,9.9,13.0,1.5,1.6,6.5,8.6,34.4,34.9,0.7,0.4,13.2,12.2,19.2,17.2,0.5,0.8,8.1,9.3,1.0045000000000002,29.1,29.1,30.2,31.5,2.848,3.463
"2023-11-09 - NSH 3, WPG 6",2023-11-09,1.0,60.8,56.0,41.5,42.8,3.1,2.8,10.3,12.7,1.5,1.7,7.1,8.4,35.1,33.4,0.8,0.3,13.5,11.2,20.2,16.4,0.8,0.8,9.0,8.8,0.9968,30.7,30.5,29.1,29.8,2.968,3.147
"2023-11-11 - ARI 7, NSH 5",2023-11-11,1.0,60.4,54.5,41.9,41.5,3.4,2.9,9.7,12.0,1.5,1.8,6.8,8.1,35.9,32.7,1.0,0.4,14.3,10.7,19.7,15.4,0.9,0.7,9.1,8.3,0.998,31.4,29.4,27.4,28.5,3.038,3.005
"2023-11-14 - ANA 3, NSH 2",2023-11-14,2.0,59.6,55.4,41.0,42.1,3.5,3.3,10.1,13.4,1.5,2.2,7.6,8.9,35.9,31.9,1.3,0.4,14.2,10.5,18.6,15.3,0.7,0.7,8.0,7.5,0.9999,30.9,28.7,28.7,28.2,3.123,3.249
"2023-11-18 - CHI 2, NSH 4",2023-11-18,3.0,57.8,57.4,40.4,43.1,3.7,3.1,10.5,12.9,1.6,2.0,8.0,8.5,34.0,33.9,1.3,0.3,13.8,10.7,17.8,16.6,0.8,0.8,7.7,8.0,0.9810000000000001,30.5,28.3,29.5,28.5,3.162,3.2169999999999996
"2023-11-20 - COL 3, NSH 4",2023-11-20,1.0,57.0,57.7,40.4,43.7,3.8,3.0,10.7,13.0,1.6,2.0,8.1,8.3,33.8,34.4,1.4,0.3,13.4,11.0,16.9,16.1,0.8,0.7,7.9,7.7,0.9753999999999999,30.4,27.6,29.1,28.3,3.157,3.3659999999999997
