Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-14 - BUF 2, NYI 3",2023-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - ARI 0, NYI 1",2023-10-17,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-20 - NJ 5, NYI 4",2023-10-20,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - NYI 1, BUF 3",2023-10-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - COL 7, NYI 4",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - OTT 2, NYI 3",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - NYI 2, CBJ 0",2023-10-28,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - DET 4, NYI 3",2023-10-30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - NYI 3, WSH 0",2023-11-02,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - CAR 4, NYI 3",2023-11-04,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-07 - MIN 4, NYI 2",2023-11-07,2.0,72.6,56.1,51.1,43.4,2.7,2.7,13.5,12.8,1.0,1.5,9.1,9.3,39.7,34.7,0.6,0.4,15.2,13.1,23.1,15.1,1.0,0.8,9.8,7.3,1.021,35.8,36.6,27.9,31.0,3.5549999999999997,3.057
