Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-12 - NYR 5, BUF 1",2023-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - NYR 3, CBJ 5",2023-10-14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-16 - ARI 1, NYR 2",2023-10-16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - NSH 4, NYR 1",2023-10-19,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - NYR 4, SEA 1",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - NYR 3, CGY 1",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - NYR 3, EDM 0",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - NYR 4, VAN 3",2023-10-28,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - NYR 3, WPG 2",2023-10-30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - CAR 1, NYR 2",2023-11-02,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - NYR 4, MIN 5",2023-11-04,1.0,59.2,57.1,40.8,42.4,1.9,3.0,10.7,10.4,1.3,1.7,7.1,6.4,37.9,34.9,0.5,0.4,12.6,13.3,14.3,15.6,0.1,0.8,5.8,7.0,1.0346,26.3,25.0,26.0,28.0,2.8150000000000004,3.032
"2023-11-07 - DET 3, NYR 5",2023-11-07,2.0,62.9,55.5,43.5,40.6,2.2,2.9,12.1,9.6,1.6,1.6,8.3,5.8,38.4,33.6,0.5,0.5,12.3,12.8,15.6,15.8,0.1,0.8,6.2,6.9,1.0347,27.8,27.7,25.4,26.7,3.082,2.703
"2023-11-09 - MIN 1, NYR 4",2023-11-09,1.0,63.7,52.4,44.4,39.5,2.0,3.1,11.8,9.1,1.3,1.7,8.1,5.4,39.6,32.1,0.5,0.5,12.5,12.1,16.0,15.1,0.2,0.9,6.7,7.0,1.0563,28.5,27.8,24.2,25.7,3.082,2.6149999999999998
"2023-11-12 - CBJ 3, NYR 4",2023-11-12,2.0,64.7,51.8,45.4,39.0,2.0,3.3,11.9,9.3,1.4,1.8,8.0,5.6,40.1,31.8,0.4,0.5,12.9,11.9,16.2,14.9,0.2,0.9,6.4,6.9,1.0633000000000001,28.4,28.1,24.2,25.7,3.048,2.649
