Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-11 - OTT 3, CAR 5",2023-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - PHI 2, OTT 5",2023-10-14,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-15 - TB 2, OTT 5",2023-10-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-18 - WSH 1, OTT 6",2023-10-18,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - DET 5, OTT 2",2023-10-21,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - BUF 6, OTT 4",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - OTT 2, NYI 3",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - OTT 5, PIT 2",2023-10-28,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - LA 3, OTT 2",2023-11-02,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - TB 6, OTT 4",2023-11-04,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-08 - OTT 6, TOR 3",2023-11-08,3.0,60.1,60.5,42.4,45.2,3.5,3.8,12.0,11.6,2.0,1.8,8.9,8.5,33.1,37.2,0.4,0.7,11.9,13.3,18.4,17.7,1.0,1.3,9.1,9.2,1.0045,31.5,30.4,29.3,33.0,3.2990000000000004,3.28
"2023-11-09 - VAN 5, OTT 2",2023-11-09,0.0,58.4,60.5,40.8,45.1,3.3,4.1,11.9,11.9,1.9,1.9,8.7,8.7,32.0,36.5,0.2,0.9,11.3,12.8,17.9,18.1,1.1,1.3,8.5,9.5,1.0158,30.3,29.8,30.0,33.1,3.169,3.3280000000000003
"2023-11-11 - CGY 1, OTT 4",2023-11-11,1.0,57.7,61.1,39.9,44.8,3.6,3.8,11.7,11.5,2.0,1.9,8.6,8.3,31.6,37.8,0.2,0.8,10.8,13.7,17.5,18.1,1.3,1.1,8.4,9.1,0.9846,29.8,29.2,29.6,33.0,3.093,3.218
"2023-11-16 - DET 4, OTT 5",2023-11-16,4.0,58.9,61.6,40.7,45.7,3.5,3.7,12.3,11.4,1.9,1.7,8.9,8.0,31.6,38.3,0.2,0.8,11.3,13.7,17.5,18.4,1.3,1.2,7.8,9.5,0.9863,29.9,29.8,29.8,33.0,3.2090000000000005,3.156
"2023-11-18 - MIN 1, OTT 2",2023-11-18,1.0,61.7,60.9,43.4,46.1,3.8,3.6,12.3,12.1,1.9,1.7,8.9,8.9,34.4,37.1,0.3,0.7,12.5,13.2,18.8,18.5,1.5,1.2,8.4,9.5,0.9747,31.6,31.1,30.6,33.5,3.2729999999999997,3.31
"2023-11-24 - NYI 5, OTT 3",2023-11-24,5.0,62.8,60.2,43.8,44.8,3.4,3.5,12.3,11.4,1.8,1.6,8.6,8.5,35.3,37.8,0.2,0.7,13.1,13.4,19.0,17.5,1.3,1.2,8.1,9.0,0.9902000000000001,31.8,31.3,28.9,32.9,3.1950000000000003,3.162
"2023-11-27 - FLA 5, OTT 0",2023-11-27,2.0,63.5,61.9,43.8,44.8,3.3,3.4,12.9,11.7,2.0,1.8,9.1,8.6,34.9,37.8,0.2,0.6,13.1,12.9,19.2,17.5,1.1,1.0,7.9,8.5,0.9951000000000001,32.0,32.1,29.2,32.2,3.215,3.1
"2023-12-01 - OTT 2, CBJ 4",2023-12-01,3.0,63.8,58.6,44.3,41.8,3.5,3.2,13.0,10.9,2.2,1.8,8.9,7.8,35.4,36.3,0.2,0.4,13.5,12.2,18.5,16.1,1.1,1.0,7.4,7.6,0.9851999999999999,31.9,31.5,27.0,29.5,3.193,2.808
"2023-12-02 - SEA 0, OTT 2",2023-12-02,0.0,60.4,61.3,42.0,43.9,3.7,2.9,11.9,11.4,2.2,1.6,7.9,8.2,34.0,39.2,0.2,0.5,12.9,13.3,17.9,16.1,1.3,0.8,6.9,7.6,0.9579000000000001,29.9,29.8,27.5,31.2,2.904,2.918
"2023-12-05 - NYR 2, OTT 6",2023-12-05,2.0,60.3,60.7,41.6,44.0,3.4,2.9,11.4,11.7,2.0,1.7,7.6,8.6,34.1,39.1,0.2,0.5,12.9,13.3,18.7,15.5,1.2,0.7,7.4,7.5,0.9652,30.0,30.1,27.2,31.4,2.786,2.943
