Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-12 - PHI 4, CBJ 2",2023-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - PHI 2, OTT 5",2023-10-14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - VAN 0, PHI 2",2023-10-17,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - EDM 1, PHI 4",2023-10-19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - PHI 4, DAL 5",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - PHI 2, VGK 3",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - MIN 2, PHI 6",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - ANA 7, PHI 4",2023-10-28,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - CAR 3, PHI 2",2023-10-30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-01 - BUF 5, PHI 2",2023-11-01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-03 - PHI 5, BUF 1",2023-11-03,1.0,54.2,61.3,37.8,45.8,3.3,3.2,9.3,12.8,1.6,1.9,5.9,9.2,34.5,36.0,0.3,0.4,12.0,13.7,14.3,15.8,1.4,0.9,7.0,8.0,0.9628,26.7,23.6,28.6,33.3,2.409,3.279
"2023-11-04 - LA 5, PHI 0",2023-11-04,0.0,53.3,59.2,37.3,43.9,3.2,3.3,9.8,13.0,1.4,1.8,5.9,8.9,33.4,35.0,0.3,0.4,11.1,12.9,14.2,15.1,1.5,1.1,7.0,7.7,0.9798,25.6,24.0,28.1,31.5,2.426,3.0629999999999997
"2023-11-07 - PHI 1, SJ 2",2023-11-07,2.0,53.4,59.7,37.2,44.6,3.2,3.1,10.2,12.6,1.5,1.7,6.2,8.9,33.2,35.3,0.2,0.4,10.9,13.3,14.1,15.2,1.5,1.0,6.9,7.5,0.9697000000000001,25.5,24.3,27.8,31.8,2.307,3.015
"2023-11-10 - PHI 6, ANA 3",2023-11-10,2.0,53.0,60.2,36.1,44.4,3.4,3.0,10.1,11.9,1.5,1.6,6.3,8.1,32.9,36.5,0.2,0.4,10.3,13.7,14.0,15.2,1.7,1.0,6.7,7.8,0.9569000000000001,24.8,24.1,27.1,31.5,2.361,2.851
"2023-11-11 - PHI 4, LA 2",2023-11-11,0.0,55.5,61.3,38.3,44.9,3.6,3.2,10.6,12.0,1.6,1.8,6.7,8.4,34.4,37.1,0.2,0.4,10.2,14.3,15.2,15.1,1.8,1.0,7.6,7.1,0.9575000000000001,26.3,25.8,27.1,31.9,2.557,2.951
"2023-11-15 - PHI 3, CAR 1",2023-11-15,3.0,58.0,58.7,40.2,42.9,3.3,3.2,10.9,12.3,1.5,2.0,6.9,8.7,36.3,34.8,0.3,0.4,11.3,13.0,15.3,14.7,1.5,0.8,7.2,6.8,0.9775,27.5,26.2,27.0,30.5,2.739,2.965
"2023-11-18 - VGK 3, PHI 4",2023-11-18,2.0,59.0,56.6,40.9,41.8,3.1,3.3,11.0,12.1,1.4,2.1,7.0,8.6,36.6,34.8,0.2,0.4,11.1,12.9,16.0,13.9,1.5,0.8,7.6,6.8,0.9901,27.8,27.0,26.0,30.1,2.7649999999999997,2.906
"2023-11-19 - CBJ 2, PHI 5",2023-11-19,0.0,59.7,58.1,40.7,42.0,3.2,3.1,11.1,11.8,1.3,2.0,7.1,8.2,36.7,36.7,0.3,0.4,11.0,12.9,16.2,15.0,1.6,0.7,8.1,7.6,0.9809000000000001,28.1,27.3,26.8,30.4,2.776,2.901
"2023-11-22 - PHI 2, NYI 3",2023-11-22,2.0,60.9,57.1,41.1,41.5,2.7,3.2,11.2,11.1,1.0,1.9,6.7,7.6,38.1,34.7,0.3,0.6,11.3,12.9,16.3,15.0,1.4,0.6,8.3,7.9,1.0050000000000001,27.8,27.5,26.1,30.1,2.768,2.984
"2023-11-24 - NYR 3, PHI 1",2023-11-24,1.0,60.7,60.3,40.7,42.4,2.7,3.2,11.8,11.0,1.2,1.8,7.0,7.5,36.8,36.9,0.3,0.6,10.4,14.3,16.6,16.0,1.2,0.7,8.1,7.5,1.0008,27.1,28.4,27.0,30.9,2.787,2.903
"2023-11-25 - PHI 1, NYI 0",2023-11-25,0.0,61.8,59.1,41.5,41.6,2.5,3.1,11.9,10.6,1.2,1.8,7.3,7.4,36.8,36.0,0.3,0.6,10.1,14.5,17.4,15.6,1.0,0.6,8.2,7.1,1.016,27.5,29.3,26.2,30.6,2.7860000000000005,2.8939999999999997
"2023-11-28 - CAR 4, PHI 1",2023-11-28,2.0,62.9,61.7,41.4,43.9,2.4,2.6,11.4,10.7,1.2,1.6,7.3,7.7,37.9,38.3,0.3,0.6,10.3,16.3,18.0,16.3,0.9,0.3,8.3,7.1,0.9942,27.8,29.4,27.0,32.7,2.726,3.031
"2023-11-30 - NJ 4, PHI 3",2023-11-30,1.0,65.2,61.7,42.2,43.9,2.3,2.7,11.0,10.7,1.2,1.6,6.9,7.6,39.1,39.2,0.4,0.6,11.1,16.7,19.0,15.8,0.7,0.4,8.4,7.3,1.0032,28.4,30.0,26.5,33.2,2.852,3.056
