Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-10 - CHI 4, PIT 2",2023-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-13 - PIT 4, WSH 0",2023-10-13,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - CGY 2, PIT 5",2023-10-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-18 - PIT 3, DET 6",2023-10-18,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - PIT 2, STL 4",2023-10-21,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - DAL 4, PIT 1",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - COL 0, PIT 4",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - OTT 5, PIT 2",2023-10-28,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - ANA 4, PIT 3",2023-10-30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - PIT 10, SJ 2",2023-11-04,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-07 - PIT 2, ANA 0",2023-11-07,2.0,57.9,70.3,42.7,51.1,3.1,3.6,11.4,14.7,1.9,1.9,7.6,10.4,33.8,40.8,0.5,0.6,12.8,14.0,16.8,20.3,0.6,1.0,6.9,9.5,0.9955,28.5,28.2,35.0,35.9,3.0789999999999997,3.7990000000000004
"2023-11-09 - PIT 4, LA 3",2023-11-09,1.0,55.5,69.3,40.8,50.1,2.7,3.6,10.6,14.7,1.6,1.8,7.1,10.5,34.0,39.8,0.5,0.5,13.4,14.1,16.0,19.9,0.5,1.1,6.4,9.0,1.0073,28.0,26.6,34.6,35.4,2.789,3.815
"2023-11-11 - BUF 0, PIT 4",2023-11-11,1.0,57.0,67.4,42.7,48.6,3.0,3.6,11.2,14.7,1.8,1.9,7.4,10.4,34.2,38.8,0.5,0.4,14.0,13.4,16.4,19.5,0.6,1.1,7.3,8.5,1.0076,29.7,27.6,34.2,33.9,2.931,3.729
"2023-11-14 - PIT 5, CBJ 3",2023-11-14,2.0,55.1,69.7,42.1,50.0,2.8,3.5,11.1,14.7,1.7,2.0,7.6,10.6,32.2,41.4,0.4,0.6,13.8,14.5,15.1,19.8,0.6,0.8,6.8,8.3,1.0059,29.6,26.2,34.5,35.0,2.9379999999999997,3.813
