Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-10 - SEA 1, VGK 4",2023-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-12 - SEA 0, NSH 3",2023-10-12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - SEA 1, STL 2",2023-10-14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - COL 4, SEA 1",2023-10-17,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - CAR 4, SEA 7",2023-10-19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - NYR 4, SEA 1",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - SEA 5, DET 4",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - SEA 2, CAR 3",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - SEA 2, FLA 3",2023-10-28,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - SEA 4, TB 3",2023-10-30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - NSH 2, SEA 4",2023-11-02,2.0,65.1,64.1,47.9,46.1,3.3,2.4,11.3,11.2,1.8,1.3,7.1,7.8,42.3,37.9,0.3,0.3,16.3,12.9,15.6,17.8,0.9,0.7,7.5,9.2,0.9648,32.5,26.9,29.0,32.0,3.214,3.037
"2023-11-04 - CGY 6, SEA 3",2023-11-04,1.0,65.5,62.6,48.8,44.9,3.1,2.7,11.2,10.3,1.7,1.3,6.8,7.1,42.9,38.1,0.4,0.6,16.7,12.8,16.1,17.5,0.8,0.7,8.1,9.7,0.9831,33.1,27.3,27.8,31.8,3.2230000000000003,2.867
"2023-11-07 - SEA 3, ARI 4",2023-11-07,2.0,63.1,61.3,47.3,44.1,3.4,3.0,11.0,9.8,1.8,1.5,6.7,7.0,41.2,37.1,0.4,0.7,16.4,12.3,15.8,18.0,0.9,0.7,8.0,10.1,0.9873,32.7,26.8,27.8,31.5,3.104,2.7540000000000004
"2023-11-09 - SEA 4, COL 3",2023-11-09,1.0,62.9,62.0,47.4,45.2,3.6,3.2,11.4,9.8,1.9,1.6,7.1,7.0,41.0,38.2,0.5,0.8,16.3,13.0,15.3,18.0,0.9,0.7,7.7,9.9,0.9849,32.9,26.7,27.8,32.2,3.1529999999999996,2.8609999999999998
"2023-11-11 - EDM 4, SEA 1",2023-11-11,1.0,63.5,60.4,47.3,44.5,3.5,3.5,11.3,10.3,1.9,1.8,6.8,7.2,41.9,36.0,0.5,0.8,16.7,12.2,15.6,17.3,0.9,0.8,7.7,9.2,1.0032,32.7,26.9,27.6,30.6,3.1220000000000003,2.803
"2023-11-13 - COL 5, SEA 1",2023-11-13,1.0,61.1,58.7,46.1,43.1,3.5,2.9,11.4,9.9,2.0,1.5,6.8,6.7,40.8,35.9,0.5,0.8,15.7,11.9,15.2,16.4,0.8,0.6,7.6,8.5,0.9850999999999999,31.7,26.6,26.3,28.8,3.071,2.6550000000000002
"2023-11-15 - SEA 3, EDM 4",2023-11-15,1.0,63.2,58.8,47.0,43.3,3.6,2.9,12.3,10.6,2.1,1.6,7.2,7.3,41.6,35.1,0.5,0.7,15.5,11.2,15.3,17.0,0.8,0.6,7.5,8.4,0.9837999999999999,32.1,27.6,27.6,28.8,3.175,2.7199999999999998
"2023-11-16 - NYI 3, SEA 4",2023-11-16,0.0,63.3,58.5,47.3,42.6,3.6,2.7,12.9,10.9,2.3,1.7,7.6,7.4,42.7,34.6,0.6,0.6,15.8,11.3,14.4,17.4,0.5,0.4,7.3,8.2,0.9812000000000001,32.5,27.3,28.3,28.5,3.193,2.765
"2023-11-18 - SEA 4, VAN 3",2023-11-18,1.0,60.9,60.3,44.9,44.6,3.6,2.8,12.9,11.2,2.3,1.8,7.5,7.4,38.6,36.5,0.7,0.6,13.7,11.8,14.5,17.8,0.4,0.4,7.3,8.3,0.9764999999999999,30.3,27.4,29.0,29.1,3.093,2.819
"2023-11-20 - CGY 4, SEA 3",2023-11-20,1.0,59.6,58.9,43.1,43.4,3.6,3.0,12.3,11.2,2.2,1.9,7.2,7.4,36.4,35.0,0.7,0.6,12.7,11.0,15.4,17.8,0.5,0.5,7.5,8.4,0.9814,29.0,27.7,29.0,28.4,2.976,2.787
"2023-11-22 - SJ 1, SEA 7",2023-11-22,1.0,58.1,57.7,42.1,41.7,3.7,2.9,11.8,10.6,2.2,1.9,6.8,7.1,35.8,35.8,0.7,0.7,12.7,10.7,15.6,17.3,0.6,0.3,7.5,7.8,0.977,28.4,27.4,27.9,27.2,2.915,2.589
