Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-12 - VGK 4, SJ 1",2023-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - COL 2, SJ 1",2023-10-14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - CAR 6, SJ 3",2023-10-17,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - BOS 3, SJ 1",2023-10-19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - SJ 1, NSH 5",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - SJ 1, FLA 3",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - SJ 0, TB 6",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-27 - SJ 0, CAR 3",2023-10-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-29 - SJ 1, WSH 3",2023-10-29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - VAN 10, SJ 1",2023-11-02,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - PIT 10, SJ 2",2023-11-04,1.0,76.0,51.7,53.5,36.5,4.4,1.0,17.9,8.9,2.2,0.5,12.5,5.8,42.6,33.5,0.8,0.1,14.1,12.2,21.9,12.8,1.4,0.4,9.5,5.2,0.9202,37.8,39.8,21.7,25.2,4.1049999999999995,2.435
"2023-11-07 - PHI 1, SJ 2",2023-11-07,2.0,76.3,52.4,53.8,37.0,5.0,1.1,19.1,8.7,3.1,0.6,13.3,5.9,42.7,34.2,0.7,0.1,13.7,12.3,21.2,13.5,1.2,0.4,9.4,5.4,0.9075000000000001,38.1,40.3,22.2,25.5,4.186,2.4579999999999997
"2023-11-09 - EDM 2, SJ 3",2023-11-09,1.0,71.7,52.0,50.3,36.2,5.0,1.2,17.9,8.7,3.1,0.5,12.7,5.8,38.5,34.5,0.7,0.1,12.6,12.6,20.3,12.6,1.2,0.6,9.9,5.1,0.9127000000000001,36.8,38.2,21.3,25.3,3.9949999999999997,2.436
"2023-11-10 - SJ 0, VGK 5",2023-11-10,0.0,71.8,52.9,50.3,36.9,4.6,1.2,17.7,8.8,2.8,0.6,12.4,6.1,38.8,36.0,0.6,0.0,13.3,12.6,20.6,13.1,1.2,0.6,9.8,5.1,0.9200000000000002,36.7,38.3,21.9,25.5,4.006,2.45
"2023-11-12 - SJ 1, ANA 4",2023-11-12,1.0,72.6,51.0,50.5,35.3,4.8,1.1,16.5,8.4,2.9,0.6,11.7,5.8,39.9,34.5,0.6,0.0,13.8,12.1,21.3,12.7,1.3,0.5,10.0,5.1,0.9118,37.0,37.8,21.1,24.8,3.815,2.418
"2023-11-14 - FLA 5, SJ 3",2023-11-14,1.0,74.7,50.0,52.1,35.4,4.7,1.1,17.1,8.8,2.8,0.6,12.4,5.6,41.3,33.1,0.8,0.0,13.8,11.8,21.3,12.2,1.1,0.5,10.1,5.2,0.9182,38.0,38.4,21.0,24.2,3.937,2.433
"2023-11-16 - STL 1, SJ 5",2023-11-16,1.0,74.2,49.3,51.4,35.2,4.9,1.3,16.0,9.0,2.9,0.8,11.5,5.8,41.8,32.4,0.9,0.0,13.9,11.3,21.7,12.4,1.1,0.5,10.3,5.2,0.9205,37.5,37.7,21.4,23.6,3.883,2.416
"2023-11-20 - SJ 1, VAN 3",2023-11-20,3.0,74.5,50.4,51.5,36.5,4.4,1.8,15.0,9.5,2.5,1.0,11.2,6.4,43.6,33.6,0.9,0.0,15.0,11.7,21.3,12.6,1.0,0.8,10.8,5.4,0.952,38.9,36.3,22.1,24.8,3.8649999999999998,2.483
"2023-11-22 - SJ 1, SEA 7",2023-11-22,1.0,72.9,51.8,50.2,37.5,4.4,1.9,15.1,9.5,2.7,1.1,11.7,6.7,42.2,33.8,0.9,0.0,14.5,11.8,21.0,13.3,0.8,0.8,10.6,5.7,0.9549999999999998,38.6,36.1,22.8,25.6,3.7950000000000004,2.551
"2023-11-24 - MTL 3, SJ 2",2023-11-24,1.0,71.8,48.9,49.1,35.3,4.8,1.9,15.1,8.9,3.0,1.0,11.5,6.2,40.6,32.2,0.8,0.1,13.6,11.0,20.7,13.1,1.0,0.8,10.5,5.6,0.9427,37.4,35.8,22.0,23.9,3.6770000000000005,2.354
"2023-11-25 - VAN 3, SJ 4",2023-11-25,0.0,71.0,49.1,48.3,35.1,4.0,2.0,14.6,8.9,2.4,1.1,10.9,6.3,40.5,30.3,0.6,0.1,13.1,10.5,20.7,13.6,1.0,0.8,10.7,6.0,0.9675,36.5,35.3,22.5,24.1,3.521,2.336
"2023-11-27 - WSH 1, SJ 2",2023-11-27,1.0,72.4,48.4,49.2,34.2,3.3,2.2,14.4,9.0,1.6,1.2,10.2,6.4,42.1,29.9,0.6,0.2,13.6,10.0,21.4,13.2,1.1,0.8,10.9,6.0,0.9974999999999999,36.3,35.8,22.2,23.7,3.6079999999999997,2.295
"2023-11-30 - SJ 0, BOS 3",2023-11-30,2.0,71.9,48.3,49.2,34.9,3.3,2.2,14.6,9.1,1.6,1.2,10.4,6.2,42.2,29.3,0.6,0.2,12.9,10.0,22.0,13.3,1.1,0.8,11.1,6.5,0.9953,35.8,36.6,22.4,24.1,3.653,2.378
"2023-12-01 - SJ 6, NJ 3",2023-12-01,0.0,68.6,48.9,48.4,35.5,3.4,1.9,14.3,9.4,1.7,1.0,10.5,6.1,40.3,29.0,0.7,0.2,12.0,10.9,21.0,12.9,1.0,0.7,11.3,6.2,0.9753999999999999,35.4,35.3,22.3,24.9,3.5340000000000003,2.4139999999999997
"2023-12-03 - SJ 5, NYR 6",2023-12-03,1.0,72.1,48.2,50.3,35.4,3.2,2.5,15.2,9.6,1.7,1.4,10.8,6.4,42.8,28.1,0.6,0.3,12.6,10.6,22.5,12.6,0.9,0.7,11.6,6.1,1.0151999999999999,36.2,37.7,22.2,24.7,3.7879999999999994,2.461
"2023-12-05 - SJ 5, NYI 4",2023-12-05,1.0,71.0,49.5,49.2,36.1,3.4,2.9,15.1,10.1,1.8,1.6,10.7,6.9,40.9,28.8,0.4,0.4,12.6,10.3,22.4,13.0,1.2,0.8,11.2,5.9,1.0215999999999998,35.4,37.5,23.1,24.9,3.752,2.551
