Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-12 - STL 1, DAL 2",2023-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - SEA 1, STL 2",2023-10-14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - ARI 6, STL 2",2023-10-19,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - PIT 2, STL 4",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - STL 2, WPG 4",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - STL 3, CGY 0",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-27 - STL 0, VAN 5",2023-10-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-01 - STL 1, COL 4",2023-11-01,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-03 - NJ 1, STL 4",2023-11-03,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - MTL 3, STL 6",2023-11-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-07 - WPG 5, STL 2",2023-11-07,2.0,65.1,50.6,48.1,38.9,2.7,2.4,12.9,10.2,1.6,1.2,8.1,7.3,40.9,31.8,0.2,0.4,15.4,11.4,18.2,14.5,0.9,0.7,8.4,7.1,1.0053,32.7,31.1,24.7,27.1,3.251,2.901
"2023-11-09 - ARI 1, STL 2",2023-11-09,1.0,64.0,50.0,47.8,39.0,3.1,2.5,13.0,10.1,1.7,1.1,8.2,7.2,40.9,31.8,0.4,0.5,15.7,11.5,17.8,14.3,0.9,0.8,8.3,6.9,0.9997,33.0,30.8,24.4,26.9,3.2479999999999998,2.877
"2023-11-11 - STL 8, COL 2",2023-11-11,1.0,61.8,50.2,46.4,39.2,3.1,2.6,13.0,11.0,1.6,1.3,7.8,7.9,39.8,31.8,0.4,0.5,15.4,11.3,16.9,14.5,1.0,0.7,7.7,6.9,1.0,31.9,29.9,25.5,27.7,3.211,3.069
"2023-11-14 - TB 0, STL 5",2023-11-14,2.0,62.1,51.4,46.2,40.1,2.7,3.2,14.0,11.5,1.4,1.6,8.3,8.5,39.9,31.9,0.4,0.5,15.0,12.0,15.8,14.8,0.8,1.0,7.2,7.4,1.0204,31.5,29.8,26.3,29.3,3.2340000000000004,3.2439999999999998
"2023-11-16 - STL 1, SJ 5",2023-11-16,1.0,61.1,51.6,45.0,40.0,2.5,3.3,14.2,11.9,1.2,1.7,8.4,8.8,37.2,31.2,0.4,0.4,14.1,12.3,16.6,14.8,0.8,1.1,7.5,7.4,1.0246,31.2,30.8,26.7,30.1,3.214,3.2300000000000004
"2023-11-18 - STL 1, LA 5",2023-11-18,1.0,60.4,55.7,45.3,42.6,2.6,3.2,14.5,12.2,1.3,1.6,8.7,8.9,37.7,33.8,0.4,0.4,14.3,13.8,15.7,15.4,0.8,1.1,7.3,8.1,1.0158,31.7,30.2,27.6,32.6,3.1580000000000004,3.354
"2023-11-19 - STL 3, ANA 1",2023-11-19,0.0,61.4,56.7,45.9,42.8,3.1,3.0,14.5,12.0,1.5,1.5,8.5,8.4,36.2,34.5,0.5,0.3,14.2,13.6,17.3,16.1,1.0,1.2,7.9,8.5,0.9944,32.1,31.8,28.1,32.1,3.2980000000000005,3.3409999999999997
"2023-11-22 - STL 6, ARI 5",2023-11-22,2.0,59.3,58.9,44.5,44.3,2.7,3.3,13.5,12.7,1.3,1.6,8.2,8.8,35.3,35.3,0.5,0.4,14.1,13.6,16.8,17.0,0.8,1.3,8.0,9.2,1.0148,31.7,30.3,29.7,33.1,3.181,3.6310000000000002
"2023-11-24 - NSH 8, STL 3",2023-11-24,1.0,60.1,59.5,45.3,44.4,2.8,3.8,13.6,12.7,1.3,2.0,7.9,9.1,35.4,35.5,0.5,0.4,13.9,13.6,16.5,17.4,0.9,1.4,8.0,9.2,1.0249,31.4,30.1,30.1,33.4,3.152,3.6650000000000005
"2023-11-26 - STL 4, CHI 2",2023-11-26,1.0,59.1,59.8,44.4,44.1,3.5,3.7,13.1,12.9,1.7,1.9,7.9,9.7,35.2,35.1,0.5,0.3,13.5,12.7,16.1,18.3,1.2,1.5,8.3,9.7,1.0012,31.5,29.2,31.2,33.8,3.199,3.4259999999999997
"2023-11-28 - STL 1, MIN 3",2023-11-28,1.0,59.8,57.9,44.1,43.3,3.4,3.5,12.9,13.0,1.7,1.9,7.7,9.7,35.5,33.0,0.5,0.3,13.3,12.0,16.5,18.3,1.1,1.3,8.6,10.0,1.0013,31.5,29.4,31.3,33.1,3.1380000000000003,3.418
"2023-11-30 - BUF 4, STL 6",2023-11-30,1.0,60.5,60.4,44.5,44.1,3.2,3.4,12.7,13.1,1.5,1.9,7.4,9.8,35.5,34.9,0.4,0.3,13.7,12.0,16.6,19.0,1.3,1.2,8.6,9.9,1.0017999999999998,31.5,29.3,32.1,33.3,3.1900000000000004,3.4770000000000003
"2023-12-02 - STL 1, ARI 4",2023-12-02,1.0,64.4,58.9,48.3,43.4,3.5,3.8,13.1,12.4,1.7,2.1,7.8,9.4,38.9,33.9,0.5,0.5,15.2,11.6,17.3,18.0,1.3,1.2,9.3,9.5,1.0219999999999998,34.1,30.4,30.4,32.0,3.386,3.3300000000000005
"2023-12-04 - STL 2, VGK 1",2023-12-04,1.0,61.7,60.9,46.7,44.4,3.7,3.1,12.2,12.4,1.8,1.8,7.3,8.4,36.5,34.9,0.4,0.5,14.2,11.2,17.0,19.3,1.4,0.8,9.0,9.6,0.9930999999999999,32.5,29.2,31.7,31.0,3.2590000000000003,3.2520000000000002
