Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-10 - NSH 3, TB 5",2023-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - TB 4, DET 6",2023-10-14,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-15 - TB 2, OTT 5",2023-10-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - TB 2, BUF 3",2023-10-17,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - VAN 3, TB 4",2023-10-19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - TOR 4, TB 3",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - CAR 0, TB 3",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - SJ 0, TB 6",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - SEA 4, TB 3",2023-10-30,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - TB 2, CBJ 4",2023-11-02,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - TB 6, OTT 4",2023-11-04,1.0,63.7,61.3,47.0,44.3,3.2,3.4,12.3,12.6,1.4,1.8,9.0,8.2,37.5,34.4,0.5,0.7,13.9,11.7,18.1,17.8,1.2,0.9,10.2,7.9,1.0268,34.9,30.4,30.4,29.5,3.434,3.035
"2023-11-06 - TB 5, TOR 6",2023-11-06,1.0,63.0,61.8,46.5,44.1,3.3,3.5,11.9,13.2,1.4,2.0,8.7,8.8,38.1,33.6,0.4,0.6,13.8,10.9,17.7,18.1,1.4,0.9,10.2,8.2,1.0232999999999999,34.6,29.6,31.3,29.9,3.3020000000000005,3.0869999999999997
"2023-11-07 - TB 5, MTL 3",2023-11-07,0.0,62.6,60.2,45.7,43.4,3.3,3.6,11.9,13.5,1.6,2.1,8.4,9.2,38.2,32.5,0.2,0.6,13.5,11.0,17.5,18.0,1.5,0.9,10.0,8.5,1.0200999999999998,33.8,29.4,31.5,30.5,3.119,3.182
"2023-11-09 - CHI 5, TB 3",2023-11-09,1.0,62.5,60.9,45.4,44.3,3.1,3.9,12.1,13.8,1.3,2.1,8.2,9.5,38.0,32.3,0.3,0.6,13.3,11.4,17.1,18.5,1.5,1.2,9.8,8.6,1.029,32.6,29.2,32.3,31.3,3.044,3.341
"2023-11-11 - CAR 4, TB 0",2023-11-11,1.0,60.8,61.9,44.4,44.4,3.3,4.0,12.4,14.0,1.7,2.1,8.7,9.9,36.9,32.7,0.4,0.6,12.6,11.1,16.3,19.9,1.2,1.3,9.8,9.1,1.0224999999999997,32.4,28.7,33.9,32.1,3.051,3.408
"2023-11-14 - TB 0, STL 5",2023-11-14,2.0,60.9,60.7,45.6,43.1,3.4,3.6,12.7,13.3,1.7,2.0,8.7,9.2,35.9,33.3,0.4,0.3,12.8,10.7,16.6,19.3,1.3,1.3,10.0,8.9,1.0091999999999999,32.7,29.3,32.6,30.7,3.2600000000000002,3.218
"2023-11-16 - TB 4, CHI 2",2023-11-16,1.0,57.3,61.7,42.5,43.2,3.5,3.3,12.2,13.0,1.9,1.9,8.4,8.7,33.1,33.0,0.3,0.2,12.0,10.2,15.0,20.3,1.3,1.2,8.7,9.5,0.99,30.4,27.2,33.3,30.6,3.103,3.21
"2023-11-18 - EDM 4, TB 6",2023-11-18,1.0,54.7,64.4,40.3,45.4,3.7,3.4,11.8,13.8,2.1,2.1,8.3,9.3,31.9,34.7,0.3,0.3,11.1,10.8,14.7,20.8,1.3,1.0,7.9,9.6,0.9751999999999998,28.6,26.5,34.6,31.5,3.0439999999999996,3.5100000000000002
"2023-11-20 - BOS 4, TB 5",2023-11-20,1.0,57.9,61.8,42.8,43.7,4.1,3.4,13.1,12.8,2.4,1.8,9.5,8.9,32.7,34.3,0.4,0.4,11.2,10.7,16.4,19.8,1.3,1.1,8.7,9.4,0.9713,30.5,29.5,32.6,30.8,3.349,3.434
"2023-11-22 - WPG 3, TB 2",2023-11-22,1.0,54.6,62.5,39.9,44.0,4.1,3.6,12.2,12.2,2.3,1.9,9.0,8.9,31.1,35.7,0.5,0.3,10.8,11.5,15.5,20.4,1.3,1.3,8.1,9.9,0.9682999999999999,28.9,27.7,32.6,31.8,3.104,3.418
"2023-11-24 - TB 8, CAR 2",2023-11-24,1.0,53.4,62.4,39.5,44.0,4.0,3.6,12.1,12.3,2.2,1.9,9.2,9.3,29.6,35.8,0.4,0.3,10.9,11.6,15.1,20.0,1.4,1.3,8.0,9.9,0.9724,29.3,27.2,32.3,32.2,2.9769999999999994,3.4850000000000003
"2023-11-27 - TB 1, COL 4",2023-11-27,2.0,54.4,58.8,40.0,41.5,3.8,3.8,12.0,11.2,2.1,1.7,8.6,8.2,29.9,33.8,0.4,0.4,11.1,11.0,15.1,18.9,1.3,1.6,7.8,9.4,1.0196999999999998,28.9,27.1,30.1,29.8,2.961,3.178
"2023-11-28 - TB 1, ARI 3",2023-11-28,0.0,53.9,61.3,39.8,43.4,3.6,3.4,12.0,11.9,1.9,1.7,8.3,8.9,29.9,35.8,0.5,0.3,11.0,11.4,14.5,19.1,1.1,1.3,7.1,9.1,1.0064,27.8,26.5,31.0,30.6,3.072,3.3850000000000002
"2023-11-30 - PIT 4, TB 2",2023-11-30,1.0,52.3,63.3,39.3,44.3,3.6,3.0,11.6,12.6,1.9,1.5,8.1,9.1,29.2,36.3,0.5,0.3,11.0,11.5,14.6,19.9,1.1,1.1,7.3,8.8,0.9944,27.9,26.2,32.5,30.5,3.043,3.4090000000000003
"2023-12-02 - TB 1, DAL 8",2023-12-02,1.0,54.3,64.5,40.0,45.8,3.5,2.9,11.6,13.0,1.7,1.5,8.0,9.3,30.2,36.1,0.4,0.3,11.4,12.4,15.0,19.2,1.2,1.0,6.9,8.6,0.9937000000000001,27.9,26.6,32.2,31.3,3.107,3.4269999999999996
"2023-12-04 - DAL 0, TB 4",2023-12-04,1.0,53.7,66.5,39.8,48.0,3.9,3.0,11.6,13.2,1.7,1.5,8.1,9.2,30.0,37.4,0.6,0.4,11.7,13.0,14.6,19.7,1.4,1.0,6.7,9.0,0.9857000000000001,28.1,26.2,32.9,32.4,3.029,3.5090000000000003
