Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-11 - MTL 5, TOR 6",2023-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - MIN 4, TOR 7",2023-10-14,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-16 - CHI 4, TOR 1",2023-10-16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - TOR 1, FLA 3",2023-10-19,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - TOR 4, TB 3",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - TOR 4, WSH 1",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - TOR 4, DAL 1",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - TOR 2, NSH 3",2023-10-28,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-31 - LA 4, TOR 1",2023-10-31,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - TOR 2, BOS 3",2023-11-02,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - BUF 6, TOR 4",2023-11-04,1.0,62.8,64.5,44.6,46.4,3.0,3.1,13.2,13.6,1.8,1.1,9.5,9.3,34.9,35.8,0.4,0.7,11.1,12.7,17.8,19.2,0.6,1.2,7.9,9.8,0.9953,30.3,31.0,32.8,33.4,3.186,3.3560000000000003
"2023-11-06 - TB 5, TOR 6",2023-11-06,1.0,64.1,63.5,46.1,45.3,3.1,3.0,14.0,13.4,1.8,1.3,10.2,9.0,35.8,36.0,0.4,0.4,11.6,12.5,18.0,18.3,0.7,1.2,8.5,9.2,1.0034,32.0,32.0,31.7,32.1,3.4090000000000003,3.315
"2023-11-08 - OTT 6, TOR 3",2023-11-08,1.0,62.7,64.0,45.1,45.4,3.2,2.9,13.8,13.2,1.6,1.4,10.1,8.6,34.7,36.4,0.4,0.2,11.5,12.5,17.9,18.8,1.0,1.2,8.8,9.7,0.9962000000000002,31.9,31.7,32.0,32.2,3.415,3.2010000000000005
"2023-11-10 - CGY 4, TOR 5",2023-11-10,1.0,62.2,61.2,45.8,43.8,3.4,3.1,14.5,12.2,1.7,1.5,10.2,8.1,34.2,34.5,0.6,0.2,11.7,12.5,17.6,18.8,1.0,1.3,8.4,9.5,0.9968999999999999,31.9,32.1,31.0,31.6,3.5120000000000005,2.996
"2023-11-11 - VAN 2, TOR 5",2023-11-11,0.0,62.2,62.8,46.1,46.1,3.5,3.4,14.8,12.4,2.0,1.7,10.6,8.0,33.5,34.8,0.4,0.2,11.6,12.7,17.0,19.4,1.1,1.4,8.6,9.8,1.0029,32.3,31.8,31.8,32.2,3.4269999999999996,3.0610000000000004
"2023-11-17 - TOR 3, DET 2",2023-11-17,5.0,62.5,59.9,46.7,43.5,3.4,3.5,14.2,11.9,2.0,1.9,10.2,7.3,34.9,32.5,0.3,0.2,12.1,11.6,16.7,18.3,1.1,1.3,8.7,8.5,1.0216,32.5,30.9,30.2,29.2,3.496,2.943
"2023-11-19 - TOR 4, MIN 3",2023-11-19,1.0,62.1,61.8,45.6,45.2,3.5,3.4,13.5,12.6,2.0,2.0,9.3,7.9,36.0,34.0,0.4,0.2,12.8,11.9,16.5,19.2,1.1,1.1,8.4,8.7,1.0041,31.6,30.0,31.8,30.4,3.322,3.119
"2023-11-24 - TOR 3, CHI 4",2023-11-24,4.0,61.6,62.2,45.8,45.3,3.7,3.4,12.8,12.3,2.1,2.0,9.0,7.8,36.5,34.3,0.5,0.3,13.2,11.7,16.6,20.1,1.1,1.1,8.6,9.2,0.9983000000000001,32.0,29.4,32.4,30.5,3.2619999999999996,2.916
"2023-11-25 - TOR 2, PIT 3",2023-11-25,0.0,63.0,61.9,46.2,45.3,3.8,3.5,12.9,13.9,2.1,2.1,9.2,9.0,35.9,34.0,0.6,0.2,13.9,11.8,17.4,18.4,1.1,1.2,8.6,8.3,1.0014,33.0,30.3,32.3,30.7,3.2620000000000005,3.0490000000000004
"2023-11-28 - FLA 1, TOR 2",2023-11-28,2.0,64.1,64.2,46.5,46.5,3.7,3.6,13.5,14.5,1.8,2.3,9.7,9.4,37.2,35.8,0.8,0.2,13.9,11.8,17.2,18.7,1.1,1.1,9.1,8.4,1.0104000000000002,33.8,30.7,33.2,31.0,3.3299999999999996,3.218
"2023-11-30 - SEA 3, TOR 4",2023-11-30,1.0,64.9,63.1,46.6,45.6,3.6,3.5,12.7,15.0,1.7,2.4,8.9,10.0,37.9,35.3,0.8,0.2,13.5,11.4,17.8,18.1,1.1,0.9,9.8,7.9,1.0103000000000002,33.7,30.5,33.1,30.7,3.2649999999999997,3.3440000000000003
"2023-12-02 - BOS 4, TOR 3",2023-12-02,1.0,66.8,62.0,47.6,44.8,3.3,3.4,13.0,14.8,1.4,2.2,8.8,9.9,39.2,34.4,0.8,0.2,13.9,11.0,18.0,18.3,1.1,1.0,9.4,8.3,1.0143,33.6,31.0,33.1,30.6,3.2660000000000005,3.2990000000000004
