Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-11 - EDM 1, VAN 8",2023-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - VAN 4, EDM 3",2023-10-14,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - VAN 0, PHI 2",2023-10-17,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - VAN 3, TB 4",2023-10-19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - VAN 5, FLA 3",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - VAN 3, NSH 2",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-27 - STL 0, VAN 5",2023-10-27,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - NYR 4, VAN 3",2023-10-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-31 - NSH 2, VAN 5",2023-10-31,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - VAN 10, SJ 1",2023-11-02,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - DAL 0, VAN 2",2023-11-04,1.0,58.2,57.5,43.8,40.1,2.2,4.6,13.6,11.1,0.9,2.6,9.1,7.9,32.1,34.8,0.6,0.8,12.6,11.4,15.8,16.6,0.7,1.1,7.2,7.8,1.088,30.6,29.4,27.7,28.6,3.408,3.098
