Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-10 - SEA 1, VGK 4",2023-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-12 - VGK 4, SJ 1",2023-10-12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - ANA 1, VGK 4",2023-10-14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - DAL 2, VGK 3",2023-10-17,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - VGK 5, WPG 3",2023-10-19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - VGK 5, CHI 3",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - PHI 2, VGK 3",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-27 - CHI 4, VGK 3",2023-10-27,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - VGK 4, LA 3",2023-10-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - MTL 2, VGK 3",2023-10-30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - WPG 2, VGK 5",2023-11-02,2.0,62.6,58.8,43.9,39.9,2.2,3.5,11.9,11.5,1.1,1.6,7.5,7.6,37.8,34.7,0.3,0.5,14.6,11.9,17.0,18.5,0.8,1.2,6.6,7.9,1.0492000000000001,29.9,28.9,30.0,28.8,2.987,3.0300000000000002
"2023-11-04 - COL 0, VGK 7",2023-11-04,1.0,62.6,56.8,43.8,39.1,2.3,3.6,12.0,10.4,1.2,1.6,7.6,7.0,38.3,33.8,0.3,0.5,14.4,11.8,16.1,18.8,0.8,1.3,6.5,8.2,1.0507,29.7,28.1,29.2,28.6,2.923,2.8600000000000003
"2023-11-05 - VGK 2, ANA 4",2023-11-05,0.0,66.6,56.0,45.9,39.3,2.2,3.9,12.0,10.9,1.2,1.9,7.7,7.1,41.8,34.3,0.3,0.6,15.3,12.3,17.9,17.6,0.7,1.2,7.4,7.9,1.0631,31.5,29.9,28.5,28.8,2.9650000000000003,2.839
"2023-11-08 - LA 4, VGK 1",2023-11-08,2.0,67.0,55.1,46.1,38.9,2.5,3.7,12.4,10.9,1.4,1.7,8.1,7.1,41.4,33.6,0.3,0.5,14.9,11.4,17.5,17.1,0.7,1.3,7.3,8.3,1.0458,31.5,29.9,28.0,28.2,3.141,2.724
"2023-11-10 - SJ 0, VGK 5",2023-11-10,1.0,69.2,55.2,47.4,39.1,2.7,3.6,12.4,11.1,1.6,1.6,8.3,7.1,41.0,32.8,0.2,0.4,14.7,11.3,18.6,17.2,0.7,1.4,7.5,8.7,1.0380999999999998,32.2,31.0,28.3,28.6,3.272,2.6729999999999996
"2023-11-14 - VGK 0, WSH 3",2023-11-14,3.0,66.8,56.1,45.3,40.7,2.4,3.6,11.2,11.3,1.3,1.7,7.1,7.6,40.5,34.3,0.2,0.5,13.7,12.0,18.6,16.6,0.7,1.3,7.7,8.3,1.0401,30.3,29.8,27.9,29.8,3.0460000000000003,2.71
"2023-11-16 - VGK 6, MTL 5",2023-11-16,1.0,67.0,57.9,46.6,42.5,2.4,3.1,11.5,12.0,1.4,1.3,7.2,8.1,39.7,35.4,0.2,0.5,14.1,12.4,18.7,16.8,0.6,1.2,7.9,8.6,1.0221,31.0,30.2,28.8,30.9,3.246,2.843
"2023-11-18 - VGK 3, PHI 4",2023-11-18,1.0,66.3,60.8,46.4,45.4,2.7,3.4,11.5,14.2,1.4,1.5,7.3,9.1,39.2,35.0,0.2,0.5,13.3,12.1,19.0,17.9,0.9,1.3,8.5,9.2,1.0153,31.0,30.5,32.1,32.2,3.2700000000000005,3.165
