Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-11 - WPG 3, CGY 5",2023-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-14 - FLA 4, WPG 6",2023-10-14,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-17 - LA 5, WPG 1",2023-10-17,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-19 - VGK 5, WPG 3",2023-10-19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - WPG 3, EDM 2",2023-10-21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - STL 2, WPG 4",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-26 - WPG 4, DET 1",2023-10-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-28 - WPG 3, MTL 4",2023-10-28,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-30 - NYR 3, WPG 2",2023-10-30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - WPG 2, VGK 5",2023-11-02,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - WPG 5, ARI 3",2023-11-04,1.0,53.7,64.9,40.5,45.7,3.5,3.1,10.6,12.4,2.1,2.0,7.9,8.9,32.7,38.4,0.2,0.2,11.2,14.0,13.9,18.5,1.0,0.9,7.6,9.0,0.9654,28.8,24.5,30.9,32.9,3.0309999999999997,3.191
"2023-11-07 - WPG 5, STL 2",2023-11-07,2.0,53.7,63.1,40.7,44.3,3.3,3.3,10.9,12.0,2.1,2.3,8.2,8.7,32.2,38.0,0.1,0.3,11.5,13.7,13.8,17.0,0.9,0.7,7.4,8.5,0.9865,29.1,24.7,29.0,31.9,2.923,2.963
"2023-11-09 - NSH 3, WPG 6",2023-11-09,1.0,51.2,63.6,38.8,44.7,3.1,3.2,10.6,12.0,1.7,2.1,7.8,8.5,29.9,38.3,0.2,0.4,10.9,14.3,14.1,17.1,1.0,0.6,7.4,8.3,0.9859,28.0,24.7,29.1,32.1,2.752,2.9379999999999997
"2023-11-11 - DAL 3, WPG 2",2023-11-11,1.0,51.6,63.5,38.5,45.0,2.9,3.7,10.3,12.4,1.5,2.3,7.8,9.2,30.4,38.3,0.2,0.6,10.7,14.7,14.2,16.5,1.0,0.7,7.0,8.1,1.0026,27.4,24.5,28.9,33.1,2.701,3.036
"2023-11-14 - NJ 3, WPG 6",2023-11-14,2.0,51.3,62.2,38.9,43.7,2.7,3.6,10.9,11.4,1.5,2.1,8.3,8.3,30.6,39.4,0.2,0.7,11.0,14.9,13.7,16.3,0.9,0.7,6.4,8.1,1.0091,27.6,24.6,27.7,32.5,2.753,2.816
"2023-11-17 - BUF 2, WPG 3",2023-11-17,2.0,51.8,62.5,37.9,44.3,2.8,3.9,10.9,11.5,1.7,2.1,8.1,8.1,29.5,38.8,0.2,0.8,10.4,15.4,14.4,16.9,0.8,0.9,7.0,8.1,1.0135,27.0,25.3,28.4,32.9,2.7350000000000003,2.9349999999999996
"2023-11-18 - ARI 2, WPG 5",2023-11-18,0.0,54.0,61.2,39.2,43.7,2.8,3.8,12.3,11.6,1.7,2.1,8.7,8.2,29.6,37.7,0.2,0.9,11.0,14.4,14.7,16.4,0.8,0.7,6.6,7.7,1.0197,27.8,27.0,28.0,31.7,2.916,2.8810000000000002
