Game,Date,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2023-10-13 - PIT 4, WSH 0",2023-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-16 - CGY 2, WSH 3",2023-10-16,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-18 - WSH 1, OTT 6",2023-10-18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-21 - WSH 2, MTL 3",2023-10-21,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-24 - TOR 4, WSH 1",2023-10-24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-25 - WSH 6, NJ 4",2023-10-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-27 - MIN 2, WSH 3",2023-10-27,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-10-29 - SJ 1, WSH 3",2023-10-29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-02 - NYI 3, WSH 0",2023-11-02,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-04 - CBJ 1, WSH 2",2023-11-04,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2023-11-08 - FLA 4, WSH 3",2023-11-08,3.0,61.5,60.8,42.0,43.1,3.0,1.9,12.4,13.2,1.7,1.2,8.7,9.4,35.5,32.7,0.3,0.2,11.6,10.9,16.3,18.1,1.0,0.5,7.7,7.6,0.9513999999999999,29.9,28.7,31.3,29.6,3.096,3.5629999999999997
"2023-11-10 - WSH 4, NJ 2",2023-11-10,1.0,59.5,60.7,40.5,43.6,3.0,2.2,12.6,13.5,1.7,1.4,8.9,9.7,33.7,33.0,0.3,0.3,11.0,11.3,15.8,17.1,1.0,0.5,7.3,7.6,0.9575000000000001,28.9,28.4,30.6,30.5,3.049,3.603999999999999
"2023-11-11 - WSH 4, NYI 1",2023-11-11,0.0,57.7,60.4,38.9,43.6,3.0,2.4,12.6,13.7,1.8,1.4,8.9,9.5,32.8,32.8,0.3,0.4,10.2,11.5,15.1,16.4,0.9,0.5,6.9,7.5,0.9609,27.5,27.7,30.1,30.9,2.952,3.627
"2023-11-14 - VGK 0, WSH 3",2023-11-14,2.0,61.1,60.5,41.2,44.0,2.5,2.7,13.0,13.7,1.5,1.5,9.0,9.4,34.2,33.3,0.3,0.6,10.6,11.8,16.8,16.1,0.7,0.5,7.1,7.6,0.9890000000000001,28.3,29.8,29.8,31.3,3.032,3.742
"2023-11-18 - CBJ 3, WSH 4",2023-11-18,3.0,61.2,59.4,41.6,44.0,2.2,2.8,12.9,12.2,1.3,1.4,9.5,8.4,35.2,33.0,0.3,0.6,10.9,12.1,16.7,16.5,0.6,0.7,7.0,8.1,1.0033999999999998,29.0,29.6,28.7,31.1,3.064,3.65
"2023-11-22 - BUF 3, WSH 4",2023-11-22,3.0,65.2,58.1,45.1,42.4,2.1,3.1,13.4,11.5,1.4,1.4,9.7,7.4,37.5,32.5,0.3,0.8,11.7,12.3,18.7,16.1,0.4,0.8,7.8,8.1,1.0314,30.9,32.1,27.6,29.9,3.312,3.4619999999999997
"2023-11-24 - EDM 5, WSH 0",2023-11-24,1.0,66.1,58.4,45.9,42.8,2.0,2.9,13.1,11.3,1.1,1.2,9.3,7.1,39.1,33.0,0.3,0.9,12.7,13.2,18.4,16.7,0.6,0.7,7.9,8.1,1.0277999999999998,31.4,31.5,28.0,30.4,3.3329999999999997,3.4210000000000003
"2023-11-27 - WSH 1, SJ 2",2023-11-27,2.0,65.6,57.0,45.8,42.0,2.3,2.7,12.4,11.4,1.3,1.1,8.4,7.1,40.0,32.3,0.4,0.9,13.4,13.3,18.3,15.6,0.6,0.6,7.8,7.2,1.0123,30.8,30.7,27.0,29.6,3.2359999999999998,3.406
"2023-11-29 - WSH 2, LA 1",2023-11-29,1.0,64.7,55.3,45.4,41.4,2.4,2.5,12.6,11.3,1.2,1.0,8.1,6.8,39.2,30.8,0.4,0.7,12.7,12.4,18.4,15.3,0.8,0.7,8.2,7.7,1.0026,30.0,31.0,26.6,28.8,3.319,3.316
"2023-11-30 - WSH 5, ANA 4",2023-11-30,0.0,67.8,50.2,47.2,37.9,2.2,2.7,13.1,10.1,1.2,1.2,8.6,6.3,41.2,28.8,0.3,0.7,13.5,11.6,19.2,13.3,0.7,0.7,8.8,7.5,1.0277,31.8,32.3,23.4,27.1,3.3329999999999997,3.0249999999999995
"2023-12-02 - WSH 1, VGK 4",2023-12-02,1.0,67.6,49.2,47.8,37.0,2.5,3.0,13.2,10.6,1.5,1.5,8.2,7.1,41.1,27.9,0.3,0.7,14.0,11.1,19.3,12.9,0.7,0.7,8.5,7.2,1.0298,31.5,32.5,23.5,27.0,3.3979999999999997,2.961
"2023-12-04 - WSH 0, ARI 6",2023-12-04,1.0,68.8,49.8,49.3,36.8,2.5,2.8,13.4,11.0,1.5,1.4,8.1,7.0,42.3,27.8,0.3,0.6,15.0,11.0,19.3,13.2,0.6,0.7,8.6,7.1,1.0285,32.6,32.7,24.2,26.4,3.539,2.959
