Date,Away Team,Away Team Odds,Away Team Decimal Odds,Away Team Implied Probability,Away Probability,Home Probability,Home Team Implied Probability,Home Team Decimal Odds,Home Team Odds,Home Team
2023-12-12,TOR,145,2.45,0.41,0.45438554785514296,0.5456144521448572,0.64,1.57,-175.0,NYR
2023-12-12,CAR,-135,1.74,0.57,0.4498097650185487,0.5501902349814515,0.48,2.1,110.0,OTT
2023-12-12,ARI,155,2.55,0.39,0.44295276033482,0.55704723966518,0.65,1.53,-190.0,PIT
2023-12-12,PHI,110,2.1,0.48,0.48368234654619885,0.5163176534538011,0.57,1.74,-135.0,NSH
2023-12-12,DET,110,2.1,0.48,0.43767301629583333,0.5623269837041667,,,,STL
2023-12-12,CHI,375,4.75,0.21,0.43724758820305226,0.5627524117969479,0.83,1.2,-500.0,EDM
2023-12-12,FLA,-165,1.61,0.62,0.4615669819648509,0.538433018035149,0.42,2.4,140.0,SEA
2023-12-12,TB,110,2.1,0.48,0.46113730561726896,0.538862694382731,0.56,1.77,-130.0,VAN
2023-12-12,CGY,155,2.55,0.39,0.4409872964825426,0.5590127035174574,0.65,1.53,-190.0,VGK
2023-12-12,WPG,-225,1.44,0.69,0.5364057421549885,0.4635942578450116,0.36,2.8,180.0,SJ
