Date,EST,AwayTeam,HomeTeam,Game
2023-10-10,5:30 PM,NSH,TB,"2023-10-10 - NSH, TB"
2023-10-10,8:00 PM,CHI,PIT,"2023-10-10 - CHI, PIT"
2023-10-10,10:30 PM,SEA,VGK,"2023-10-10 - SEA, VGK"
2023-10-11,7:00 PM,OTT,CAR,"2023-10-11 - OTT, CAR"
2023-10-11,7:00 PM,MTL,TOR,"2023-10-11 - MTL, TOR"
2023-10-11,7:30 PM,CHI,BOS,"2023-10-11 - CHI, BOS"
2023-10-11,10:00 PM,WPG,CGY,"2023-10-11 - WPG, CGY"
2023-10-11,10:00 PM,COL,LA,"2023-10-11 - COL, LA"
2023-10-11,10:00 PM,EDM,VAN,"2023-10-11 - EDM, VAN"
2023-10-12,7:00 PM,NYR,BUF,"2023-10-12 - NYR, BUF"
2023-10-12,7:00 PM,PHI,CBJ,"2023-10-12 - PHI, CBJ"
2023-10-12,7:00 PM,DET,NJ,"2023-10-12 - DET, NJ"
2023-10-12,8:00 PM,STL,DAL,"2023-10-12 - STL, DAL"
2023-10-12,8:00 PM,FLA,MIN,"2023-10-12 - FLA, MIN"
2023-10-12,8:00 PM,SEA,NSH,"2023-10-12 - SEA, NSH"
2023-10-12,10:30 PM,VGK,SJ,"2023-10-12 - VGK, SJ"
2023-10-13,7:00 PM,ARI,NJ,"2023-10-13 - ARI, NJ"
2023-10-13,7:00 PM,PIT,WSH,"2023-10-13 - PIT, WSH"
2023-10-14,1:00 PM,PHI,OTT,"2023-10-14 - PHI, OTT"
2023-10-14,4:00 PM,FLA,WPG,"2023-10-14 - FLA, WPG"
2023-10-14,7:00 PM,NSH,BOS,"2023-10-14 - NSH, BOS"
2023-10-14,7:00 PM,NYR,CBJ,"2023-10-14 - NYR, CBJ"
2023-10-14,7:00 PM,TB,DET,"2023-10-14 - TB, DET"
2023-10-14,7:00 PM,CHI,MTL,"2023-10-14 - CHI, MTL"
2023-10-14,7:00 PM,CGY,PIT,"2023-10-14 - CGY, PIT"
2023-10-14,7:00 PM,MIN,TOR,"2023-10-14 - MIN, TOR"
2023-10-14,7:30 PM,BUF,NYI,"2023-10-14 - BUF, NYI"
2023-10-14,8:00 PM,SEA,STL,"2023-10-14 - SEA, STL"
2023-10-14,10:00 PM,VAN,EDM,"2023-10-14 - VAN, EDM"
2023-10-14,10:00 PM,COL,SJ,"2023-10-14 - COL, SJ"
2023-10-14,10:00 PM,ANA,VGK,"2023-10-14 - ANA, VGK"
2023-10-14,10:30 PM,CAR,LA,"2023-10-14 - CAR, LA"
2023-10-15,7:00 PM,TB,OTT,"2023-10-15 - TB, OTT"
2023-10-15,8:30 PM,CAR,ANA,"2023-10-15 - CAR, ANA"
