Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO
"2021-01-13 - PIT 3, PHI 6",PHI,46,54,35,41,27,34,6,3,2.47,2.07,22,20,11,8,9,7,5,2,11,12,3,7,1,1,19,28,12,18,0,0,1.134
"2021-01-13 - PIT 3, PHI 6",PIT,54,46,41,35,34,27,3,6,2.07,2.47,20,22,8,11,7,9,2,5,12,11,7,3,1,1,28,19,18,12,0,0,0.866
"2021-01-13 - CHI 1, TB 5",CHI,41,46,29,39,23,33,1,5,1.62,2.75,23,30,2,10,2,10,0,3,21,20,13,12,0,1,12,15,8,11,1,1,0.892
"2021-01-13 - CHI 1, TB 5",TB,46,41,39,29,33,23,5,1,2.75,1.62,30,23,10,2,10,2,3,0,20,21,12,13,1,0,15,12,11,8,1,1,1.108
"2021-01-13 - MTL 4, TOR 5",MTL,62,74,45,52,32,34,4,5,3.0,3.88,34,48,13,12,7,9,2,2,21,36,10,16,2,2,24,24,13,9,0,1,0.978
"2021-01-13 - MTL 4, TOR 5",TOR,74,62,52,45,34,32,5,4,3.88,3.0,48,34,12,13,9,7,2,2,36,21,16,10,2,2,24,24,9,13,1,0,1.022
"2021-01-13 - VAN 5, EDM 3",EDM,55,62,41,45,31,35,3,5,3.25,2.96,35,29,17,12,11,10,1,2,18,17,10,10,1,3,19,27,10,14,1,0,0.954
"2021-01-13 - VAN 5, EDM 3",VAN,62,55,45,41,35,31,5,3,2.96,3.25,29,35,12,17,10,11,2,1,17,18,10,10,3,1,27,19,14,10,0,1,1.046
"2021-01-13 - STL 4, COL 1",COL,51,51,32,40,27,32,1,4,1.77,2.96,16,28,8,10,6,8,0,2,8,18,8,11,1,2,31,20,13,12,0,0,0.912
"2021-01-13 - STL 4, COL 1",STL,51,51,40,32,32,27,4,1,2.96,1.77,28,16,10,8,8,6,2,0,18,8,11,8,2,1,20,31,12,13,0,0,1.088
"2021-01-14 - WSH 6, BUF 4",BUF,44,44,33,37,26,28,4,6,1.78,2.55,21,17,9,5,7,3,2,3,12,12,7,8,1,1,23,24,12,16,1,1,0.94
"2021-01-14 - WSH 6, BUF 4",WSH,44,44,37,33,28,26,6,4,2.55,1.78,17,21,5,9,3,7,3,2,12,12,8,7,1,1,24,23,16,12,1,1,1.06
"2021-01-14 - BOS 3, NJ 2",BOS,60,46,46,39,37,22,2,2,3.24,2.52,35,27,17,17,13,12,2,1,18,10,10,3,0,0,22,17,13,5,0,1,0.963
"2021-01-14 - BOS 3, NJ 2",NJ,46,60,39,46,22,37,2,2,2.52,3.24,27,35,17,17,12,13,1,2,10,18,3,10,0,0,17,22,5,13,1,0,1.037
"2021-01-14 - NYI 4, NYR 0",NYI,56,49,45,29,33,24,4,0,3.46,1.68,30,19,18,8,12,7,2,0,12,11,8,7,2,0,21,24,11,9,0,0,1.121
"2021-01-14 - NYI 4, NYR 0",NYR,49,56,29,45,24,33,0,4,1.68,3.46,19,30,8,18,7,12,0,2,11,12,7,8,0,2,24,21,9,11,0,0,0.879
"2021-01-14 - CAR 3, DET 0",CAR,73,34,57,25,43,14,3,0,3.76,1.67,37,18,9,8,8,6,2,0,28,10,14,1,0,0,28,14,15,7,0,0,1.07
